# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	3.341250000000000000e+02	3.341250000000000053e-01	nan	9.045316054239194159e-04	9.982900759908484509e-03	5.743084778744253840e-03
nan	4.383125000000000000e+02	4.383124999999999938e-01	nan	1.622722320375302729e-03	9.863865969345367302e-03	5.847058855457493501e-03
nan	5.367500000000000000e+02	5.367500000000000604e-01	nan	2.609008700712678319e-03	9.914438105057106487e-03	5.807950307603907715e-03
nan	6.167500000000000000e+02	6.167499999999999094e-01	nan	3.705420318098617827e-03	1.020050549450614297e-02	5.966280389584317084e-03
nan	6.851250000000000000e+02	6.851249999999999840e-01	nan	4.588500658904592910e-03	1.016407526096381291e-02	5.926792926990677966e-03
nan	7.563750000000000000e+02	7.563750000000000195e-01	nan	5.760701710261884045e-03	1.027127045362814101e-02	5.940684721781385423e-03
nan	8.076250000000000000e+02	8.076250000000000373e-01	nan	7.036392503575683577e-03	1.030767834334769470e-02	5.962345774037158125e-03
nan	8.760000000000000000e+02	8.759999999999998899e-01	nan	8.296742609992691087e-03	1.023027981163642658e-02	5.896898403610586169e-03
nan	9.155000000000000000e+02	9.154999999999999805e-01	nan	1.015051036434755360e-02	1.025610752166072892e-02	5.829101602884607415e-03
nan	9.770000000000000000e+02	9.769999999999999796e-01	nan	1.167816023667000991e-02	1.060623673736992532e-02	6.022601393375096208e-03
nan	1.007250000000000000e+03	1.007249999999999979e+00	nan	1.343460626298309535e-02	1.052834594481016212e-02	6.093342026045691501e-03
nan	1.053062500000000000e+03	1.053062500000000012e+00	nan	1.499102313297129285e-02	1.012922220726834854e-02	5.977299518427786965e-03
nan	1.099375000000000000e+03	1.099374999999999991e+00	nan	1.683464974480841647e-02	1.037346398205196522e-02	5.935836016696557221e-03
nan	1.141125000000000000e+03	1.141124999999999945e+00	nan	1.890164911816327731e-02	1.046907551660103755e-02	6.105234331592682313e-03
nan	1.189750000000000000e+03	1.189749999999999863e+00	nan	2.090058993105259333e-02	1.041428388106261857e-02	5.926481494277752345e-03
nan	1.239250000000000000e+03	1.239249999999999963e+00	nan	2.259782294639478550e-02	1.036599432188843768e-02	6.105769106795658728e-03
nan	1.274375000000000000e+03	1.274375000000000036e+00	nan	2.457863247495595260e-02	1.060261124659652582e-02	6.104911368230126270e-03
nan	1.299437500000000000e+03	1.299437500000000023e+00	nan	2.698159930201882162e-02	1.031345605386198121e-02	6.134025424211777232e-03
nan	1.338437500000000000e+03	1.338437499999999947e+00	nan	2.920599203276452727e-02	1.039238594306128582e-02	5.905357461143299729e-03
nan	1.362812500000000000e+03	1.362812499999999982e+00	nan	3.116726247999679345e-02	1.021800950869239388e-02	6.053692517936594061e-03
nan	1.387250000000000000e+03	1.387250000000000094e+00	nan	3.396973552436577393e-02	1.035490233662344876e-02	6.086036705431981456e-03
nan	1.423687500000000000e+03	1.423687499999999995e+00	nan	3.563657844978251887e-02	1.042688785704327242e-02	5.975659745914566577e-03
nan	1.472187500000000000e+03	1.472187499999999982e+00	nan	3.820793562395863319e-02	1.017778349058390611e-02	6.125990653396010469e-03
nan	1.489312500000000000e+03	1.489312500000000039e+00	nan	4.107026569616323286e-02	1.051275061409613978e-02	6.135993373476511178e-03
