# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	3.299199999999999591e+02	3.299200000000000466e-01	nan	7.153132536075190728e-04	7.588428027400982885e-03	4.747886431482588147e-03
nan	3.205600000000000023e+02	3.205599999999999561e-01	nan	1.293578609904670910e-03	6.910677498171509739e-03	4.750005511569748221e-03
nan	1.017600000000000051e+02	1.017600000000000032e-01	nan	1.825135164779112529e-03	5.760505116878420970e-03	4.533457634057936649e-03
nan	1.481599999999999966e+02	1.481600000000000139e-01	nan	2.633704716447482670e-03	5.801174817377310021e-03	4.645850684537345190e-03
nan	1.685200000000000102e+02	1.685200000000000031e-01	nan	3.442273742125508216e-03	5.829547497441413609e-03	4.733664551522795590e-03
nan	2.001599999999999966e+02	2.001600000000000323e-01	nan	4.502995262021159198e-03	5.712013760542287294e-03	4.703438820870451363e-03
nan	2.435199999999999818e+02	2.435200000000000142e-01	nan	5.810247479291774826e-03	5.111673789684477269e-03	4.520891624752465879e-03
nan	2.811200000000000045e+02	2.811200000000000365e-01	nan	6.520140193324549735e-03	5.293744256929031403e-03	4.710249251194904840e-03
nan	3.084800000000000182e+02	3.084799999999999764e-01	nan	8.266522784815606706e-03	5.048577818210557740e-03	4.709160923153006724e-03
nan	3.203199999999999932e+02	3.203200000000000491e-01	nan	9.101343100601297711e-03	5.008920348287938459e-03	4.738314824952946647e-03
nan	3.683999999999999773e+02	3.684000000000000052e-01	nan	1.042954409844696825e-02	4.728019657996028295e-03	4.807178964301857607e-03
nan	4.034800000000000182e+02	4.034799999999999498e-01	nan	1.233205103033469668e-02	4.555829117453126173e-03	4.838317614133028251e-03
nan	4.155199999999999818e+02	4.155200000000000005e-01	nan	1.303632797855243733e-02	4.506851185919686850e-03	4.877696244632129599e-03
nan	4.383999999999999773e+02	4.384000000000000119e-01	nan	1.499092595963247808e-02	4.424276595042407265e-03	4.852656807518268729e-03
nan	4.654399999999999409e+02	4.654399999999999649e-01	nan	1.651384895368664812e-02	4.248682953827307221e-03	4.819552745814659547e-03
nan	4.905199999999999818e+02	4.905199999999999561e-01	nan	1.859602438551064690e-02	4.311928025785276286e-03	4.815110713831182582e-03
nan	5.107600000000000477e+02	5.107600000000001028e-01	nan	1.992768001302010900e-02	4.250914113006932539e-03	4.870403540881517238e-03
nan	5.332799999999999727e+02	5.332800000000000873e-01	nan	2.125749528790493031e-02	3.998913653061155274e-03	4.846618013826214932e-03
nan	5.340399999999999636e+02	5.340399999999999592e-01	nan	2.329427180571656125e-02	4.253562491008696170e-03	4.895362651361787748e-03
nan	5.333199999999999363e+02	5.333200000000000163e-01	nan	2.516496986667334651e-02	4.060417615882781599e-03	4.894878194288109982e-03
nan	5.340000000000000000e+02	5.340000000000000302e-01	nan	2.685593869413423901e-02	4.049799245113641817e-03	4.888127390458445881e-03
nan	5.244399999999999409e+02	5.244400000000000173e-01	nan	2.842961211249530468e-02	4.192411985333517090e-03	4.891657457094003049e-03
nan	5.236800000000000637e+02	5.236799999999999233e-01	nan	3.053826684541490616e-02	4.087027738731884713e-03	4.859988258621593740e-03
nan	4.891200000000000045e+02	4.891199999999999437e-01	nan	3.195261018579913237e-02	3.652865696977990878e-03	4.882619847882450383e-03
nan	4.605600000000000591e+02	4.605599999999999694e-01	nan	3.581504968303306918e-02	3.697053494872500241e-03	4.890853474552260896e-03
nan	4.345199999999999818e+02	4.345200000000000173e-01	nan	3.591405290842885484e-02	3.826647929254858253e-03	4.805950245511995088e-03
nan	4.063600000000000136e+02	4.063599999999999990e-01	nan	3.919799391281230533e-02	3.770268763907867748e-03	4.834622838266439127e-03
nan	3.681200000000000045e+02	3.681199999999999473e-01	nan	4.147033395042853954e-02	3.587581894718507892e-03	4.827943480050463261e-03
nan	3.346399999999999864e+02	3.346399999999999930e-01	nan	4.241600024250146567e-02	3.551310055798134573e-03	4.892685301748979018e-03
nan	2.968799999999999955e+02	2.968800000000000328e-01	nan	4.492078856265833975e-02	3.624876899240765584e-03	4.815269179151123249e-03
nan	2.691999999999999886e+02	2.691999999999999948e-01	nan	4.673064848811009364e-02	3.638498883511266744e-03	4.824174065365666522e-03
nan	2.404800000000000182e+02	2.404800000000000271e-01	nan	5.070126769684975276e-02	3.125749595184900646e-03	4.785586450051266746e-03
nan	2.096400000000000148e+02	2.096399999999999930e-01	nan	5.159283499086995961e-02	3.607819277239941030e-03	4.657864333645981778e-03
nan	1.887599999999999909e+02	1.887600000000000111e-01	nan	5.144964026637353222e-02	3.470785955464902178e-03	4.704935285153393452e-03
nan	1.674399999999999977e+02	1.674399999999999777e-01	nan	5.604677679402812057e-02	3.650299021893316231e-03	4.780609731228707693e-03
nan	1.459200000000000159e+02	1.459199999999999942e-01	nan	5.589800439758618733e-02	3.412062481318491134e-03	4.716850829853846960e-03
nan	1.248799999999999955e+02	1.248799999999999910e-01	nan	5.876035551637869003e-02	3.196851422519499109e-03	4.404122832699449222e-03
nan	1.064000000000000057e+02	1.064000000000000085e-01	nan	6.117983173956418469e-02	3.458006541001781148e-03	4.806390610278869768e-03
nan	8.623999999999999488e+01	8.624000000000001109e-02	nan	6.333720230571998622e-02	3.389209647598245660e-03	4.588751875309843124e-03
nan	1.666400000000000148e+02	1.666400000000000103e-01	nan	4.012809100140656829e-04	6.920225166497426424e-03	2.327477607806765093e-03
nan	1.544399999999999977e+02	1.544399999999999940e-01	nan	6.684676011502688414e-04	6.030617884491005880e-03	2.306812912330123873e-03
nan	5.092000000000000171e+01	5.092000000000000692e-02	nan	8.970110239522455361e-04	4.892532759191645098e-03	1.924214914254618672e-03
nan	7.796000000000000796e+01	7.796000000000000152e-02	nan	1.402322276801442127e-03	5.482803247815365086e-03	2.259682517316023622e-03
nan	8.112000000000000455e+01	8.111999999999999766e-02	nan	1.683211433673932264e-03	5.228571603749748546e-03	2.322098145126631936e-03
nan	9.967999999999999261e+01	9.968000000000000471e-02	nan	2.083716051147348723e-03	4.911755018344332417e-03	2.209829543062474290e-03
nan	1.266400000000000148e+02	1.266400000000000026e-01	nan	2.362641345396241516e-03	5.172418314772079737e-03	2.341039792897414446e-03
nan	1.402400000000000091e+02	1.402400000000000035e-01	nan	3.204168883619331644e-03	5.156733852221899103e-03	2.289605879992938440e-03
nan	1.564399999999999977e+02	1.564399999999999680e-01	nan	4.004998445984711032e-03	4.848331636545680744e-03	2.387637929283815876e-03
nan	1.599599999999999795e+02	1.599599999999999911e-01	nan	4.694045625351464177e-03	4.620043608938854095e-03	2.360808077962504338e-03
nan	1.845999999999999943e+02	1.846000000000000141e-01	nan	5.046314137766785488e-03	4.841933200898629851e-03	2.288722153879432612e-03
nan	1.967199999999999989e+02	1.967200000000000060e-01	nan	5.740644691722991862e-03	4.213334411689208768e-03	2.370552265197911103e-03
nan	2.152400000000000091e+02	2.152400000000000146e-01	nan	6.203623830901961074e-03	4.542118503711318686e-03	2.313919336782254647e-03
nan	2.191999999999999886e+02	2.191999999999999782e-01	nan	7.044715228321366159e-03	4.370752486672281785e-03	2.335223489572029604e-03
nan	2.365999999999999943e+02	2.366000000000000048e-01	nan	7.824111641734816242e-03	3.800357864725143787e-03	2.415842817984074214e-03
nan	2.494800000000000182e+02	2.494800000000000073e-01	nan	8.814108086839951214e-03	4.301837749341757243e-03	2.396643022170328458e-03
nan	2.534000000000000057e+02	2.533999999999999586e-01	nan	9.746566565336251681e-03	4.085878682122652018e-03	2.353584884741410053e-03
nan	2.625600000000000023e+02	2.625600000000000156e-01	nan	1.023342917345871662e-02	3.839523213537575277e-03	2.417215305433951470e-03
nan	2.753199999999999932e+02	2.753200000000000647e-01	nan	1.136386216673145044e-02	3.957226235159008905e-03	2.410396109364749441e-03
nan	2.669199999999999591e+02	2.669199999999999906e-01	nan	1.209745669581025265e-02	4.206538165085350021e-03	2.437321602578965997e-03
nan	2.646399999999999864e+02	2.646399999999999864e-01	nan	1.269103733442534555e-02	3.804004166769029728e-03	2.405604752092181491e-03
nan	2.655199999999999818e+02	2.655200000000000338e-01	nan	1.358155504225578604e-02	3.657030279469257548e-03	2.400970444403083444e-03
nan	2.561599999999999682e+02	2.561599999999999988e-01	nan	1.382639016927896501e-02	3.566919309621967814e-03	2.364500721881834973e-03
nan	2.466800000000000068e+02	2.466800000000000104e-01	nan	1.649292675229844379e-02	3.777057071135957698e-03	2.435423550038342926e-03
nan	2.341999999999999886e+02	2.341999999999999638e-01	nan	1.623562687305820859e-02	3.715708562772137343e-03	2.363743710703850552e-03
nan	2.178000000000000114e+02	2.177999999999999936e-01	nan	1.736324003723893963e-02	3.729731670318561093e-03	2.351334289580504170e-03
nan	1.995999999999999943e+02	1.995999999999999996e-01	nan	1.843586171486094952e-02	3.694711257587400023e-03	2.398393102327031796e-03
nan	1.847199999999999989e+02	1.847200000000000231e-01	nan	1.920011622397396409e-02	3.345110025102569860e-03	2.275115799441551883e-03
nan	1.650000000000000000e+02	1.649999999999999800e-01	nan	1.950543881190242371e-02	3.648372577704571233e-03	2.375382382990159219e-03
nan	1.521999999999999886e+02	1.522000000000000020e-01	nan	2.157333036135241841e-02	3.418409537031856342e-03	2.382063712735283355e-03
nan	1.318799999999999955e+02	1.318799999999999972e-01	nan	2.177908617074535841e-02	3.396748164836886543e-03	2.350180560862977480e-03
nan	1.190000000000000000e+02	1.189999999999999947e-01	nan	2.422118118280195548e-02	3.403715882546317576e-03	2.202707979560702446e-03
nan	1.056799999999999926e+02	1.056799999999999962e-01	nan	2.417984367391000020e-02	3.407425497322337342e-03	2.347338799453921928e-03
nan	9.623999999999999488e+01	9.624000000000000610e-02	nan	2.514509198619634817e-02	3.370903242348496920e-03	2.311519499237476606e-03
nan	8.387999999999999545e+01	8.387999999999999623e-02	nan	2.643177601980823896e-02	3.320472466959740500e-03	2.189182839334435741e-03
nan	6.987999999999999545e+01	6.987999999999999767e-02	nan	2.707905472751008166e-02	3.066294994399402889e-03	2.052259295814203282e-03
nan	6.464000000000000057e+01	6.464000000000000301e-02	nan	2.713539371411570825e-02	3.150020584341362527e-03	2.299119345838416140e-03
nan	5.416000000000000369e+01	5.416000000000000675e-02	nan	2.744854841425876588e-02	3.130551511807179617e-03	2.352375068491690049e-03
nan	4.651999999999999602e+01	4.651999999999999885e-02	nan	2.555501615653156186e-02	2.981614028849746863e-03	2.005907141612410516e-03
nan	2.948000000000000043e+01	2.947999999999999926e-02	nan	3.014654889665280215e-04	6.966854449508850904e-03	3.457049046709944305e-04
nan	2.688000000000000256e+01	2.688000000000000458e-02	nan	4.571448869683081393e-04	6.495655916075908191e-03	4.350305777544971717e-04
nan	8.959999999999999076e+00	8.959999999999999215e-03	nan	7.544757218401808383e-04	7.373719820524269122e-03	3.406927530974580625e-04
nan	1.335999999999999943e+01	1.336000000000000035e-02	nan	9.772174032877081924e-04	6.280397502460984341e-03	3.201174841787646523e-04
nan	1.575999999999999979e+01	1.576000000000000317e-02	nan	1.160107820050761736e-03	6.303669158267943481e-03	3.553725606361187589e-04
nan	1.996000000000000085e+01	1.995999999999999858e-02	nan	1.491575358182618523e-03	5.216642716774213401e-03	3.662834011078311023e-04
nan	2.408000000000000185e+01	2.407999999999999724e-02	nan	1.004231349759265781e-03	3.523397827523124838e-03	3.615282579638475066e-04
nan	2.628000000000000114e+01	2.628000000000000475e-02	nan	1.526980250287124407e-03	3.366702229893357018e-03	4.252652470750871438e-04
nan	2.816000000000000369e+01	2.816000000000000100e-02	nan	1.662504200803595952e-03	4.326667606493901294e-03	3.379067550477340932e-04
nan	3.176000000000000156e+01	3.175999999999999657e-02	nan	1.473592813545110316e-03	4.461784881637289105e-03	4.429843343386749631e-04
nan	3.707999999999999829e+01	3.708000000000000185e-02	nan	1.963965049017133476e-03	4.687478868043019539e-03	3.937194541307341596e-04
nan	4.092000000000000171e+01	4.091999999999999804e-02	nan	2.249818245068127033e-03	3.541072777358939515e-03	4.248804857632633653e-04
nan	4.388000000000000256e+01	4.387999999999999540e-02	nan	1.780859414866426890e-03	3.431076977965793334e-03	3.485375731004675820e-04
nan	4.460000000000000142e+01	4.460000000000000075e-02	nan	2.857554060378788337e-03	4.156023197268612912e-03	4.189886575225473353e-04
nan	4.900000000000000000e+01	4.900000000000000189e-02	nan	2.740504764860816119e-03	3.607038600159013543e-03	4.116895409611894398e-04
nan	4.951999999999999602e+01	4.951999999999999458e-02	nan	2.843722681695908406e-03	3.735402620961897433e-03	4.341206500652197773e-04
nan	5.452000000000000313e+01	5.451999999999999902e-02	nan	3.100871113811081055e-03	3.589670492734001704e-03	4.351165619957359583e-04
nan	5.460000000000000142e+01	5.460000000000000270e-02	nan	2.670225770261822670e-03	3.432060407565723590e-03	4.472500029237204584e-04
nan	5.403999999999999915e+01	5.403999999999999776e-02	nan	3.179537940854970830e-03	3.327281412832339136e-03	4.492518680632087290e-04
nan	5.203999999999999915e+01	5.203999999999999598e-02	nan	3.335897107626806333e-03	3.305849926040636128e-03	4.486877227372346112e-04
nan	5.323999999999999488e+01	5.323999999999999566e-02	nan	2.498430744253710145e-03	3.468302534220599979e-03	4.069404082548121757e-04
nan	5.143999999999999773e+01	5.143999999999999961e-02	nan	4.480664028842511366e-03	3.410254953775916469e-03	4.209748599067346430e-04
nan	5.107999999999999829e+01	5.107999999999999347e-02	nan	4.625633705436484923e-03	3.283841949527382953e-03	4.513108918891018664e-04
nan	4.835999999999999943e+01	4.836000000000000021e-02	nan	4.351663684283266741e-03	3.525094535448465398e-03	4.485741525141894066e-04
nan	4.435999999999999943e+01	4.435999999999999666e-02	nan	3.940185749552256762e-03	3.940191130030103878e-03	4.126545346903894951e-04
nan	4.476000000000000512e+01	4.476000000000000117e-02	nan	4.615359573972454936e-03	3.169071053757949348e-03	4.285516367226067653e-04
