# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.988958797287353364e-02	1.076710827078570520e-01	1.009189952068119400e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.492391229451868750e-01	9.098074211282444756e-02	8.540058272704377507e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.995956873077545934e-01	8.642935292418950366e-02	7.196343591454727739e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.497618166898746550e-01	7.607351580158570881e-02	6.456553385409449786e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.996333374570099295e-01	7.329658006588041230e-02	6.043717619708640493e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.493334597907505890e-01	6.487473259237183654e-02	5.599732421275864513e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.995206517560859760e-01	6.631730264314859846e-02	5.356588054889129674e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.472418912216994391e-01	5.999590743160532202e-02	4.853131925552167658e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.994779193938484463e-01	6.164710918993390049e-02	4.800768033366040882e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.486533667870616693e-01	5.650574322466164062e-02	4.318275186169110574e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.605890428390002400e-01	5.519639403643048642e-02	4.207574900362259784e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.489622885899279936e-01	5.517021286016029341e-02	4.045419672890284563e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.983752283499825575e-01	5.504685762627049839e-02	4.025942174166158988e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.491998698601491924e-01	5.202855467537255418e-02	3.579301179390999288e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.989749327265144307e-01	5.261641962378361959e-02	3.533808753390181578e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.475003376591530024e-01	5.116624522708066586e-02	3.652456290133422601e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.983775363231643052e-01	5.024605852048705940e-02	3.546974749573163221e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.477658191440468949e-01	5.334964643410613355e-02	3.433882413862721084e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.992912573956118649e-01	5.130232932932228540e-02	3.254461126858625153e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.047210917226311766e+00	4.951466076158956425e-02	3.361820986160505426e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.097838588805416293e+00	5.108059049825228876e-02	3.159644073203923126e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148761225928319529e+00	4.832863366322667775e-02	3.093969654352085596e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198162514706246018e+00	4.756378348826097169e-02	2.924567190137791761e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.234773721560441073e+00	4.757252261098334628e-02	2.974979876866037237e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.298140690920809082e+00	4.734498012437705905e-02	2.833034555988560646e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.348157678568259188e+00	4.652019331365656041e-02	2.845068886832429617e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.399091904219585514e+00	4.784409382087942419e-02	2.695448415661021863e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.448103818600884551e+00	4.666905081414957773e-02	2.767385059299410505e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497901262118057186e+00	4.687175275809618569e-02	2.881682649272598873e-02
