# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.973975438169802032e-02	4.519720160153381516e-01	1.080423709404740029e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497407450456691436e-01	4.610042061504860955e-01	9.381346327444764488e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.998006182309879364e-01	4.448680469341832477e-01	8.160347347489399494e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.494609498626587651e-01	4.695340507281108300e-01	7.519924477292463938e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.996760097979915827e-01	4.824499302825837610e-01	6.999327384302958532e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.492673165911241995e-01	4.457477287820944545e-01	6.905158164466486392e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.996362082831552698e-01	4.237953125978791147e-01	6.495439026091778811e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.487885639008197813e-01	4.600063109822948304e-01	6.530604964391860390e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.995617708722051020e-01	4.627898228270762582e-01	5.888816923766390654e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.487480003188238697e-01	4.565575682483172248e-01	5.891801855497458273e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.976922858094155799e-01	4.465007062335125676e-01	5.684699118493873049e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.493342023473189784e-01	4.415196038388318756e-01	5.307918715355252476e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.990608559262341259e-01	4.451412501645103381e-01	5.664475603943087967e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.492768189500509379e-01	4.534584183973822125e-01	5.261165550600971352e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.985190024487565097e-01	4.486193913444000425e-01	5.287815914776883286e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.489345264869143648e-01	4.653760448861521404e-01	5.207609182288092109e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.990786807053439134e-01	4.395609953205634746e-01	5.123726243415208104e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.482329630093033757e-01	4.416202950883531542e-01	4.914685961756457000e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.986524785704773421e-01	4.263363580000317787e-01	5.043713751213192709e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048901073525712491e+00	4.646433659614374045e-01	4.992657450269180619e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.098897848240198982e+00	4.581686018255791693e-01	4.821855826371901355e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148436382769205011e+00	4.430207252786669270e-01	5.136611804045328883e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.191752602163774100e+00	4.336792592320379280e-01	5.079187602643511074e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.247148672440857808e+00	4.510164318046780418e-01	4.744718189288697069e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.298821635184765455e+00	4.618153549759184684e-01	5.059127536365769229e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.348458451708552275e+00	4.623225609210735998e-01	4.787712386791218716e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.387218169503739773e+00	4.569442167966704105e-01	4.761792578098765494e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.448551596825438992e+00	4.625135735999613140e-01	4.823743953377401805e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497161779149791982e+00	4.495983371974859866e-01	4.790324658805901470e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.546904853041667138e+00	4.462057087457014792e-01	4.661468133756817983e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.594296407564172569e+00	4.727920354502277434e-01	4.690171253281385372e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.647783661708729142e+00	4.636197081547175358e-01	4.514135694718274944e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.689449544629098909e+00	4.381291278099865849e-01	4.472158883329560575e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.744246260618979250e+00	4.570941599442294168e-01	4.773018941662360987e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.773356160000560067e+00	4.567131375870165377e-01	4.677595982298292376e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.849518456649661857e+00	4.298386376532202235e-01	4.384889811514996322e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.894675958505331437e+00	4.592014957627633676e-01	4.681465007945181250e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.948588028415372264e+00	4.580384199122704003e-01	4.661970913535402883e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.996119635666389058e+00	4.565340175651614318e-01	4.731565918281679939e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.941319609288967740e-02	4.743855913427038051e-01	1.137015769989782044e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497830268548270283e-01	4.579745998075694380e-01	9.182273382420752528e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997962960613151040e-01	4.503947033885292162e-01	8.297741808416710108e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.494158504958292610e-01	4.461074961003591022e-01	7.693209485293661665e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.992541048327552744e-01	4.778869871738680164e-01	6.977591071200131556e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.492571303929423721e-01	4.759874736813032303e-01	6.818632138851329905e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.987050707071944089e-01	4.482883630883114923e-01	6.690876738846822380e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.494201264621011660e-01	4.550571725886617958e-01	6.069114393572749150e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.992212132246720557e-01	4.510473032950456651e-01	6.077245245637050153e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.483628463318268587e-01	4.785390281178490413e-01	6.107470205515570794e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.989624010261422882e-01	4.363509813132632198e-01	5.713833965514251295e-02
