# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	3.017500000000000000e+02	3.017499999999999627e-01	nan	9.249642847386496669e-04	1.481189733348552660e-02	1.005615806670978130e-03
nan	3.813750000000000000e+02	3.813750000000000751e-01	nan	1.398510367078387162e-03	1.291628154482421693e-02	1.032489790799487241e-03
nan	4.529375000000000000e+02	4.529374999999999929e-01	nan	1.941990591319608939e-03	1.160934850727550482e-02	1.062375228958973043e-03
nan	5.091875000000000000e+02	5.091875000000000151e-01	nan	2.363492437906344890e-03	1.016584166537429397e-02	1.064136015815612306e-03
nan	5.539375000000000000e+02	5.539374999999999716e-01	nan	3.083348568335253503e-03	9.300342624220289678e-03	1.051396312886719803e-03
nan	6.136250000000000000e+02	6.136249999999999760e-01	nan	3.441630331636247320e-03	9.099753625039815400e-03	1.070776564787074593e-03
nan	6.621875000000000000e+02	6.621874999999999289e-01	nan	4.266799359779582801e-03	8.465930541538668058e-03	1.065178601484524472e-03
nan	6.936250000000000000e+02	6.936250000000000471e-01	nan	5.055384997248779655e-03	8.169521054728873244e-03	1.058851737226510934e-03
nan	7.305625000000000000e+02	7.305625000000000036e-01	nan	5.143470394930460543e-03	8.054930356576570430e-03	1.065838811042336748e-03
nan	7.637500000000000000e+02	7.637499999999999289e-01	nan	5.995688217616645943e-03	7.136190811954354167e-03	1.076617713881759461e-03
nan	8.124375000000000000e+02	8.124374999999999236e-01	nan	6.619526847451595586e-03	6.722283616266663472e-03	1.060312678442855167e-03
nan	8.331875000000000000e+02	8.331874999999999698e-01	nan	7.559684203364724908e-03	6.922402880674045217e-03	1.063710725679180855e-03
nan	8.632500000000000000e+02	8.632499999999999618e-01	nan	7.834068685468764670e-03	6.414913493011147917e-03	1.079122170537344947e-03
nan	9.073750000000000000e+02	9.073750000000000426e-01	nan	8.449118476669070787e-03	6.043905918135071033e-03	1.062762604849305055e-03
nan	9.376875000000000000e+02	9.376875000000000071e-01	nan	8.534125136272052714e-03	6.431597627182263424e-03	1.081365493064611639e-03
nan	9.590000000000000000e+02	9.589999999999998526e-01	nan	9.879643445231067744e-03	6.346462171857900070e-03	1.080813087799399825e-03
nan	9.890625000000000000e+02	9.890624999999999556e-01	nan	1.085570134119251406e-02	6.066753866484959554e-03	1.075716257682164667e-03
nan	1.006312500000000000e+03	1.006312499999999943e+00	nan	1.115257048545714724e-02	5.637582518737162957e-03	1.063228295417877924e-03
nan	1.051875000000000000e+03	1.051874999999999893e+00	nan	1.168423463403911455e-02	5.688056041918271299e-03	1.085485166141837016e-03
nan	1.066000000000000000e+03	1.066000000000000059e+00	nan	1.240068011640005352e-02	5.726717216499672448e-03	1.070418647591527559e-03
nan	1.078375000000000000e+03	1.078375000000000083e+00	nan	1.394746319284934089e-02	5.466197189600211295e-03	1.083303066936019314e-03
nan	1.097062500000000000e+03	1.097062499999999829e+00	nan	1.408468655893102550e-02	5.315305137517214833e-03	1.083375608236128483e-03
nan	1.147750000000000000e+03	1.147750000000000048e+00	nan	1.519985212772212435e-02	5.735943163002715783e-03	1.069574659926479133e-03
nan	1.154625000000000000e+03	1.154625000000000012e+00	nan	1.543464189390419961e-02	5.217037070236126700e-03	1.082219589412122774e-03
nan	1.179500000000000000e+03	1.179499999999999993e+00	nan	1.623834725185702155e-02	5.647392300294660876e-03	1.092582273183535617e-03
nan	1.194375000000000000e+03	1.194374999999999964e+00	nan	1.715043507159919045e-02	5.270985718025787865e-03	1.089491322504362565e-03
nan	1.246125000000000000e+03	1.246125000000000149e+00	nan	1.726807646620898140e-02	5.345093939171654054e-03	1.076645124619690641e-03
nan	1.242562500000000000e+03	1.242562500000000014e+00	nan	1.939577649108059632e-02	5.236447087624701742e-03	1.054587078586982467e-03
nan	1.274812500000000000e+03	1.274812499999999904e+00	nan	1.929893873717958286e-02	5.095774319670640616e-03	1.084865944228679147e-03
nan	1.279375000000000000e+03	1.279374999999999929e+00	nan	1.994911972376200993e-02	5.202440899311371048e-03	1.103232473513550849e-03
nan	1.296250000000000000e+03	1.296250000000000124e+00	nan	1.985365390858362389e-02	4.664646325840928615e-03	1.075417135742055569e-03
nan	1.328250000000000000e+03	1.328249999999999709e+00	nan	2.198206962739845949e-02	4.998246031468406465e-03	1.093364518980913247e-03
nan	1.341000000000000000e+03	1.340999999999999970e+00	nan	2.273183361887731735e-02	4.688661492721771587e-03	1.075236089815865713e-03
nan	1.367687500000000000e+03	1.367687500000000167e+00	nan	2.427920752764123336e-02	4.958300778071337081e-03	1.065304972193481959e-03
nan	1.397125000000000000e+03	1.397124999999999950e+00	nan	2.339057304166658469e-02	4.779976071429777040e-03	1.089872408284923858e-03
nan	1.412312500000000000e+03	1.412312500000000082e+00	nan	2.558145513391707482e-02	4.905197082577036384e-03	1.089229854964143254e-03
