# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.823000000000000043e+01	2.822999999999999815e-02	nan	1.634328973632648350e-04	4.584670650718066127e-03	2.335379491882144610e-04
nan	2.535000000000000142e+01	2.535000000000000100e-02	nan	2.214944523856843370e-04	4.028113867140485985e-03	2.573087803759051555e-04
nan	7.659999999999999254e+00	7.660000000000000142e-03	nan	4.007737225228711698e-04	4.359157274234056259e-03	2.032586506584155447e-04
nan	1.117999999999999972e+01	1.117999999999999897e-02	nan	4.239227798018058895e-04	2.842744664048623728e-03	2.194220680404225402e-04
nan	1.251999999999999957e+01	1.251999999999999988e-02	nan	4.901052279274153425e-04	2.683731414668429332e-03	2.264965583334234889e-04
nan	1.503000000000000114e+01	1.503000000000000169e-02	nan	5.883188130474082626e-04	2.242818564362427606e-03	2.314884155059867307e-04
nan	1.691999999999999815e+01	1.692000000000000101e-02	nan	7.014077067367452184e-04	2.435845189768025797e-03	2.592249674262923518e-04
nan	1.935000000000000142e+01	1.934999999999999915e-02	nan	7.121767766108177749e-04	2.475612780697606253e-03	2.483514716410658912e-04
nan	2.176999999999999957e+01	2.177000000000000116e-02	nan	9.361750438154103123e-04	2.192990952198544102e-03	2.647912990814221780e-04
nan	2.228999999999999915e+01	2.229000000000000078e-02	nan	7.963996515400140414e-04	2.023453098371264837e-03	2.465368075952621479e-04
nan	2.548000000000000043e+01	2.547999999999999571e-02	nan	1.009625257237303179e-03	2.194416918045677487e-03	2.624704356418886648e-04
nan	2.788999999999999702e+01	2.789000000000000506e-02	nan	1.244022893115470695e-03	2.108657485519790063e-03	2.576970522676218537e-04
nan	2.933999999999999631e+01	2.933999999999999803e-02	nan	1.400740470156733785e-03	2.014676319064834849e-03	2.654324757920853797e-04
nan	2.982000000000000028e+01	2.982000000000000275e-02	nan	1.480503342679639857e-03	1.849948805525939485e-03	2.711854342069659144e-04
nan	3.220000000000000284e+01	3.219999999999999252e-02	nan	1.498186461259365431e-03	1.993680630041448978e-03	2.607042632172396198e-04
nan	3.333999999999999631e+01	3.334000000000000158e-02	nan	1.632214298844019296e-03	1.818429803250674621e-03	2.716048354763310187e-04
nan	3.376999999999999602e+01	3.377000000000000141e-02	nan	1.665955304933959156e-03	1.884510586101201908e-03	2.583993312733647279e-04
nan	3.456000000000000227e+01	3.456000000000000044e-02	nan	1.857206422484978343e-03	1.844255958220256770e-03	2.690670763392413560e-04
nan	3.556000000000000227e+01	3.555999999999999439e-02	nan	1.739563578619254033e-03	1.784732741585202346e-03	2.762249542444024527e-04
