# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	4.916000000000000227e+02	4.916000000000001480e-01	nan	3.569648064596719819e-03	6.213642516509072788e-02	2.577178242463111935e-03
nan	4.316000000000000227e+02	4.316000000000000947e-01	nan	5.461545260112643171e-03	4.815682111777445928e-02	2.597556190972546367e-03
nan	1.285999999999999943e+02	1.285999999999999921e-01	nan	6.654533901169656929e-03	3.838872689477925565e-02	2.475369966166258810e-03
nan	1.865000000000000000e+02	1.864999999999999991e-01	nan	7.437198904369779484e-03	3.996241373879375752e-02	2.487029677675069682e-03
nan	1.961999999999999886e+02	1.962000000000000133e-01	nan	9.951245870570345903e-03	3.125353448434099735e-02	2.492796954331838628e-03
nan	2.363000000000000114e+02	2.363000000000000378e-01	nan	1.183013148767031453e-02	3.086063631069789828e-02	2.699075703251103183e-03
nan	2.778000000000000114e+02	2.777999999999999914e-01	nan	1.335795952767853192e-02	3.093960313170624962e-02	2.677434768161097468e-03
nan	3.355000000000000000e+02	3.355000000000000204e-01	nan	1.510190507236757254e-02	2.690200817176902764e-02	2.750276519937562038e-03
nan	3.606999999999999886e+02	3.607000000000000206e-01	nan	1.860613527811096762e-02	2.882905410895071976e-02	2.666465151237846273e-03
nan	3.738000000000000114e+02	3.737999999999999656e-01	nan	2.073664189341570957e-02	2.640280003411834414e-02	2.683577645979258290e-03
nan	4.243999999999999773e+02	4.243999999999999995e-01	nan	2.239895739764961174e-02	2.711990116491226274e-02	2.689270135129911282e-03
nan	4.531000000000000227e+02	4.531000000000000583e-01	nan	2.428038947814457199e-02	2.420230900500716653e-02	2.800153351805510608e-03
nan	4.866000000000000227e+02	4.866000000000000325e-01	nan	2.489414894405399606e-02	2.530060683164026686e-02	2.813434277065943612e-03
nan	4.970000000000000000e+02	4.969999999999999973e-01	nan	2.703456863049496020e-02	2.046869651374179713e-02	2.716809989477977569e-03
nan	5.418999999999999773e+02	5.419000000000000483e-01	nan	3.327637044855009940e-02	2.156059909783945502e-02	2.814471769721677268e-03
nan	5.553999999999999773e+02	5.553999999999998938e-01	nan	3.388355614033571050e-02	2.148810020248512545e-02	2.777917572658219862e-03
nan	5.852999999999999545e+02	5.853000000000000425e-01	nan	3.674489973003573773e-02	2.340605684519304203e-02	2.795623900169959090e-03
nan	6.017999999999999545e+02	6.018000000000000016e-01	nan	3.959316829856333875e-02	2.031713683354818833e-02	2.767909968047664853e-03
nan	6.092000000000000455e+02	6.092000000000000748e-01	nan	4.010847183967598817e-02	2.326668027093658359e-02	2.827625714040106399e-03
nan	6.110000000000000000e+02	6.110000000000000986e-01	nan	4.067793766807881184e-02	2.149417205046684487e-02	2.793436562327064523e-03
nan	6.117999999999999545e+02	6.117999999999998995e-01	nan	4.415538322980409880e-02	2.130289018683965280e-02	2.687545528423999387e-03
nan	5.952999999999999545e+02	5.953000000000000513e-01	nan	4.799815180333553283e-02	2.165668823790942513e-02	2.864295310851193085e-03
nan	5.663999999999999773e+02	5.664000000000000146e-01	nan	4.848676702770262498e-02	2.043918970690809800e-02	2.765687156247540694e-03
nan	5.530000000000000000e+02	5.530000000000000471e-01	nan	5.402275935205125279e-02	1.903025731979304108e-02	2.750356644671825279e-03
nan	5.160000000000000000e+02	5.160000000000000142e-01	nan	5.121459046506515733e-02	1.997933360196581590e-02	2.713124852441905176e-03
nan	4.838000000000000114e+02	4.838000000000000078e-01	nan	5.750593511932038104e-02	1.901129498166946596e-02	2.797456267732869109e-03
nan	4.556999999999999886e+02	4.556999999999999384e-01	nan	5.709825245853607928e-02	2.007899408825195367e-02	2.744072005201607552e-03
nan	4.065000000000000000e+02	4.065000000000000280e-01	nan	5.921880490284366083e-02	1.890637026219595465e-02	2.725742961903106828e-03
nan	3.683000000000000114e+02	3.682999999999999607e-01	nan	6.120399036103663093e-02	1.761822010364585273e-02	2.679062094789457383e-03
nan	3.358000000000000114e+02	3.358000000000000429e-01	nan	6.789023402131988405e-02	1.754685792655771154e-02	2.462185237844983707e-03
nan	2.988000000000000114e+02	2.988000000000000100e-01	nan	7.088911600963002102e-02	1.565431271581899098e-02	2.739207902892629599e-03
nan	2.613999999999999773e+02	2.613999999999999657e-01	nan	7.268397645332243251e-02	1.759964964592350412e-02	2.529428019317961959e-03
nan	2.401999999999999886e+02	2.402000000000000246e-01	nan	6.884532192973438769e-02	1.496341706210272196e-02	2.656224692774288888e-03
nan	2.171999999999999886e+02	2.171999999999999764e-01	nan	7.480700772746332050e-02	1.627496210416478836e-02	2.234649207210971916e-03
nan	1.919000000000000057e+02	1.918999999999999873e-01	nan	6.006451812738759777e-02	1.624213528385694966e-02	2.235746188271207913e-03
nan	1.553000000000000114e+02	1.552999999999999936e-01	nan	6.924376370104709522e-02	1.484632598787219426e-02	2.310981212682622962e-03
nan	1.431999999999999886e+02	1.431999999999999940e-01	nan	7.784642608171452038e-02	1.392402189206256614e-02	2.331515092537385456e-03
nan	1.205999999999999943e+02	1.206000000000000127e-01	nan	7.395013070106415398e-02	1.374309901782617971e-02	2.173839079851901460e-03
nan	9.679999999999999716e+01	9.679999999999998328e-02	nan	9.380064599393442282e-02	1.775184175187315139e-02	2.349165904519307391e-03
nan	3.981999999999999886e+02	3.981999999999999429e-01	nan	3.775836133584675736e-03	5.638162535724278168e-02	2.096535722671325624e-03
nan	3.516000000000000227e+02	3.516000000000000236e-01	nan	5.393175668746153124e-03	5.831049596750433051e-02	2.168729195595025302e-03
nan	1.005000000000000000e+02	1.004999999999999921e-01	nan	7.179056047855597589e-03	4.501524011089040600e-02	1.858432751936047855e-03
nan	1.526999999999999886e+02	1.527000000000000024e-01	nan	8.041454943332837155e-03	3.141257887249853525e-02	1.971601711161485079e-03
nan	1.719000000000000057e+02	1.718999999999999972e-01	nan	1.064355185425824857e-02	3.289343745166407179e-02	1.944780602641016419e-03
nan	2.070999999999999943e+02	2.071000000000000063e-01	nan	1.266385234228550871e-02	2.863694051659696968e-02	2.191229588098073111e-03
nan	2.460999999999999943e+02	2.461000000000000409e-01	nan	1.414620815196485602e-02	3.041119110702621836e-02	2.149893641388123111e-03
nan	2.758000000000000114e+02	2.758000000000000451e-01	nan	1.701933612373522989e-02	3.159762465303054407e-02	2.255226911393159225e-03
nan	2.903000000000000114e+02	2.903000000000000025e-01	nan	1.705556709710549443e-02	3.112717663323921746e-02	2.229101418551412105e-03
nan	3.163999999999999773e+02	3.163999999999999591e-01	nan	1.849180738463473972e-02	2.571803727820961422e-02	2.209941376515722235e-03
nan	3.466999999999999886e+02	3.467000000000000637e-01	nan	2.151162646888451352e-02	2.377233211645426308e-02	2.270029235726515361e-03
nan	3.833999999999999773e+02	3.833999999999999631e-01	nan	2.638560329320398593e-02	2.504959081285596662e-02	2.260848914678043574e-03
nan	4.006999999999999886e+02	4.006999999999999451e-01	nan	2.367443679663665604e-02	2.219911578885456691e-02	2.204694680657355663e-03
nan	4.223999999999999773e+02	4.223999999999999977e-01	nan	2.810962091374449162e-02	2.368938671744219918e-02	2.239613357522976175e-03
nan	4.563000000000000114e+02	4.562999999999999834e-01	nan	3.007713412820294321e-02	2.389071248232722822e-02	2.236645315494053838e-03
nan	4.681999999999999886e+02	4.682000000000000606e-01	nan	3.302057029222851131e-02	2.182303445312240228e-02	2.220594297060710445e-03
nan	4.863000000000000114e+02	4.862999999999999545e-01	nan	3.120269811719254133e-02	1.951116962837034369e-02	2.334872108527201538e-03
nan	4.945000000000000000e+02	4.945000000000000506e-01	nan	3.870541800322371134e-02	2.166724254334856728e-02	2.286285927100323908e-03
nan	5.048000000000000114e+02	5.048000000000000265e-01	nan	3.692152234380045861e-02	1.961341628803119769e-02	2.284269194408525099e-03
nan	5.207999999999999545e+02	5.208000000000000407e-01	nan	4.107609729001069493e-02	2.293209543450924065e-02	2.258003320414025353e-03
nan	5.096000000000000227e+02	5.095999999999999419e-01	nan	3.963698000493422885e-02	2.059129057668287327e-02	2.349771967881074397e-03
nan	4.891999999999999886e+02	4.892000000000000237e-01	nan	4.253323806922253147e-02	1.827004505902803805e-02	2.312952028038332570e-03
nan	4.711000000000000227e+02	4.711000000000000187e-01	nan	4.624524956288951494e-02	1.940083954045202647e-02	2.315948913952159578e-03
nan	4.456999999999999886e+02	4.456999999999999851e-01	nan	4.721879182002339942e-02	2.130545692053892326e-02	2.278421937329228215e-03
nan	4.398999999999999773e+02	4.399000000000000132e-01	nan	5.210595738926713377e-02	2.016641439259803797e-02	2.337892831178058073e-03
nan	4.176000000000000227e+02	4.176000000000000267e-01	nan	4.968041090940004956e-02	1.998398457409571866e-02	2.293404128782795814e-03
nan	3.685000000000000000e+02	3.684999999999999942e-01	nan	5.553739331335236923e-02	1.987054022118238047e-02	2.295820822486208546e-03
nan	3.416000000000000227e+02	3.416000000000000147e-01	nan	5.697665435834551456e-02	1.726730191565331932e-02	2.188456090649822799e-03
nan	3.150000000000000000e+02	3.149999999999999467e-01	nan	6.032119425667588353e-02	1.793697654447754322e-02	2.231229512713941987e-03
nan	2.878000000000000114e+02	2.878000000000000003e-01	nan	6.251561829321872210e-02	1.734208502033267665e-02	2.300441943837308080e-03
nan	2.598999999999999773e+02	2.599000000000000199e-01	nan	6.262178218430562715e-02	1.570920972135771837e-02	2.184109053403383328e-03
nan	2.234000000000000057e+02	2.234000000000000430e-01	nan	6.167786633873219987e-02	1.639426345866986517e-02	2.147077970548731500e-03
nan	1.921999999999999886e+02	1.922000000000000097e-01	nan	6.130650742766192984e-02	1.797508150578981667e-02	2.084416785636690646e-03
nan	1.751999999999999886e+02	1.751999999999999946e-01	nan	7.090758672297851894e-02	1.704305107169785255e-02	1.758195938550763306e-03
nan	1.665999999999999943e+02	1.665999999999999981e-01	nan	6.712161195446242345e-02	1.669222439990197121e-02	2.088286548288797138e-03
nan	1.385999999999999943e+02	1.386000000000000010e-01	nan	7.077185648320209743e-02	1.681445608453936008e-02	1.949163751997003580e-03
nan	1.250000000000000000e+02	1.250000000000000000e-01	nan	6.442240248068173414e-02	1.603728023878371947e-02	2.133986242826752672e-03
nan	9.620000000000000284e+01	9.619999999999999385e-02	nan	8.754869314690416626e-02	1.862343175692728059e-02	1.865480849711749402e-03
nan	8.140000000000000568e+01	8.140000000000000013e-02	nan	1.002133451784946311e-01	2.019005353889418916e-02	1.653121898198195525e-03
nan	3.018999999999999773e+02	3.019000000000000017e-01	nan	3.398742549316580239e-03	6.055930772580159216e-02	1.571676574391552049e-03
nan	2.645000000000000000e+02	2.645000000000000684e-01	nan	5.039849236206350377e-03	4.648309737017831955e-02	1.580095100566976081e-03
nan	8.429999999999999716e+01	8.429999999999998606e-02	nan	8.325996311734910893e-03	5.551960939277759272e-02	1.323958883010097846e-03
nan	1.170999999999999943e+02	1.171000000000000096e-01	nan	9.546915665339383850e-03	3.523315049895962836e-02	1.643167985142943849e-03
nan	1.296999999999999886e+02	1.296999999999999820e-01	nan	1.030387303487714269e-02	3.814382318391795756e-02	1.610600956502255014e-03
nan	1.679000000000000057e+02	1.678999999999999937e-01	nan	1.364231167397633726e-02	3.028432729095448944e-02	1.662884682865446370e-03
nan	1.875000000000000000e+02	1.875000000000000000e-01	nan	1.330349647710136161e-02	2.849480137569878474e-02	1.597501897442673430e-03
nan	2.225999999999999943e+02	2.225999999999999923e-01	nan	1.500204437693923934e-02	2.745491216744332455e-02	1.744107636485397973e-03
nan	2.400999999999999943e+02	2.400999999999999801e-01	nan	1.676547727643651342e-02	2.629882326273090890e-02	1.631495769660991791e-03
nan	2.495000000000000000e+02	2.494999999999999996e-01	nan	1.940869992729403817e-02	2.661035473487623551e-02	1.803322922066046344e-03
nan	2.863000000000000114e+02	2.862999999999999989e-01	nan	1.973155624385753912e-02	2.368711327226586533e-02	1.781621506869327702e-03
nan	3.023000000000000114e+02	3.023000000000000131e-01	nan	2.172517473660491236e-02	2.578861596419019728e-02	1.715319652120411362e-03
nan	3.211999999999999886e+02	3.212000000000000410e-01	nan	2.500522130726494721e-02	2.446542795841801302e-02	1.716908228947882850e-03
nan	3.345000000000000000e+02	3.344999999999999640e-01	nan	2.607282270541872934e-02	2.337155098394671365e-02	1.809965710132775251e-03
nan	3.555000000000000000e+02	3.555000000000000382e-01	nan	2.871149327801276671e-02	2.319906683051993490e-02	1.757395629068433983e-03
nan	3.861999999999999886e+02	3.861999999999999877e-01	nan	3.011306186544970842e-02	2.229587381145677408e-02	1.758154475967760701e-03
nan	3.811999999999999886e+02	3.811999999999999833e-01	nan	3.349028337077016027e-02	2.093125164249248077e-02	1.715604559843547303e-03
nan	4.073000000000000114e+02	4.072999999999999399e-01	nan	3.225022489841648798e-02	2.156074905661960889e-02	1.860516274019297046e-03
nan	4.001000000000000227e+02	4.000999999999999557e-01	nan	3.743488584026408855e-02	2.118776251323351359e-02	1.833202881618066450e-03
nan	4.010000000000000000e+02	4.009999999999999676e-01	nan	3.575826157446045095e-02	2.053420028660136662e-02	1.798236487941436536e-03
nan	4.023999999999999773e+02	4.023999999999999799e-01	nan	4.075015411558524647e-02	2.024176056746668922e-02	1.738887431441250072e-03
nan	3.938999999999999773e+02	3.939000000000000279e-01	nan	4.140366628416813910e-02	1.923186093616716108e-02	1.882583679737124399e-03
