# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.987861269080865884e-03	1.128618450416716754e-02	1.072724043173632971e-02
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.495398726377203391e-02	9.112335634424918035e-03	8.583800731081291796e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.869824255500061178e-02	8.556363554409036898e-03	7.508823094644026530e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.495078273577831796e-02	7.923736390706183352e-03	6.572308171404099911e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.900834848830401505e-02	7.225402644861028852e-03	5.919635336746705521e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	3.495480753513106886e-02	6.584867118849746341e-03	5.653020358021046757e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	3.992360216476299739e-02	6.210186459905025873e-03	5.340581610414611713e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	4.485211696774854540e-02	6.362084079175396763e-03	4.973220791233452440e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	4.988716115062175049e-02	6.010499215495718368e-03	4.597003828177420419e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	5.484893349429512815e-02	5.813004459906794159e-03	4.590153540039100706e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	5.992017059891054792e-02	5.768487606426155045e-03	4.285909420939862900e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.488838017772877165e-02	5.551562833819776582e-03	4.079318734398963697e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.989910113706286621e-02	5.578675978364973191e-03	3.950301586047066590e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	7.252730067371758460e-02	5.261879507839739567e-03	3.876111933756321189e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	7.983789180088365911e-02	5.451185297588230852e-03	3.712582013481772851e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	8.214382522081339899e-02	5.028965629291505882e-03	3.536850446595467875e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	8.703788094375342066e-02	5.023191817596033178e-03	3.651322647723814936e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.488701199228558036e-02	5.208313975680096616e-03	3.401805840015131172e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.978682229216587207e-02	4.900591801339051687e-03	3.303152222591522642e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.047921086987480405e-01	4.854140393986386762e-03	3.245365215447928216e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.098284270551744130e-01	5.028656426275211581e-03	3.200331629687940514e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.147572595514384231e-01	4.747995782669008243e-03	3.034806678670791576e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.188259193110479811e-01	4.823642778142697360e-03	3.103959849842864369e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.247963146586312105e-01	4.746121933222082791e-03	2.972822424860510453e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.298487917500756317e-01	4.664686699431477498e-03	3.022105331592902198e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.348525922846329217e-01	4.690770623827374662e-03	2.965309138263651570e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.392124043603712447e-01	4.683109323212064287e-03	2.852639851009425385e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.448274124969202714e-01	4.693453917201943944e-03	2.821934867884733598e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.492073338992759290e-01	4.707389536406902594e-03	2.695930734167898378e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.548193901415174933e-01	4.656241319716724648e-03	2.702776148181755978e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.593927846284418637e-01	4.644480125043598182e-03	2.668480234591747054e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.646472537842555428e-01	4.502550685650705611e-03	2.695899357529933042e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.693226665971337697e-01	4.448784024224135616e-03	2.669788054849730856e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.748471628340712569e-01	4.673078471674350400e-03	2.511241421093875475e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.737367191633822361e-01	4.590647021858587640e-03	2.525849168421275773e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.788662140799837930e-01	4.475036034686803721e-03	2.455122303563176452e-03
