# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.985557638644237954e-02	1.112736965531402750e-01	1.024928505559788844e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497933431395281900e-01	9.501604098627619566e-02	8.555440606711965656e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.995634993908410593e-01	8.264317520115928295e-02	7.200382996976703587e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.483169131415365882e-01	7.602847339376533897e-02	6.903645913421374569e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.995986932481571330e-01	7.269686502457020638e-02	5.933189720611966450e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.494522688140051514e-01	6.686511349285446937e-02	5.570016494522265355e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.982873535589277481e-01	6.515706941761210957e-02	5.140483568723815816e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.484540646043484458e-01	6.024011508461882269e-02	4.938900844365989862e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.993651230427644805e-01	6.200686197320506854e-02	4.606476966986455118e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.411700626167998962e-01	5.918523800213036645e-02	4.571811891466548428e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.992717530447748686e-01	5.454603531957381846e-02	4.355401039501269334e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.495778097764173253e-01	5.616000071637708424e-02	4.069725531520048539e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.989311566241269702e-01	5.498246488435692275e-02	4.114674188167609381e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.480864036165826292e-01	5.375789083446694261e-02	3.984862317034140733e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.990918005631613141e-01	5.209818352353048909e-02	3.687237503284956225e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.415192561621722689e-01	5.103270354136107967e-02	3.696623797018665225e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.990863329810565574e-01	5.252103468438651390e-02	3.686580236640186331e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.485098547247901024e-01	4.912799547102422726e-02	3.562508690271743578e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.988126679389495166e-01	5.153120319263249788e-02	3.388659595860661622e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048313853666797968e+00	4.784439163149711155e-02	3.204080695315187494e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.098693457547938124e+00	4.776613426810519258e-02	3.314883801777115946e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148217502924239852e+00	4.790455357614691739e-02	3.098405227296268175e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.197970136180913414e+00	5.112019762554470548e-02	3.136517282992082323e-02
