# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.967673139754254508e-02	1.121842487186566900e-01	1.044112304543946268e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.494211271457146495e-01	9.355948947544519279e-02	8.900567394545053079e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997515725121218055e-01	8.580298727414686910e-02	7.490486708237406588e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.497082330924030313e-01	7.671256848164378916e-02	6.778247386170067890e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.992509058973496505e-01	6.999692669429295744e-02	6.282167385110540292e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.491212221678836047e-01	6.704523289778392681e-02	5.644764687033737571e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.983162491666462079e-01	6.230915023794854346e-02	5.375688875225191621e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.488275663285264949e-01	6.059698808478956172e-02	5.050641383273633822e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.990325646905603429e-01	5.822470611058595813e-02	4.760348962862302052e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.494034271307668416e-01	5.730523069119158874e-02	4.725822700554880434e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.991449564124990967e-01	5.750790395015548118e-02	4.388163612725119733e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.489082432568693548e-01	5.508038282817186854e-02	4.249633829700347198e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.986392181261521506e-01	5.424125228306845431e-02	4.011451512991180690e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.488404218731034012e-01	5.419322000020330987e-02	4.031918252008945963e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.991037894675514508e-01	5.389566064405543200e-02	3.911148810102917789e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.215823691797060624e-01	5.237273339743155759e-02	3.733713705893791646e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.985437689275499462e-01	4.959829867571773077e-02	3.734899806438000264e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.184255493976504203e-01	4.918660006975368593e-02	3.568593673585540582e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.984457319668422759e-01	4.903573962087878074e-02	3.495943507417845209e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.047981520124767529e+00	4.923806913216725867e-02	3.322790010666532012e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.096460520884784184e+00	4.765512609207071121e-02	3.463375067593300188e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148615633149233872e+00	4.660085579926427635e-02	3.317740953598708603e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198484413232836276e+00	4.754814378940978165e-02	3.226879586798934302e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.247530397737409702e+00	4.844983849402949294e-02	3.166495971060286768e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.291329127129984045e+00	4.659003635776753915e-02	3.163262355439888651e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.347970371806149981e+00	4.725057107574863469e-02	3.055357667319687567e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.395855797870694914e+00	4.625392116981395102e-02	3.074651164487698235e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.444248718965059242e+00	4.468926151278111714e-02	3.015205778357524929e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.498440541978288909e+00	4.662909059658225386e-02	2.838165144098546769e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.542910836262535668e+00	4.442285762352047446e-02	2.881758760500217550e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.597004527203898849e+00	4.397867182057522278e-02	2.891476184864555377e-02
