# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	5.256000000000000227e+01	5.256000000000000949e-02	nan	1.777672408596231337e-04	6.009903206991981314e-03	2.646734182767195129e-04
nan	6.615999999999999659e+01	6.615999999999999659e-02	nan	2.964047411748538079e-04	4.608753469564403141e-03	2.675594578077310193e-04
nan	7.715999999999999659e+01	7.716000000000000636e-02	nan	3.888104690830118670e-04	4.075261901782130033e-03	2.703352058507816984e-04
nan	8.892000000000000171e+01	8.891999999999999904e-02	nan	4.687680414974693013e-04	3.846177644139342662e-03	2.735701823690810976e-04
nan	9.745000000000000284e+01	9.744999999999999496e-02	nan	6.124983572118480489e-04	3.395225008419226666e-03	2.804850145324674286e-04
nan	1.095300000000000011e+02	1.095299999999999885e-01	nan	6.694169682276651873e-04	3.292316986571416134e-03	2.784995868960094163e-04
nan	1.147299999999999898e+02	1.147299999999999986e-01	nan	7.882563053351531943e-04	3.174795694122756022e-03	2.801578566340816572e-04
nan	1.225000000000000000e+02	1.224999999999999839e-01	nan	9.209320495421025824e-04	2.848947201580774753e-03	2.784707259004382917e-04
nan	1.294499999999999886e+02	1.294500000000000095e-01	nan	1.016939712118301083e-03	2.850911139169572811e-03	2.843156654985887362e-04
nan	1.345200000000000102e+02	1.345200000000000007e-01	nan	1.110675574878996607e-03	2.673463630523081284e-03	2.804875243644572910e-04
nan	1.418400000000000034e+02	1.418400000000000216e-01	nan	1.222253986903751831e-03	2.680637839941473182e-03	2.846135378418091421e-04
nan	1.473700000000000045e+02	1.473699999999999732e-01	nan	1.365293669672382713e-03	2.482917982704532182e-03	2.800757938436363522e-04
nan	1.538700000000000045e+02	1.538700000000000068e-01	nan	1.529401153751450701e-03	2.444332471914250314e-03	2.842736183815522703e-04
nan	1.584300000000000068e+02	1.584300000000000153e-01	nan	1.599653715813929107e-03	2.439620907999867985e-03	2.866003319115255268e-04
nan	1.621299999999999955e+02	1.621300000000000241e-01	nan	1.573263650946046073e-03	2.365052739945425544e-03	2.863858092299081297e-04
nan	1.700600000000000023e+02	1.700600000000000167e-01	nan	1.881096436984535216e-03	2.345519801962364474e-03	2.844712178251462744e-04
nan	1.730999999999999943e+02	1.730999999999999761e-01	nan	1.968558707100100721e-03	2.317474795972091547e-03	2.847351726536104743e-04
nan	1.775600000000000023e+02	1.775599999999999679e-01	nan	2.104394640045938875e-03	2.188172193901129908e-03	2.823935602197351086e-04
nan	1.818900000000000148e+02	1.818899999999999961e-01	nan	2.306242848667352553e-03	2.161788084001454221e-03	2.832360001311470159e-04
nan	1.868299999999999841e+02	1.868299999999999961e-01	nan	2.452304309035753353e-03	2.074818312885624502e-03	2.849500307210799913e-04
nan	1.933000000000000114e+02	1.932999999999999718e-01	nan	2.590776505217036105e-03	2.200203859867942008e-03	2.868817728869690041e-04
nan	1.968499999999999943e+02	1.968499999999999972e-01	nan	2.768598564543935624e-03	2.155059041593980831e-03	2.871059919392018487e-04
nan	1.991099999999999852e+02	1.991100000000000092e-01	nan	2.906637774408409470e-03	2.028622119648906558e-03	2.880861236700707180e-04
nan	2.047400000000000091e+02	2.047400000000000053e-01	nan	3.075439935553276900e-03	2.173300853240290893e-03	2.860281731175844154e-04
nan	2.070800000000000125e+02	2.070799999999999308e-01	nan	3.025307719740339893e-03	1.943706142604900667e-03	2.868100848207475666e-04
nan	2.093800000000000239e+02	2.093800000000000383e-01	nan	3.282858222207778263e-03	2.016432806562855427e-03	2.841902187921493570e-04
nan	2.167300000000000182e+02	2.167299999999999505e-01	nan	3.396770800648028256e-03	2.109963923610720746e-03	2.857557935274725224e-04
nan	2.216699999999999875e+02	2.216700000000000337e-01	nan	3.671926480490128424e-03	1.978926527573090458e-03	2.878137312388282139e-04
nan	2.226099999999999852e+02	2.226100000000000301e-01	nan	3.685106172320047613e-03	1.970586115344924883e-03	2.900243579091008484e-04
nan	2.267699999999999818e+02	2.267699999999999994e-01	nan	3.864978231283657840e-03	1.851908473611217718e-03	2.850729353642834614e-04
nan	2.327699999999999818e+02	2.327700000000000047e-01	nan	3.946959568386318798e-03	1.773052137099524446e-03	2.859055878161730502e-04
nan	2.362300000000000182e+02	2.362300000000000233e-01	nan	4.302809377616086291e-03	1.893510567568102917e-03	2.876493835283516114e-04
nan	2.389199999999999875e+02	2.389199999999999657e-01	nan	4.535074488730970674e-03	1.808765619530584541e-03	2.863422085777081417e-04
nan	2.444300000000000068e+02	2.444299999999999806e-01	nan	4.697759224538912773e-03	1.754100717658320764e-03	2.853596861619764162e-04
nan	2.445400000000000205e+02	2.445399999999999796e-01	nan	4.715450889307248872e-03	1.818683086195449841e-03	2.903714834435697787e-04
nan	2.508599999999999852e+02	2.508600000000000274e-01	nan	4.988619313257914092e-03	1.817618734969159763e-03	2.919764435805712521e-04
nan	2.560600000000000023e+02	2.560600000000000098e-01	nan	5.252775850192392508e-03	1.716482060339191403e-03	2.868978317405274591e-04
nan	2.560900000000000318e+02	2.560900000000000398e-01	nan	5.321132091621620999e-03	1.769248239315621531e-03	2.890712409551953149e-04
nan	2.580699999999999932e+02	2.580699999999999661e-01	nan	5.433132872051374060e-03	1.834446757726725542e-03	2.904702736605125203e-04
nan	4.271000000000000085e+01	4.271000000000001184e-02	nan	1.779838637061459308e-04	6.039769695502743459e-03	2.087855849622603126e-04
nan	5.400000000000000000e+01	5.399999999999999245e-02	nan	2.780053949132366121e-04	4.813678572723720933e-03	2.285790497329554601e-04
nan	6.460999999999999943e+01	6.460999999999998689e-02	nan	3.628412862738628281e-04	4.086570097993355924e-03	2.244256559938190461e-04
nan	7.396999999999999886e+01	7.396999999999999409e-02	nan	4.599568501549811074e-04	3.759152384020292108e-03	2.240235895068090155e-04
nan	8.297999999999998977e+01	8.297999999999999821e-02	nan	5.341957059044943673e-04	3.604905689156901079e-03	2.297667059854062931e-04
nan	8.872999999999998977e+01	8.873000000000000331e-02	nan	6.715955484014557398e-04	3.090914959842852062e-03	2.329550865252540245e-04
nan	9.407999999999999829e+01	9.407999999999999696e-02	nan	6.953949161362516082e-04	3.008373412037579353e-03	2.293425715053671742e-04
nan	1.009799999999999898e+02	1.009800000000000003e-01	nan	8.481873617404289819e-04	2.895939495278080852e-03	2.297744204861803250e-04
nan	1.066599999999999966e+02	1.066600000000000048e-01	nan	1.007616736047225580e-03	2.799484968187996442e-03	2.351502965542013582e-04
nan	1.120400000000000063e+02	1.120400000000000007e-01	nan	1.200676257165014240e-03	2.571890920438309625e-03	2.345689070014265955e-04
