# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	4.998000000000000398e+01	4.998000000000000359e-02	nan	3.367988486436957049e-04	6.376804504105373569e-03	2.525407005077373655e-04
nan	4.426999999999999602e+01	4.427000000000000379e-02	nan	4.882180990367146543e-04	4.872494679441728357e-03	2.584979279709680817e-04
nan	1.429000000000000092e+01	1.429000000000000062e-02	nan	7.065851027260804888e-04	4.849490933071941463e-03	2.467093135213592773e-04
nan	1.991999999999999815e+01	1.992000000000000021e-02	nan	6.917849621441974056e-04	3.326139539430267474e-03	2.534130690307563930e-04
nan	2.128999999999999915e+01	2.128999999999999990e-02	nan	9.984725860419985978e-04	3.892925201621354366e-03	2.681995699772927381e-04
nan	2.603000000000000114e+01	2.602999999999999758e-02	nan	1.164504674986801495e-03	3.437598566869767749e-03	2.608580807325211882e-04
nan	3.108999999999999631e+01	3.109000000000000652e-02	nan	1.339698510885227846e-03	2.965115801321537709e-03	2.716483806790343956e-04
nan	3.517999999999999972e+01	3.518000000000000294e-02	nan	1.529223598824387340e-03	2.944770351844403639e-03	2.521503287963505822e-04
nan	3.925000000000000000e+01	3.924999999999999323e-02	nan	1.917874562479937595e-03	2.696312631221014014e-03	2.676144670267279488e-04
nan	3.956000000000000227e+01	3.955999999999999794e-02	nan	1.830802992194548824e-03	2.686623803964301779e-03	2.586715184081635416e-04
nan	4.593999999999999773e+01	4.594000000000000167e-02	nan	2.007261811038460984e-03	2.808797382864492743e-03	2.765014351788804676e-04
nan	5.183999999999999631e+01	5.183999999999999719e-02	nan	2.489345582629311996e-03	2.442700947641003768e-03	2.759519712630885391e-04
nan	5.342000000000000171e+01	5.342000000000000220e-02	nan	2.646504431572793605e-03	2.425650490984918202e-03	2.750172694727999359e-04
nan	5.537999999999999545e+01	5.538000000000000561e-02	nan	2.731774467498553505e-03	2.274542504796069585e-03	2.729931996972115868e-04
nan	5.796000000000000085e+01	5.795999999999999763e-02	nan	3.263006252200284681e-03	2.296824611878515564e-03	2.750333128869907788e-04
nan	6.325000000000000000e+01	6.325000000000000067e-02	nan	3.265841960275110527e-03	2.457018080751318442e-03	2.797743460782752987e-04
nan	6.653999999999999204e+01	6.653999999999998805e-02	nan	3.143449091326146715e-03	2.379233595900706513e-03	2.751833189264938002e-04
nan	6.781000000000000227e+01	6.781000000000000916e-02	nan	3.714458171104979920e-03	2.129820430762492233e-03	2.806654934713375066e-04
nan	6.965999999999999659e+01	6.965999999999999970e-02	nan	3.676450479372306117e-03	2.195833914569959161e-03	2.770436318159487181e-04
nan	7.098999999999999488e+01	7.098999999999999755e-02	nan	4.020281118873754271e-03	2.227389842210775271e-03	2.816913270651990177e-04
nan	7.000000000000000000e+01	7.000000000000000666e-02	nan	4.446107362402926602e-03	1.999941875780477090e-03	2.721721056542430539e-04
nan	7.017000000000000171e+01	7.016999999999999627e-02	nan	5.189940388108880628e-03	2.093841484520748107e-03	2.803444339268944415e-04
nan	7.043999999999999773e+01	7.043999999999998873e-02	nan	4.567753027779417573e-03	2.146074702385938025e-03	2.794717015170905604e-04
nan	7.171999999999999886e+01	7.171999999999999209e-02	nan	4.920589385881158143e-03	1.831729002067803650e-03	2.797427826114401504e-04
nan	6.775000000000000000e+01	6.775000000000000466e-02	nan	5.180164691353184026e-03	1.899081131598957372e-03	2.696546977443983685e-04
nan	6.387999999999999545e+01	6.388000000000000622e-02	nan	5.030738313112124646e-03	2.006675844048773881e-03	2.796204232234932073e-04
nan	5.957999999999999829e+01	5.957999999999998714e-02	nan	5.543373149853323203e-03	2.061219479058673358e-03	2.755981397720711412e-04
nan	5.600000000000000000e+01	5.599999999999999423e-02	nan	6.073219341126332403e-03	1.837110290481153759e-03	2.767666260144590338e-04
nan	5.071999999999999886e+01	5.072000000000000119e-02	nan	6.349275689360637728e-03	1.903085014090106792e-03	2.749144033996666074e-04
nan	4.673999999999999488e+01	4.674000000000000377e-02	nan	5.815400508940911199e-03	1.885515276622663728e-03	2.681400534544379696e-04
nan	4.150000000000000000e+01	4.150000000000000216e-02	nan	7.424017438122518069e-03	1.823140386886631676e-03	2.652210536500405197e-04
nan	3.748000000000000398e+01	3.747999999999999943e-02	nan	6.503527874579048337e-03	1.654758684341066767e-03	2.804075473235711092e-04
nan	3.375000000000000000e+01	3.375000000000000222e-02	nan	6.331068528186279028e-03	1.851392072915470418e-03	2.775601059414047837e-04
nan	3.007000000000000028e+01	3.006999999999999604e-02	nan	6.656227637488428168e-03	1.758706151235984961e-03	2.550881568224097617e-04
nan	2.588999999999999702e+01	2.589000000000000329e-02	nan	7.705931657014844505e-03	1.830070944813179997e-03	2.471298319065990670e-04
nan	2.207000000000000028e+01	2.207000000000000281e-02	nan	7.126866698042704298e-03	1.501154019741374104e-03	2.472450901475778200e-04
nan	1.978000000000000114e+01	1.978000000000000244e-02	nan	7.280100657796992510e-03	1.490484000209236527e-03	2.396246659802455552e-04
nan	1.603000000000000114e+01	1.602999999999999911e-02	nan	7.260487991636636884e-03	1.579907658945386940e-03	2.570473309539649648e-04
nan	1.237999999999999901e+01	1.237999999999999864e-02	nan	7.893864646900965523e-03	1.587824276288029397e-03	2.319900739616887495e-04
nan	4.058999999999999631e+01	4.059000000000000108e-02	nan	3.236330779064644112e-04	6.197445021154419573e-03	2.048602137882049264e-04
nan	3.596999999999999886e+01	3.596999999999999503e-02	nan	4.712350578930113725e-04	5.062036958092809742e-03	2.193950218623192424e-04
nan	1.150999999999999979e+01	1.151000000000000113e-02	nan	6.927791184330089804e-04	4.350863718995199268e-03	1.851168275977217519e-04
nan	1.791999999999999815e+01	1.791999999999999843e-02	nan	8.500357312692585418e-04	3.850992635586210529e-03	2.066523184776630100e-04
nan	1.753999999999999915e+01	1.754000000000000350e-02	nan	8.638958117859373486e-04	3.049741772064579713e-03	2.197850034562788665e-04
nan	2.251999999999999957e+01	2.251999999999999835e-02	nan	1.034246266032141578e-03	3.157962424610717515e-03	2.084416951543942992e-04
nan	2.681000000000000227e+01	2.681000000000000744e-02	nan	1.422058487407866804e-03	2.841370040456244438e-03	2.269330584461063706e-04
nan	3.046000000000000085e+01	3.045999999999999749e-02	nan	1.511042953466130686e-03	3.223726075673827123e-03	2.201995432943431859e-04
nan	3.270000000000000284e+01	3.269999999999999990e-02	nan	1.640614702341167738e-03	2.853784268984990800e-03	2.224470283393852207e-04
nan	3.246000000000000085e+01	3.246000000000000274e-02	nan	1.779305604993624114e-03	2.466549068082774833e-03	2.092598056491273774e-04
nan	3.893999999999999773e+01	3.893999999999998851e-02	nan	2.207153052245303029e-03	2.378549054884662121e-03	2.266049318396276915e-04
nan	4.203999999999999915e+01	4.204000000000000792e-02	nan	2.193043576512536917e-03	2.572261710795072705e-03	2.237611826945419774e-04
nan	4.311999999999999744e+01	4.312000000000000555e-02	nan	2.551104871602092369e-03	2.335420258999996307e-03	2.288108647698258702e-04
nan	4.528000000000000114e+01	4.528000000000000080e-02	nan	2.873013516751825574e-03	2.344184384036222986e-03	2.278410463900009471e-04
nan	4.946000000000000085e+01	4.945999999999999702e-02	nan	2.976718131239976944e-03	2.309318002583458061e-03	2.291040095861780637e-04
nan	5.122999999999999687e+01	5.122999999999999776e-02	nan	3.266611499009286577e-03	2.297665603981579978e-03	2.325084772180034264e-04
nan	5.551000000000000512e+01	5.551000000000000378e-02	nan	3.267098976682518245e-03	2.364549243383568585e-03	2.323923349259913941e-04
nan	5.737000000000000455e+01	5.736999999999999739e-02	nan	3.617220671405903080e-03	2.211552598091056591e-03	2.352206023893751584e-04
nan	5.883999999999999631e+01	5.884000000000001729e-02	nan	3.708090907815631086e-03	2.210612995600681578e-03	2.308031490943403545e-04
