# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.977071762451857409e-03	1.110211583385876770e-02	1.074113967424936492e-02
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.497818943193579035e-02	9.225392635642966008e-03	8.203172438531164401e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.997441307114172435e-02	7.995065219875727852e-03	7.496558076008123794e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.494679438481483408e-02	7.601877763850115044e-03	6.738173166173452681e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.996349255999860087e-02	6.949321017652697503e-03	5.986255852543409355e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	3.488019342342738721e-02	6.684488078733881108e-03	5.727579803381157610e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	3.995898075451122938e-02	6.468458409812000154e-03	5.414659389764795577e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	4.351444214212823319e-02	6.042117402101238217e-03	5.041577701030775308e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	4.991003906837363641e-02	5.803048274282750045e-03	4.867414297969138541e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	5.485013997334362706e-02	5.691347409450586529e-03	4.691123671970849791e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	5.987577617011084069e-02	5.638915280586432113e-03	4.622089750712573067e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.492591207658164609e-02	5.627536924460885270e-03	4.391562927195532921e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.985379318506830526e-02	5.235900317398400894e-03	4.130207906659431015e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	7.490229898221970051e-02	5.250258909739905638e-03	4.050860516477893317e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	7.993777576831348486e-02	5.170272697936255726e-03	3.839865546460166645e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	8.489331051828116759e-02	5.407704096827746498e-03	3.657942996620370396e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	8.940895262300159463e-02	5.047064737337109315e-03	3.801830707114686649e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.481285874660784485e-02	4.924256625242940874e-03	3.659528582880962246e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.987959394497011867e-02	4.975845059854403125e-03	3.565530021784459134e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.048217413356405670e-01	4.896862756743404141e-03	3.394678684936113834e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.062791876309879813e-01	4.891630076333287891e-03	3.375337741797878287e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.148426403244957317e-01	4.630118514408707378e-03	3.242808115728587539e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.198807565187985230e-01	4.673055947544857425e-03	3.173984380542563960e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.247538918461168489e-01	4.727185597453777491e-03	3.078969489929227372e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.298525763199450123e-01	4.721152508409444046e-03	3.166614438071297007e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.348199228341036560e-01	4.733440975761064179e-03	3.056386784484773494e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.396728653416153265e-01	4.608715294027472716e-03	2.953565764151897585e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.443345579744072793e-01	4.569816328008099830e-03	2.982415646227283036e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.498493292912667085e-01	4.602371579026921095e-03	2.911402916747118756e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.545049634522388249e-01	4.643952173207083894e-03	3.021194350804532608e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.598424714379348133e-01	4.473644046163767832e-03	2.869202253241909164e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.646368022924025454e-01	4.442685665604116131e-03	2.806348384467830144e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.696787205807367971e-01	4.328454133291433255e-03	2.714171789704077770e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.690862830246150084e-01	4.227673884664203373e-03	2.765542211538671302e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.791631153805496868e-01	4.405932480205991715e-03	2.691590637096404927e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.846662684580814839e-01	4.464250655207445927e-03	2.715145794488185715e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.894925226536020024e-01	4.474762497507321982e-03	2.634529764871467415e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.882458341361494258e-01	4.504194605863156946e-03	2.597170216513963216e-03
