# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	4.613194444444444997e+01	4.613194444444445458e-02	nan	1.357182306053811760e-04	3.551429555953873260e-03	2.111877503789584554e-04
nan	5.931250000000000000e+01	5.931249999999999717e-02	nan	2.023122659837481394e-04	2.638316609459680998e-03	2.212310843504833140e-04
nan	7.137500000000000000e+01	7.137500000000000788e-02	nan	2.545266944727033929e-04	2.339806853881744222e-03	2.252107622147019386e-04
nan	8.085416666666667140e+01	8.085416666666667140e-02	nan	3.526518461703807752e-04	2.247778362447907380e-03	2.306216853089094467e-04
nan	9.000694444444444287e+01	9.000694444444444497e-02	nan	4.187398971949739170e-04	2.015574517426981047e-03	2.320258702790623179e-04
nan	9.597916666666667140e+01	9.597916666666665708e-02	nan	5.085806976816955238e-04	1.946906163912379530e-03	2.282236916633578272e-04
nan	1.038125000000000000e+02	1.038124999999999881e-01	nan	5.715266961535311321e-04	1.823267388894088967e-03	2.327462494086306947e-04
nan	1.096388888888888999e+02	1.096388888888888830e-01	nan	6.785736219908263802e-04	1.798457128846234080e-03	2.368423306255933300e-04
nan	1.169236111111111001e+02	1.169236111111111032e-01	nan	7.669576128752137638e-04	1.713608379162287650e-03	2.351281720515460271e-04
nan	1.221944444444444429e+02	1.221944444444444389e-01	nan	8.495839399245141976e-04	1.612483544853570740e-03	2.352423202461160654e-04
nan	1.280972222222222285e+02	1.280972222222222234e-01	nan	9.332065105596143439e-04	1.571085220915313880e-03	2.363180119423772998e-04
nan	1.327777777777777715e+02	1.327777777777777446e-01	nan	1.025137611100666998e-03	1.533033019093719496e-03	2.368537043678244601e-04
nan	1.374652777777777715e+02	1.374652777777777835e-01	nan	1.084276758691752772e-03	1.534611476041809232e-03	2.358926533034554388e-04
nan	1.432222222222222285e+02	1.432222222222222230e-01	nan	1.186840806038307701e-03	1.515982068568973336e-03	2.350355175068822927e-04
nan	1.490555555555555713e+02	1.490555555555555800e-01	nan	1.288309532686721841e-03	1.504643486817648862e-03	2.364536255305454873e-04
nan	1.528750000000000000e+02	1.528749999999999554e-01	nan	1.374930397266401318e-03	1.513051913001204002e-03	2.361590814932629570e-04
nan	1.588611111111111143e+02	1.588611111111110918e-01	nan	1.502037502270860006e-03	1.494975414014374816e-03	2.375161818880944101e-04
nan	1.615694444444444287e+02	1.615694444444444322e-01	nan	1.642922873830659526e-03	1.462839188797650540e-03	2.372769953490424415e-04
nan	1.642569444444444287e+02	1.642569444444444415e-01	nan	1.773532786954332618e-03	1.378469034584030523e-03	2.379267285652280706e-04
nan	1.707222222222222001e+02	1.707222222222222197e-01	nan	1.898161070011876060e-03	1.397862754990798545e-03	2.378563660920039551e-04
nan	1.760416666666666572e+02	1.760416666666666796e-01	nan	1.989811591326113259e-03	1.357614301361263895e-03	2.379741254187737640e-04
