# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	8.313482614200789697e-03	9.204046426833060665e-03	8.658379848732281406e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.247023591110282999e-02	7.761531753275069390e-03	7.115753556398832225e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.664331472007616122e-02	6.919797456193241270e-03	6.195306890329170015e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	2.077905437300467048e-02	6.499159809744310679e-03	5.344928504469035647e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	2.496054999254898252e-02	6.043036859187173558e-03	4.832600205993817753e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	2.831546568946491718e-02	5.681315490578878018e-03	4.804161050805058446e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	3.318509992101997125e-02	5.365463643372246107e-03	4.345230676459530157e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	3.741720218203583442e-02	5.120287019935969818e-03	4.107626947594303010e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	4.147894539859148938e-02	5.030685258565910020e-03	3.811492233659250894e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	4.576963380707136514e-02	4.796096159448299742e-03	3.758758108820420621e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	4.990100918367959548e-02	4.774165053234062477e-03	3.537701782298715691e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	5.266495799124223248e-02	4.558608638332716130e-03	3.529798059362323007e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	5.826447201193948183e-02	4.507196264146339122e-03	3.198360384434893993e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	6.238225557727932608e-02	4.412146371268772273e-03	3.141227097527301681e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	6.651270747497840807e-02	4.351666166433855107e-03	3.160461882230506791e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	7.072654939766762072e-02	4.442236044918912788e-03	3.043042424885628993e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	7.479474265744714967e-02	4.421842555257219157e-03	2.961016272781937572e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	7.889304909227314033e-02	4.278830471995628305e-03	2.940204306057290704e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	8.298541159671025957e-02	4.183440290700552247e-03	2.840880991204471420e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	8.737074604980597792e-02	3.979376057181746931e-03	2.640531789433785918e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	9.143763211320453388e-02	4.102725710706043270e-03	2.606746058826561740e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	9.566769794218209222e-02	4.141459361962374248e-03	2.587347432765803919e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	9.985814871560844130e-02	4.037625744814546391e-03	2.564465049420480008e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.039611214766864578e-01	3.992846436580059846e-03	2.454313944921520437e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.078262005908878080e-01	3.892311647885865044e-03	2.433076142347837239e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.122360404671556844e-01	3.815843416711995825e-03	2.403190082106208911e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.164548803688237322e-01	3.901385971081527959e-03	2.341168578056549050e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.205819318685980995e-01	3.931220177944015452e-03	2.286714096946257900e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.246379753347971048e-01	3.807527452056998826e-03	2.263248235036089805e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.289016404773677682e-01	3.780104837350399798e-03	2.281536357348411519e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.331086588587816755e-01	3.843283671065995163e-03	2.216489894737064259e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.372820538347257202e-01	3.713506859736075399e-03	2.214587772833565872e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.414369898818045590e-01	3.780262652303016668e-03	2.145756559359836193e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.455171343761255398e-01	3.781137796069485024e-03	2.076338771313072061e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.497427364963341556e-01	3.730676163544862159e-03	2.167868716943768988e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.538063733113577691e-01	3.671065584401856166e-03	2.035198130004676944e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.579895595362298955e-01	3.729687871394558266e-03	2.095168000752364434e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.621456337260427649e-01	3.750504371424852670e-03	2.141255343542919267e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.664255480500650697e-01	3.654741822028640449e-03	2.018751280548232267e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	8.315845614562888954e-03	9.254210956531181212e-03	8.467911023762040787e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.247496534848598591e-02	7.773630859954948520e-03	7.176808008714659869e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	1.660723941565617895e-02	6.724336808677073250e-03	6.049440429386431471e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	2.079600048495066147e-02	6.503644425151929552e-03	5.441996786781282645e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	2.429771530034596783e-02	6.011308457309876528e-03	5.152855475136192132e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	2.908862690001217874e-02	5.416608331410226358e-03	4.671121773886679866e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	3.328411366845390046e-02	5.382083942274954423e-03	4.383080343405486475e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	3.743960880079160586e-02	5.113283919659560028e-03	4.110835500614004427e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	4.156625213420244574e-02	5.105343252022604209e-03	3.931027214946521652e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	4.566112547595382876e-02	4.895223371402234250e-03	3.759678600202623084e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	4.992094279026244169e-02	4.677496650148026298e-03	3.549645184623764771e-03
nan	8.333333333333333940e+03	8.333333333333333925e+00	nan	5.409247279278635995e-02	4.726032078121725037e-03	3.399653946664547843e-03
