# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.976179137040948330e-02	1.104485571219967349e-01	1.039005581847873838e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.496428309332339668e-01	9.313838103930083268e-02	8.538904267678598670e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997197766409139208e-01	8.303756947431889524e-02	7.434368268395004364e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.493486524760560596e-01	7.798991771693172814e-02	6.413914205362843124e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.995265999105877763e-01	7.251644231024607923e-02	5.799120247192581651e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.397855882735790201e-01	6.817578588694653274e-02	5.764993260966069788e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.982211990522396827e-01	6.438556372046695675e-02	5.214276811751435842e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.490064261844300408e-01	6.144344423923164128e-02	4.929152337113163612e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.977473447830978448e-01	6.036822310279092024e-02	4.573790680391100899e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.492356056848564094e-01	5.755315391337959691e-02	4.510509730584504745e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.988121102041551458e-01	5.728998063880874625e-02	4.245242138758458655e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.319794958949067620e-01	5.470330365999259703e-02	4.235757671234787608e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.991736641432737542e-01	5.408635516975606600e-02	3.838032461321872618e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.485870669273518851e-01	5.294575645522526380e-02	3.769472517032761844e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.981524896997408414e-01	5.221999399720626128e-02	3.792554258676607976e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.487185927720114487e-01	5.330683253902695345e-02	3.651650909862754618e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.975369118893657960e-01	5.306211066308662988e-02	3.553219527338324912e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.467165891072776285e-01	5.134596566394753619e-02	3.528245167268748844e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.958249391605230594e-01	5.020128348840662696e-02	3.409057189445365704e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048448952597671679e+00	4.775251268618096318e-02	3.168638147320543275e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.097251585358454351e+00	4.923270852847252271e-02	3.128095270591874089e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148012375306185051e+00	4.969751234354849445e-02	3.104816919318964530e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198297784587301296e+00	4.845150893777455670e-02	3.077358059304576010e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.247533457720237493e+00	4.791415723896071815e-02	2.945176733905824351e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.293914407090653640e+00	4.670773977463037879e-02	2.919691370817404860e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.346832485605868213e+00	4.579012100054394990e-02	2.883828098527450520e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.397458564425884786e+00	4.681663165297833551e-02	2.809402293667858860e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.446983182423177139e+00	4.717464213532818196e-02	2.744056916335509480e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.495655704017565313e+00	4.569032942468398417e-02	2.715897882043307940e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.546819685728413107e+00	4.536125804820479585e-02	2.737843628818093997e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.597303906305379995e+00	4.611940405279194022e-02	2.659787873684477111e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.647384646016708531e+00	4.456208231683290305e-02	2.657505327400279047e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.697243878581654597e+00	4.536315182763620002e-02	2.574907871231803258e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.746205612513506367e+00	4.537365355283382029e-02	2.491606525575686473e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.796912837956009978e+00	4.476811396253834591e-02	2.601442460332522785e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.845676479736293230e+00	4.405278701282227399e-02	2.442237756005612506e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.895874714434758745e+00	4.475625445673470093e-02	2.514201600902837494e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.945747604712513068e+00	4.500605245709823204e-02	2.569506412251502947e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997106576600780725e+00	4.385690186434368365e-02	2.422501536657878721e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.979014737475466745e-02	1.110505314783741815e-01	1.016149322851444964e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.496995841818318240e-01	9.328357031945938571e-02	8.612169610457591495e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.992868729878741474e-01	8.069204170412487553e-02	7.259328515263717418e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.495520058194079238e-01	7.804373310182315115e-02	6.530396144137538827e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.915725836041516139e-01	7.213570148771851487e-02	6.183426570163430558e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.490635228001461310e-01	6.499929997692271977e-02	5.605346128664015493e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.994093640214468333e-01	6.458500730729944961e-02	5.259696412086583422e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.492753056094992981e-01	6.135940703591472034e-02	4.933002600736804966e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.987950256104293767e-01	6.126411902427125050e-02	4.717232657935826329e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.479335057114459451e-01	5.874268045682681100e-02	4.511614320243147874e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.990513134831493280e-01	5.612995980177631211e-02	4.259574221548517725e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.491096735134362916e-01	5.671238493746069698e-02	4.079584735997457412e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.989624822743299992e-01	5.408911013252789418e-02	3.958155581516330929e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.489049211416158869e-01	5.521203755997047130e-02	3.788372206958285499e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.988178015951822308e-01	5.340964690888397315e-02	3.777957999694090546e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.487802496818422915e-01	5.050273583766316104e-02	3.621283128586894051e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.986033215103930161e-01	5.023220800694987859e-02	3.621898193768740420e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.484824456389636671e-01	5.052888683070775461e-02	3.440164605383144031e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.950566871455635010e-01	4.945672878106833342e-02	3.341393788844750773e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048034676142719945e+00	4.856568099393732130e-02	3.239964117530898247e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.097748852004012177e+00	4.928315215604989891e-02	3.195250715316722695e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.146240312293950181e+00	4.687228934054235574e-02	3.123074382689991491e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198028285541530069e+00	4.818237992088852256e-02	3.031924230147780078e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.248616325949114980e+00	4.703899914718464442e-02	2.991608316349013072e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.297615026622471079e+00	4.739927786149050748e-02	2.942780203282090515e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.347575796128107184e+00	4.785106243249078600e-02	2.928090919846902326e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.397798375061976683e+00	4.921382991956915059e-02	2.942931164163163985e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.447948514652466656e+00	4.572412466593567260e-02	2.836938849585877651e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.458248003562461648e+00	4.563849716519673833e-02	2.743927133029682927e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.544542088327072404e+00	4.518778300381901675e-02	2.729032078985196494e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.598067597954411667e+00	4.581185689814731843e-02	2.714963836424412469e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.647936226750876587e+00	4.660586955860351183e-02	2.605720203873655716e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.693795236199662213e+00	4.520048535591856403e-02	2.596281131902054493e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.747341034208678368e+00	4.436194487832013228e-02	2.556486058316964974e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.797077809940333282e+00	4.454544287810016656e-02	2.432410868304247728e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.842396866737222583e+00	4.367776354372800846e-02	2.489597089102155505e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.896016905697744503e+00	4.422582106572540278e-02	2.479147190766629524e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.946950568832543693e+00	4.498892366139440463e-02	2.467871788738297545e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.941779136669011807e+00	4.348803065544893515e-02	2.417915892635981098e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.977781912100525119e-02	1.107528355647570129e-01	1.060763938117571109e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.496381194941089066e-01	9.122448877312917814e-02	8.926645939268018637e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.942018098065186882e-01	8.156771583836390505e-02	7.467532103715907033e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.495747956263798528e-01	7.546490335984899767e-02	6.625122078486760102e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.989431537136748029e-01	7.071903288246784991e-02	5.872410832380187129e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.491740750824874340e-01	6.735196128855118480e-02	5.636264592303549814e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.992078237676916497e-01	6.437457459064177545e-02	5.192047759935147083e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.493614137003542619e-01	6.170616414143100664e-02	5.014605610479200976e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.991126212546627694e-01	6.092773487852656822e-02	4.746031712602396396e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.483990598967144470e-01	5.873730417897518596e-02	4.642422265456292579e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.990604241422943232e-01	5.655164133197557175e-02	4.370677651470204067e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.479982708792325630e-01	5.732227980114539684e-02	4.102447357613196038e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.984247415390333336e-01	5.264625340259557196e-02	4.070473115632933930e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.250298672564358116e-01	5.310439563935959173e-02	3.798547838700363360e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.778599215590468186e-01	5.256372400418732327e-02	3.615215225676951527e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.478278062604355236e-01	5.343221158854511571e-02	3.729781465396075218e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.981067145580254873e-01	5.071646217783338378e-02	3.508570338905863534e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.476498972603527582e-01	5.050700870276565030e-02	3.473054744078789280e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.980199503935599514e-01	4.891108310761493189e-02	3.380298435302923205e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048403198663095282e+00	4.985925862585921520e-02	3.388584804885477059e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.095818457364619691e+00	4.866356561560691851e-02	3.142143896283365601e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.140055810447298201e+00	4.857946292732989724e-02	3.178083310135797201e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.197984476144843713e+00	4.944783554563686456e-02	2.993617618108852796e-02
