# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.812800000000000011e+02	1.812799999999999967e-01	nan	6.321007025638892499e-04	8.053051778069596905e-03	5.314908925218989662e-04
nan	1.961599999999999966e+02	1.961600000000000010e-01	nan	9.840490348176445055e-04	7.223163077170124784e-03	5.397446003651792164e-04
nan	9.076000000000000512e+01	9.076000000000000734e-02	nan	1.190297090806779947e-03	5.314583230874494330e-03	5.278551411602658023e-04
nan	1.270799999999999983e+02	1.270800000000000263e-01	nan	1.604696901370061780e-03	4.534688391514319489e-03	5.378587277174354643e-04
nan	1.344399999999999977e+02	1.344400000000000039e-01	nan	1.800563706165121420e-03	4.175807225991162545e-03	5.275276718441780210e-04
nan	1.598400000000000034e+02	1.598400000000000098e-01	nan	2.332766049687506719e-03	4.526620521197197676e-03	5.598421608058590368e-04
nan	1.876400000000000148e+02	1.876400000000000290e-01	nan	2.970495680251588212e-03	4.787174971832038398e-03	5.473368302803740138e-04
nan	2.138400000000000034e+02	2.138399999999999745e-01	nan	3.285430438961611625e-03	4.334083170578893751e-03	5.553337501754942920e-04
nan	2.279199999999999875e+02	2.279199999999999837e-01	nan	3.488834834649878845e-03	4.108327643008787000e-03	5.547109964342490564e-04
nan	2.427199999999999704e+02	2.427199999999999913e-01	nan	3.824473449121797153e-03	4.329860241280310447e-03	5.735978252716984358e-04
nan	2.749599999999999795e+02	2.749599999999999822e-01	nan	4.059404338095191564e-03	4.060939258329550848e-03	5.626951443355509902e-04
nan	2.975199999999999818e+02	2.975200000000000067e-01	nan	5.079371876995537882e-03	3.934771978361612313e-03	5.672168584045357651e-04
nan	3.064399999999999977e+02	3.064399999999999902e-01	nan	5.336308741325410457e-03	3.932898317522506328e-03	5.728961955167687211e-04
nan	3.242400000000000091e+02	3.242399999999999727e-01	nan	5.877230123473964341e-03	3.353811477551285787e-03	5.742062098554284559e-04
nan	3.518000000000000114e+02	3.518000000000000016e-01	nan	6.303372983279586887e-03	3.299465538376859276e-03	5.682086173466498798e-04
nan	3.740800000000000409e+02	3.740800000000000236e-01	nan	6.461629065556735371e-03	3.255868780665146980e-03	5.754836114566406428e-04
nan	3.894399999999999977e+02	3.894400000000000084e-01	nan	7.396784999177725799e-03	3.585092246595554533e-03	5.686037698177580325e-04
nan	4.088799999999999955e+02	4.088800000000000767e-01	nan	8.085170733506856847e-03	3.208755736510739316e-03	5.637312428653803000e-04
nan	4.240000000000000000e+02	4.240000000000000435e-01	nan	8.733480563992087470e-03	3.366564620325433656e-03	5.729005660954170640e-04
nan	4.432399999999999523e+02	4.432399999999999674e-01	nan	8.647736915763743967e-03	3.473359500698017851e-03	5.630467065990928111e-04
nan	4.558000000000000114e+02	4.557999999999999829e-01	nan	8.852871680674070931e-03	3.448712338458650474e-03	5.733867170859852655e-04
nan	4.746399999999999864e+02	4.746399999999999508e-01	nan	9.487753983457877446e-03	3.277332335036323326e-03	5.731140142387553590e-04
nan	4.911200000000000045e+02	4.911199999999998900e-01	nan	1.069884417878711261e-02	3.340377771739576167e-03	5.759099827267342899e-04
nan	5.118799999999999955e+02	5.118800000000000017e-01	nan	1.199876838134514463e-02	3.179760642227354855e-03	5.739479715740897344e-04
nan	5.233600000000000136e+02	5.233600000000000474e-01	nan	1.202680614197561282e-02	3.006377875533701276e-03	5.700824196500085036e-04
nan	5.381200000000000045e+02	5.381199999999999317e-01	nan	1.161870292547973783e-02	3.054338183242391504e-03	5.687830796287264698e-04
nan	5.506800000000000637e+02	5.506800000000000583e-01	nan	1.317705085698435072e-02	3.044696692415057530e-03	5.807028006612170116e-04
nan	5.600399999999999636e+02	5.600399999999999823e-01	nan	1.335677695588856351e-02	3.119202823380658966e-03	5.701396630898265339e-04
nan	5.676399999999999864e+02	5.676399999999999224e-01	nan	1.434666872520210835e-02	2.907954174529268129e-03	5.731149241966006528e-04
nan	5.837999999999999545e+02	5.838000000000000966e-01	nan	1.548899135001192973e-02	2.933776718904373016e-03	5.744046988517115650e-04
nan	5.940399999999999636e+02	5.940400000000000125e-01	nan	1.630559750350584966e-02	2.831257031660932341e-03	5.656568112544209468e-04
nan	5.984399999999999409e+02	5.984399999999999720e-01	nan	1.563712505131661587e-02	3.046668838660419095e-03	5.774562510837969375e-04
nan	6.160800000000000409e+02	6.160799999999999610e-01	nan	1.796872340673871804e-02	3.116000240181469611e-03	5.641442065013954491e-04
