# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.997907196515541148e-02	2.171003611029041769e-02	2.007616026366013454e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.993638905618126872e-02	1.920076177211958723e-02	1.721683610842156265e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.992558523886487187e-02	1.637965123325776234e-02	1.430297997629288373e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	4.991439559378136465e-02	1.568581968394814480e-02	1.318487227782375558e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	5.990147893583071259e-02	1.386077133270795757e-02	1.180785251464801754e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	6.989564255838331963e-02	1.298618740873000964e-02	1.097373382565041376e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	7.984347485969919833e-02	1.262589064417338723e-02	1.077427271581732349e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	8.995747854963383194e-02	1.259975813795400669e-02	9.744095212752396790e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	9.993296301082181532e-02	1.237422699935996490e-02	9.135703097250426688e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.097706448136250429e-01	1.191938497128878886e-02	8.900397287630279833e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.197788019043218855e-01	1.175025676206711486e-02	8.589865925803531407e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.297828747624044099e-01	1.106889787966519600e-02	7.970362202895774767e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.396802466552753696e-01	1.083115638024885648e-02	8.375576138008428498e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.496823038540424089e-01	1.021830466196706720e-02	7.371000663152637786e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.597774375352082610e-01	1.020867871765487357e-02	7.922630037569714651e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.697487032167009635e-01	1.032653655755851572e-02	7.219102145898844899e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.796667768377892549e-01	1.063546798612988349e-02	6.778601040122867252e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.897784381223482364e-01	1.060788147704806728e-02	7.041106185756203055e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.998166747075902083e-01	1.010443228534109450e-02	6.667486008368470225e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.963871369461750727e-01	9.859208877816192512e-03	6.474751183647028951e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.195709357606301926e-01	9.623731194921910162e-03	6.387717750803119550e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.296898305787544725e-01	1.024152623805753629e-02	6.199652094323666873e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.397579790527197274e-01	9.466835187114044578e-03	6.364469095782874890e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.497199449747586064e-01	9.068318736178077391e-03	5.946581871719071322e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.586937274862884939e-01	9.443166601843992411e-03	6.006959561312689988e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.691229482458675215e-01	9.082274258016765495e-03	5.474170538837192304e-03
