# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	9.052000000000000455e+02	9.052000000000000046e-01	nan	3.520279201507037041e-03	4.766306457580814226e-02	2.624978527669258582e-03
nan	1.161799999999999955e+03	1.161799999999999944e+00	nan	4.406994296562061382e-03	4.131550569237478487e-02	2.717040855810998450e-03
nan	1.372400000000000091e+03	1.372400000000000064e+00	nan	6.466258398199897436e-03	3.623226626797973471e-02	2.796261479202327531e-03
nan	1.577400000000000091e+03	1.577400000000000135e+00	nan	7.631334646964660698e-03	3.467502039893427535e-02	2.823716648134037312e-03
nan	1.739400000000000091e+03	1.739399999999999835e+00	nan	1.012607806571850198e-02	3.036610991460610490e-02	2.794464443520771300e-03
nan	1.873799999999999955e+03	1.873800000000000354e+00	nan	1.161210101197411929e-02	2.694376377026459074e-02	2.795844701172298195e-03
nan	2.025799999999999955e+03	2.025800000000000267e+00	nan	1.343166125415109526e-02	2.590816999875927840e-02	2.809115707465357180e-03
nan	2.149199999999999818e+03	2.149199999999999999e+00	nan	1.489345701419324611e-02	2.674525594645848006e-02	2.837431042230088851e-03
nan	2.274400000000000091e+03	2.274399999999999977e+00	nan	1.869639835148291171e-02	2.453210057934349791e-02	2.856572182484519180e-03
nan	2.404199999999999818e+03	2.404200000000000337e+00	nan	1.869167275981453713e-02	2.432507086054357115e-02	2.837344613804350987e-03
nan	2.500599999999999909e+03	2.500599999999999934e+00	nan	2.006302868560396607e-02	2.292101036676994635e-02	2.883400082029126919e-03
nan	2.582000000000000000e+03	2.581999999999999851e+00	nan	2.151487455857932149e-02	2.132251405474248560e-02	2.866510560477954044e-03
nan	2.693800000000000182e+03	2.693800000000000416e+00	nan	2.571183838099386915e-02	2.229982115226776876e-02	2.869904218642670320e-03
nan	2.759400000000000091e+03	2.759399999999999853e+00	nan	2.785709365095954265e-02	2.270469136911915098e-02	2.840029708039279541e-03
nan	2.863800000000000182e+03	2.863799999999999901e+00	nan	2.968379615567755606e-02	2.060452912762406746e-02	2.840728207304130289e-03
nan	2.964400000000000091e+03	2.964400000000000368e+00	nan	3.075228528282423351e-02	2.011798464799257127e-02	2.876029542970400411e-03
nan	3.101199999999999818e+03	3.101199999999999957e+00	nan	3.548436885557748610e-02	2.114178369697576956e-02	2.882712538244881773e-03
nan	3.119000000000000000e+03	3.118999999999999773e+00	nan	3.615013833223201800e-02	1.983835936613315837e-02	2.890234219523051852e-03
nan	3.232599999999999909e+03	3.232600000000000140e+00	nan	3.798590565234007815e-02	1.942248451817640137e-02	2.864551333949852917e-03
nan	3.340800000000000182e+03	3.340800000000000214e+00	nan	4.206304996628205256e-02	2.051047256604568089e-02	2.840685542786975000e-03
nan	3.381599999999999909e+03	3.381599999999999717e+00	nan	4.199483189850070769e-02	1.868698696891669953e-02	2.883807046785652993e-03
nan	3.497199999999999818e+03	3.497200000000000308e+00	nan	4.399613992441118310e-02	1.963936782051005012e-02	2.873370702277428142e-03
nan	3.604000000000000000e+03	3.604000000000000092e+00	nan	4.770547046709907452e-02	1.841551226904383082e-02	2.879507944004498603e-03
nan	3.634400000000000091e+03	3.634400000000000297e+00	nan	5.495490767229967155e-02	1.864084682997153158e-02	2.877238051471679627e-03
nan	3.686599999999999909e+03	3.686599999999999877e+00	nan	5.373695991520435061e-02	1.812348808897562905e-02	2.844066422901651327e-03
nan	3.697000000000000000e+03	3.697000000000000064e+00	nan	5.138699444364647206e-02	1.878387493372849631e-02	2.883038889588581278e-03
nan	3.801599999999999909e+03	3.801599999999999646e+00	nan	5.534633325682989519e-02	1.889174096539788725e-02	2.850970686843223769e-03
nan	3.877800000000000182e+03	3.877799999999999692e+00	nan	6.086562471800789631e-02	1.816613100390236310e-02	2.848107135458604298e-03
nan	3.918400000000000091e+03	3.918400000000000549e+00	nan	6.228575200070736451e-02	1.695600713710428142e-02	2.845141911843492456e-03
nan	4.058599999999999909e+03	4.058600000000000207e+00	nan	6.174401569642214149e-02	1.794801009850218940e-02	2.853036745172269142e-03
nan	4.090800000000000182e+03	4.090799999999999770e+00	nan	6.481639092312434236e-02	1.665624512046724390e-02	2.875783994065458232e-03
nan	4.189000000000000000e+03	4.189000000000000057e+00	nan	6.793387393640841487e-02	1.738839210096734117e-02	2.843716752295714911e-03
nan	4.202600000000000364e+03	4.202599999999999447e+00	nan	7.036362804610689359e-02	1.661520159441615130e-02	2.899415796892829307e-03
nan	4.259600000000000364e+03	4.259600000000000719e+00	nan	7.704626079730587940e-02	1.647016393081527849e-02	2.847605117443455149e-03
nan	4.332399999999999636e+03	4.332399999999998919e+00	nan	8.049999604081677085e-02	1.776246476443604089e-02	2.897535302330043507e-03
nan	4.425600000000000364e+03	4.425600000000000200e+00	nan	8.150660245164545459e-02	1.656009319900760696e-02	2.912145076133922615e-03
nan	4.451399999999999636e+03	4.451400000000000468e+00	nan	8.500985054110969663e-02	1.700286142307859405e-02	2.889775676968049135e-03
nan	4.549800000000000182e+03	4.549800000000000288e+00	nan	8.700725523008259743e-02	1.662437187882618433e-02	2.887517539715787722e-03
nan	4.538800000000000182e+03	4.538800000000000168e+00	nan	8.806653202827874338e-02	1.676363233432969641e-02	2.899318725476357494e-03
nan	6.533999999999999773e+02	6.533999999999999808e-01	nan	2.290635337922708546e-03	5.102990334176689402e-02	2.594891119924805107e-03
nan	8.157999999999999545e+02	8.158000000000000806e-01	nan	3.380910992143526615e-03	3.576809085448179326e-02	2.692787167087395874e-03
nan	9.892000000000000455e+02	9.891999999999999682e-01	nan	4.136572488584988258e-03	3.590023097153738352e-02	2.691426706075772304e-03
nan	1.112200000000000045e+03	1.112200000000000077e+00	nan	5.956024252373026857e-03	3.224960563499810334e-02	2.749075156817341360e-03
nan	1.211599999999999909e+03	1.211600000000000010e+00	nan	6.855279721821716694e-03	2.898091870516237428e-02	2.816953913152374974e-03
nan	1.319799999999999955e+03	1.319800000000000084e+00	nan	8.088265022161067117e-03	2.813823120556181376e-02	2.774877373288342323e-03
nan	1.447200000000000045e+03	1.447200000000000042e+00	nan	9.021757803748187837e-03	2.607723466553775113e-02	2.860667131544846094e-03
nan	1.511400000000000091e+03	1.511399999999999855e+00	nan	1.040034181813780448e-02	2.466262837115553580e-02	2.842018162218967834e-03
nan	1.603599999999999909e+03	1.603600000000000136e+00	nan	1.149584344392451385e-02	2.437536542173333529e-02	2.849020451357125571e-03
nan	1.652400000000000091e+03	1.652400000000000091e+00	nan	1.341166035792866820e-02	2.308876055600101937e-02	2.810410999210280654e-03
nan	1.764599999999999909e+03	1.764600000000000168e+00	nan	1.453511039183013123e-02	2.295274529054230558e-02	2.797974431416016140e-03
nan	1.839400000000000091e+03	1.839399999999999924e+00	nan	1.604519553150112257e-02	2.099607994907765757e-02	2.830119874043652423e-03
nan	1.892799999999999955e+03	1.892799999999999816e+00	nan	1.845225543117976624e-02	2.227785195376277491e-02	2.850785655319096942e-03
nan	2.020599999999999909e+03	2.020599999999999952e+00	nan	1.809325032645574607e-02	2.059224653761274407e-02	2.814224214631890972e-03
nan	2.030000000000000000e+03	2.030000000000000249e+00	nan	2.135778566275803314e-02	2.208017611302707378e-02	2.827874730575106240e-03
nan	2.144199999999999818e+03	2.144200000000000106e+00	nan	2.108474104336437518e-02	2.084051813471991116e-02	2.868205090432692558e-03
nan	2.190800000000000182e+03	2.190800000000000303e+00	nan	2.312039843764068792e-02	1.988781858145339393e-02	2.879507947925756452e-03
nan	2.247800000000000182e+03	2.247800000000000242e+00	nan	2.605455743885158951e-02	2.182802312047669308e-02	2.859592306057579664e-03
nan	2.311000000000000000e+03	2.310999999999999943e+00	nan	2.507168623919824382e-02	2.005678459566635069e-02	2.884187063710865438e-03
nan	2.357400000000000091e+03	2.357399999999999718e+00	nan	2.872374059056710324e-02	1.875459590444688782e-02	2.831192884234338264e-03
nan	2.382400000000000091e+03	2.382400000000000073e+00	nan	2.929083142539639154e-02	2.028525958550474531e-02	2.859929508859181992e-03
nan	2.428199999999999818e+03	2.428200000000000358e+00	nan	3.178722395532531525e-02	1.819589248812377227e-02	2.828761987313212038e-03
nan	2.485199999999999818e+03	2.485199999999999854e+00	nan	3.307630725812486794e-02	1.793728116086237834e-02	2.873771293197669059e-03
nan	2.520400000000000091e+03	2.520399999999999974e+00	nan	3.365908865771416458e-02	1.836563533763528946e-02	2.870819090233604591e-03
nan	2.589800000000000182e+03	2.589799999999999880e+00	nan	3.744328245275028305e-02	1.853190084423364872e-02	2.848358248793803754e-03
nan	2.632400000000000091e+03	2.632399999999999629e+00	nan	3.881477474569692415e-02	1.710231660042621504e-02	2.862582504577934790e-03
nan	2.709400000000000091e+03	2.709399999999999586e+00	nan	4.063954274420211732e-02	1.698230736760600323e-02	2.871298351589491021e-03
nan	2.726400000000000091e+03	2.726399999999999935e+00	nan	4.429310366190293557e-02	1.904533541914656125e-02	2.852145942109880934e-03
nan	2.781800000000000182e+03	2.781800000000000050e+00	nan	4.542470590226912325e-02	1.781407619950027901e-02	2.831926369298826997e-03
nan	2.844000000000000000e+03	2.844000000000000306e+00	nan	4.524415723562924541e-02	1.790813721727831445e-02	2.849520925059163736e-03
nan	2.935199999999999818e+03	2.935200000000000475e+00	nan	4.784130124921830152e-02	1.740952321880771467e-02	2.899735793087511535e-03
nan	2.891000000000000000e+03	2.891000000000000014e+00	nan	5.147136972063890564e-02	1.675100685097687461e-02	2.868574759422197907e-03
nan	2.995800000000000182e+03	2.995800000000000018e+00	nan	4.884596179267645943e-02	1.650794844743640882e-02	2.909646300688648567e-03
nan	3.051400000000000091e+03	3.051400000000000112e+00	nan	5.391190929649383040e-02	1.762784870705690760e-02	2.878235434330912203e-03
nan	3.106400000000000091e+03	3.106399999999999828e+00	nan	5.490573775496158937e-02	1.757892181163957582e-02	2.831535238498403793e-03
nan	3.119800000000000182e+03	3.119799999999999685e+00	nan	5.472878574646529437e-02	1.723827507377367896e-02	2.888140174501166533e-03
nan	3.120400000000000091e+03	3.120400000000000507e+00	nan	5.959765474576670524e-02	1.655319966775483168e-02	2.900633450085646822e-03
nan	3.228199999999999818e+03	3.228199999999999736e+00	nan	6.011698175384481285e-02	1.671507504449546572e-02	2.900432697534647327e-03
nan	3.211599999999999909e+03	3.211599999999999788e+00	nan	6.349091731649422754e-02	1.640606376240368383e-02	2.860706243981541753e-03
nan	4.448000000000000114e+02	4.448000000000000287e-01	nan	1.608165212658718701e-03	5.155704077090287468e-02	2.565016262278473069e-03
nan	5.690000000000000000e+02	5.689999999999999503e-01	nan	2.142881365904258841e-03	3.763951028232267321e-02	2.675595083461422465e-03
nan	7.236000000000000227e+02	7.236000000000000210e-01	nan	3.068138674677811650e-03	3.709333105051070001e-02	2.724044108548414299e-03
nan	7.913999999999999773e+02	7.913999999999999924e-01	nan	4.026771677723672491e-03	2.934973339619204730e-02	2.654706457426033415e-03
nan	8.610000000000000000e+02	8.609999999999999876e-01	nan	4.398634642984689154e-03	2.860858844613383203e-02	2.809886202161215006e-03
nan	9.533999999999999773e+02	9.534000000000000252e-01	nan	5.926161422280529223e-03	2.808885154164211112e-02	2.762140191095584403e-03
nan	9.972000000000000455e+02	9.972000000000000863e-01	nan	6.042965230790287023e-03	2.581021480000667695e-02	2.844268864921394545e-03
nan	1.079200000000000045e+03	1.079199999999999937e+00	nan	6.877713892743031118e-03	2.512118701000495141e-02	2.819574529397109522e-03
nan	1.121200000000000045e+03	1.121199999999999974e+00	nan	8.116396555487881068e-03	2.461200945458576900e-02	2.845552700405798354e-03
nan	1.205799999999999955e+03	1.205799999999999983e+00	nan	8.974881266703959790e-03	2.361220838204311848e-02	2.831747549515727970e-03
nan	1.236799999999999955e+03	1.236799999999999899e+00	nan	1.059691871942050091e-02	2.324084421507529100e-02	2.848495725739167480e-03
nan	1.314400000000000091e+03	1.314400000000000013e+00	nan	1.089639987762893759e-02	2.305762972920072373e-02	2.886230349233243932e-03
nan	1.350799999999999955e+03	1.350800000000000001e+00	nan	1.316837204003604676e-02	2.158433542049833370e-02	2.825530104762955831e-03
nan	1.405599999999999909e+03	1.405600000000000183e+00	nan	1.377156445528271433e-02	2.199210268794674766e-02	2.898491596877781143e-03
nan	1.460599999999999909e+03	1.460599999999999898e+00	nan	1.469518860294556292e-02	2.111946110543196781e-02	2.864385194232331282e-03
nan	1.481799999999999955e+03	1.481800000000000228e+00	nan	1.555701097802284459e-02	2.189765354750823276e-02	2.835808327605354728e-03
nan	1.544200000000000045e+03	1.544200000000000017e+00	nan	1.633080375002009602e-02	1.859031187281768097e-02	2.871831412507660879e-03
nan	1.579200000000000045e+03	1.579199999999999715e+00	nan	1.786840984204900520e-02	1.884220346899841830e-02	2.826974062266564627e-03
nan	1.621599999999999909e+03	1.621600000000000152e+00	nan	1.845582146536344295e-02	1.964261630803468620e-02	2.837907915129775967e-03
nan	1.686200000000000045e+03	1.686200000000000143e+00	nan	1.935986827757005951e-02	1.969243183794210442e-02	2.847931277924816568e-03
nan	1.689000000000000000e+03	1.689000000000000057e+00	nan	2.041079255013755755e-02	1.879804167243708662e-02	2.820229577845018848e-03
nan	1.749400000000000091e+03	1.749400000000000066e+00	nan	1.945710017989767809e-02	1.854262410902677433e-02	2.873454477447201678e-03
nan	1.739400000000000091e+03	1.739399999999999835e+00	nan	2.337039164140151254e-02	1.861246533235113437e-02	2.839811870407716633e-03
nan	1.807599999999999909e+03	1.807600000000000096e+00	nan	2.431355084654569440e-02	1.853686012998849789e-02	2.815019064351892940e-03
nan	1.853799999999999955e+03	1.853800000000000114e+00	nan	2.610652499374737159e-02	1.801483600250256695e-02	2.841894976822988139e-03
nan	1.898400000000000091e+03	1.898400000000000087e+00	nan	2.712963590306571859e-02	1.790188238195253648e-02	2.895096664452294615e-03
