# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.723999999999999773e+02	2.723999999999999755e-01	nan	2.247211835260998214e-03	7.704527938059808900e-02	2.109659893286497563e-03
nan	3.271000000000000227e+02	3.271000000000000574e-01	nan	3.509632862710532295e-03	7.052832028717043178e-02	2.141930540951099242e-03
nan	1.350000000000000000e+02	1.350000000000000089e-01	nan	4.367932512644756224e-03	7.016265892999475062e-02	1.914427537246230588e-03
nan	1.950999999999999943e+02	1.950999999999999956e-01	nan	4.756608255937067389e-03	7.073384735446405780e-02	2.154310430418705010e-03
nan	2.101999999999999886e+02	2.101999999999999980e-01	nan	6.245148097173114018e-03	6.653544647729767170e-02	2.013641414885121959e-03
nan	2.535000000000000000e+02	2.535000000000000031e-01	nan	7.460233792920689319e-03	6.849337122078856532e-02	2.132535011188136428e-03
nan	3.068999999999999773e+02	3.069000000000000061e-01	nan	9.536501196038216221e-03	6.950817028501128647e-02	2.244375309430582128e-03
nan	3.480000000000000000e+02	3.479999999999999760e-01	nan	1.117751964472972828e-02	6.818778913112079343e-02	2.260872941336522328e-03
nan	3.851000000000000227e+02	3.850999999999999979e-01	nan	1.172973748817867159e-02	5.895020685339909944e-02	2.231490909341444194e-03
nan	3.930000000000000000e+02	3.930000000000000160e-01	nan	1.446429986145858493e-02	6.814862001798158153e-02	2.288689743179511855e-03
nan	4.486000000000000227e+02	4.485999999999999988e-01	nan	1.516554153374727321e-02	7.075070535501065683e-02	2.302974374673812975e-03
nan	5.018999999999999773e+02	5.019000000000001238e-01	nan	1.587102435177030132e-02	7.159327088166000941e-02	2.340259446400630786e-03
nan	5.295000000000000000e+02	5.294999999999999707e-01	nan	1.881657838388264142e-02	6.539618167158983697e-02	2.287777483372550272e-03
nan	5.610000000000000000e+02	5.610000000000000542e-01	nan	2.091630765206673598e-02	6.419103392238811878e-02	2.360023792275577331e-03
nan	5.983999999999999773e+02	5.984000000000000430e-01	nan	2.294202215289260424e-02	6.706612029275507703e-02	2.299305185580979155e-03
nan	6.458999999999999773e+02	6.459000000000000297e-01	nan	2.276481303996433919e-02	6.790708951475529775e-02	2.322207625341595524e-03
nan	6.758999999999999773e+02	6.759000000000000563e-01	nan	2.706890985865584298e-02	6.608742349378904368e-02	2.342041805953342694e-03
nan	7.131000000000000227e+02	7.130999999999998451e-01	nan	2.711931206175677289e-02	6.808753842257889155e-02	2.337620168066738367e-03
nan	7.412999999999999545e+02	7.412999999999999590e-01	nan	2.699109847636691623e-02	6.689348584024430722e-02	2.330159609758975132e-03
nan	7.695000000000000000e+02	7.694999999999999618e-01	nan	3.139758658410300718e-02	7.082658419539937522e-02	2.333312504767281938e-03
nan	7.942999999999999545e+02	7.943000000000000060e-01	nan	3.484091217294462556e-02	6.520202603518554518e-02	2.322913086730309801e-03
nan	8.187999999999999545e+02	8.188000000000001943e-01	nan	3.392709681008909683e-02	7.166692720305803399e-02	2.384993717051666490e-03
nan	7.677000000000000455e+02	7.677000000000000490e-01	nan	3.430796027741962739e-02	7.015437868966636903e-02	2.299395428945545834e-03
nan	5.867999999999999545e+02	5.867999999999999883e-01	nan	3.705229239055825297e-02	6.451840614268757046e-02	2.339660963462130306e-03
nan	3.531999999999999886e+02	3.532000000000000139e-01	nan	4.269622674214588326e-02	6.866506220309764874e-02	2.356438475803284988e-03
nan	1.426999999999999886e+02	1.426999999999999935e-01	nan	3.408671289826088746e-02	6.776370365020510655e-02	1.903899925633558646e-03
nan	4.110000000000000142e+01	4.109999999999999071e-02	nan	4.991685959971677716e-02	7.658497668833288974e-02	1.674184135740510197e-03
nan	8.400000000000000355e+00	8.399999999999999481e-03	nan	4.305710078548073000e-02	6.821940800264561511e-02	1.629762511366679781e-03
nan	nan	nan	nan	nan	nan	nan
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
