# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	3.663000000000000256e+01	3.663000000000000284e-02	nan	1.947436974062100002e-04	7.757140321531475965e-03	2.110785019761944310e-04
nan	5.578999999999999915e+01	5.578999999999999237e-02	nan	3.182990489992221293e-04	7.028721177153042163e-03	2.245732505471585878e-04
nan	6.834999999999999432e+01	6.835000000000000797e-02	nan	4.418618947707386659e-04	6.737284432138793133e-03	2.256763909648575061e-04
nan	7.923999999999999488e+01	7.923999999999999100e-02	nan	5.603602327158796427e-04	7.332609081408406407e-03	2.252455936761418864e-04
nan	8.878999999999999204e+01	8.879000000000000781e-02	nan	7.497671450187226496e-04	7.335231464581240882e-03	2.261623496764612830e-04
nan	9.752000000000001023e+01	9.751999999999998170e-02	nan	8.513157039953967581e-04	6.753037284150961370e-03	2.307908683922424778e-04
nan	1.035400000000000063e+02	1.035399999999999932e-01	nan	9.692638768041206753e-04	6.591592171558245325e-03	2.314628313741007076e-04
nan	1.121299999999999955e+02	1.121299999999999936e-01	nan	1.107538576299021017e-03	7.050459993861395332e-03	2.316612678410237775e-04
nan	1.209200000000000017e+02	1.209199999999999997e-01	nan	1.290113695529271397e-03	7.070213106163539436e-03	2.337154768349809320e-04
nan	1.274599999999999937e+02	1.274599999999999900e-01	nan	1.464800537363544330e-03	6.992576397839633980e-03	2.353365881107954939e-04
nan	1.299900000000000091e+02	1.299899999999999944e-01	nan	1.630861683029252024e-03	7.318096553742986857e-03	2.372935259874938145e-04
nan	1.365699999999999932e+02	1.365699999999999970e-01	nan	1.792629220921071378e-03	6.879421064787475878e-03	2.364602138721765023e-04
nan	1.430099999999999909e+02	1.430099999999999982e-01	nan	1.818541466493570676e-03	6.974291127188933515e-03	2.358248497169414325e-04
nan	1.472400000000000091e+02	1.472399999999999820e-01	nan	2.184987622925973171e-03	7.064306462046423922e-03	2.352785968270707895e-04
nan	1.536899999999999977e+02	1.536899999999999933e-01	nan	2.171973602606840515e-03	6.725998068912314616e-03	2.352233678055968592e-04
nan	1.601999999999999886e+02	1.602000000000000368e-01	nan	2.323458267885598720e-03	7.085161386953016047e-03	2.381331126823170549e-04
nan	1.631500000000000057e+02	1.631500000000000172e-01	nan	2.552324486259749392e-03	7.073295686013654146e-03	2.372893504339482554e-04
nan	1.693900000000000148e+02	1.693899999999999850e-01	nan	2.790625567137112583e-03	6.893577036173955883e-03	2.359458413018974152e-04
nan	1.741099999999999852e+02	1.741100000000000148e-01	nan	2.990710691545927884e-03	7.082239473032381216e-03	2.385661677351286897e-04
nan	1.780300000000000011e+02	1.780299999999999938e-01	nan	3.074911649734985916e-03	7.480925434354471042e-03	2.351156648687162767e-04
nan	1.817800000000000011e+02	1.817799999999999971e-01	nan	3.231076611275511372e-03	6.814908228235751209e-03	2.359653141719742517e-04
nan	1.816099999999999852e+02	1.816099999999999937e-01	nan	3.424708114293935259e-03	6.496388760975349216e-03	2.373425660189106749e-04
nan	1.697099999999999795e+02	1.697100000000000275e-01	nan	3.764290659798916888e-03	7.023632333750732051e-03	2.400266595454343622e-04
nan	1.303499999999999943e+02	1.303499999999999936e-01	nan	3.678230452228490547e-03	6.759457656055808603e-03	2.367690235793319371e-04
nan	7.603000000000000114e+01	7.603000000000000036e-02	nan	3.899582654401001665e-03	7.046516515810148998e-03	2.357783414431733411e-04
nan	3.210999999999999943e+01	3.211000000000000659e-02	nan	4.078566223363395971e-03	6.557770641062468826e-03	2.267834203823271071e-04
nan	9.160000000000000142e+00	9.159999999999998005e-03	nan	4.690819417164364402e-03	6.924228838808328505e-03	1.838596826905174826e-04
nan	1.719999999999999973e+00	1.719999999999999958e-03	nan	5.048351704640350809e-03	7.588568591185678065e-03	1.565462911789668719e-04
nan	3.200000000000000067e-01	3.200000000000000262e-04	nan	4.424121300551504300e-03	5.124612393559685453e-03	1.453111149233191437e-04
nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
