# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	3.118999999999999773e+01	3.119000000000000591e-02	nan	2.219548405585669603e-04	4.691811160412843323e-03	2.117160345107558833e-04
nan	3.792999999999999972e+01	3.793000000000000538e-02	nan	3.038222648964961016e-04	3.799318765269683873e-03	2.092075514288000196e-04
nan	1.458999999999999986e+01	1.459000000000000227e-02	nan	4.313001045039755355e-04	2.905196334176556733e-03	2.041041419114103669e-04
nan	2.189000000000000057e+01	2.188999999999999974e-02	nan	4.798917391983082261e-04	2.839317725554996348e-03	2.193116957240920264e-04
nan	2.383999999999999986e+01	2.384000000000000355e-02	nan	6.288540840841960744e-04	2.716847217155708444e-03	2.115706514483284772e-04
nan	2.831000000000000227e+01	2.831000000000000183e-02	nan	7.302436020455616190e-04	2.580364396942653148e-03	2.228240579691256136e-04
nan	3.267000000000000171e+01	3.267000000000000459e-02	nan	7.986068841330507245e-04	2.390592565845204437e-03	2.118323376469949859e-04
nan	3.839999999999999858e+01	3.840000000000000357e-02	nan	9.837574193454657213e-04	2.461559563267106451e-03	2.226944397839910499e-04
nan	4.138000000000000256e+01	4.138000000000000012e-02	nan	1.141947323218346329e-03	2.033439556224965993e-03	2.190237603726117915e-04
nan	4.443999999999999773e+01	4.444000000000000727e-02	nan	1.287569251934428307e-03	2.190562906529538133e-03	2.271017298409663961e-04
nan	4.903999999999999915e+01	4.904000000000000026e-02	nan	1.368456978743779482e-03	2.461655846181613153e-03	2.279154865130519610e-04
nan	5.471000000000000085e+01	5.471000000000000169e-02	nan	1.537661341509419764e-03	2.039945144686981619e-03	2.311116513868254638e-04
nan	5.802000000000000313e+01	5.801999999999999519e-02	nan	1.605678321296864037e-03	2.049648029725023059e-03	2.317677486327033199e-04
nan	6.092000000000000171e+01	6.091999999999999499e-02	nan	1.792599013786002476e-03	1.894711738534784421e-03	2.349530823788146107e-04
nan	6.671999999999999886e+01	6.672000000000001541e-02	nan	1.921539947626342950e-03	2.023371560002092378e-03	2.355623783473527748e-04
nan	6.867000000000000171e+01	6.866999999999999493e-02	nan	2.258348574316642286e-03	2.010171005120276431e-03	2.333896073898183434e-04
nan	7.372999999999998977e+01	7.373000000000000387e-02	nan	2.253013543397628434e-03	1.890589974626426901e-03	2.323317447792367187e-04
nan	7.637000000000000455e+01	7.636999999999999345e-02	nan	2.267311401208189654e-03	1.815889179649634146e-03	2.349069363843625763e-04
nan	7.984999999999999432e+01	7.985000000000000431e-02	nan	2.358893925904794603e-03	1.966369247005633324e-03	2.343740699532143121e-04
nan	8.503000000000000114e+01	8.503000000000000835e-02	nan	2.526085664733273162e-03	1.827727491854607951e-03	2.354232837305705178e-04
nan	8.953999999999999204e+01	8.954000000000000847e-02	nan	2.601610444494326622e-03	1.888861779261193693e-03	2.393636735748474608e-04
nan	9.271000000000000796e+01	9.271000000000000074e-02	nan	2.838280917828796789e-03	1.783131050607923099e-03	2.348272918969864333e-04
nan	8.579999999999999716e+01	8.580000000000000127e-02	nan	2.991159338230318064e-03	1.705364899107101500e-03	2.329482991725354522e-04
nan	6.887999999999999545e+01	6.887999999999999678e-02	nan	3.405057427551128144e-03	1.699245120620235857e-03	2.335313475735451786e-04
nan	3.418999999999999773e+01	3.419000000000000511e-02	nan	2.973991596672931163e-03	1.824132141829570234e-03	2.213368494940216316e-04
nan	9.940000000000001279e+00	9.939999999999999183e-03	nan	3.465241236655884106e-03	1.913461932879570015e-03	1.716349316011170942e-04
nan	1.419999999999999929e+00	1.420000000000000038e-03	nan	4.352880040243056227e-03	1.956201364537674646e-03	1.649120630257138484e-04
nan	nan	nan	nan	nan	nan	nan
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
