,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.01,1200,1,100000.0,100,,36.5,0.0365,,0.00023823130169091651,0.007150007761559535,0.0002990364321933288
1,1,0.01,1200,1,100000.0,150,,33.739999999999995,0.033740000000000006,,0.0003720229984818957,0.006964448799329623,0.0003052236569500559
2,2,0.01,1200,1,100000.0,200,,21.73,0.02173,,0.000509514227937018,0.0066348660183123435,0.00030886728331016905
3,3,0.01,1200,1,100000.0,250,,22.29,0.02229,,0.0007533253653073757,0.005967573654307048,0.00026066927780014134
4,4,0.01,1200,1,100000.0,300,,22.88,0.02288,,0.0009191082732888844,0.006505418902128792,0.00030642982394748
5,5,0.01,1200,1,100000.0,350,,24.89,0.02489,,0.001120645851956965,0.006982489237482205,0.0002810120328540157
6,6,0.01,1200,1,100000.0,400,,28.19,0.02819,,0.001388266466738628,0.00635789644134738,0.0003061319302004998
7,7,0.01,1200,1,100000.0,450,,32.07,0.03207,,0.0015203762125082676,0.006503387451578313,0.00031961255796638885
8,8,0.01,1200,1,100000.0,500,,32.84,0.032839999999999994,,0.0018831274807303087,0.006516968413076358,0.0002971626096216505
9,9,0.01,1200,1,100000.0,550,,33.82,0.03382,,0.0023750575750568718,0.006307699231702062,0.0002760204236626711
10,10,0.01,1200,1,100000.0,600,,35.910000000000004,0.03590999999999999,,0.002492086575053918,0.006077493301636953,0.000274411967953261
11,11,0.01,1200,1,100000.0,650,,39.61,0.03961,,0.002735296697052263,0.006205540885996478,0.0002827149550454399
12,12,0.01,1200,1,100000.0,700,,41.49,0.04148999999999999,,0.002620189520366693,0.006649320753792423,0.00028499069768527657
13,13,0.01,1200,1,100000.0,750,,43.02,0.04302,,0.003278079441906812,0.005504443751255948,0.0003018270042425241
14,14,0.01,1200,1,100000.0,800,,45.34,0.04534,,0.0037424223777031782,0.0064382174245316654,0.0003057555951745175
15,15,0.01,1200,1,100000.0,850,,47.0,0.04699999999999999,,0.003829839127153036,0.006358185116373702,0.0003166533299186509
16,16,0.01,1200,1,100000.0,900,,49.86,0.04986,,0.004684873260168841,0.006386243817960302,0.00028988453581995364
17,17,0.01,1200,1,100000.0,950,,53.66,0.05366,,0.004500229718678384,0.006945662753658936,0.0002942098169522025
18,18,0.01,1200,1,100000.0,1000,,55.81,0.055810000000000005,,0.004781817239818338,0.00619542630350991,0.0002891170892840292
19,19,0.01,1200,1,100000.0,1050,,56.64,0.05664,,0.004662557760518667,0.005901793270705212,0.0003267512701756566
20,20,0.01,1200,1,100000.0,1100,,58.31,0.05831000000000001,,0.005821900805995028,0.006884650859708697,0.0003082250672717216
21,21,0.01,1200,1,100000.0,1150,,61.33,0.06133,,0.006125980672159129,0.006979125986598561,0.00032262202548709594
22,22,0.01,1200,1,100000.0,1200,,54.220000000000006,0.05422,,0.006591211260133604,0.0066443296703265955,0.00032577690699124725
23,23,0.01,1200,1,100000.0,1250,,43.19,0.04319,,0.006753397680347462,0.006240198541875367,0.0002921144759848014
24,24,0.01,1200,1,100000.0,1300,,24.97,0.02497,,0.006692228777833406,0.0067039430595406645,0.00027513954228094105
25,25,0.01,1200,1,100000.0,1350,,10.01,0.01001,,0.009192925769317647,0.0070033110536491935,0.00031579543570813527
26,26,0.01,1200,1,100000.0,1400,,3.2700000000000005,0.00327,,0.009268830100406961,0.007923562166589482,0.0003349124458001147
27,27,0.01,1200,1,100000.0,1450,,0.64,0.00064,,0.00821553663696134,0.007154953411052209,0.00028026684185737845
28,28,0.01,1200,1,100000.0,1500,,,,,,,
29,29,0.01,1200,1,100000.0,1550,,,,,,,
30,30,0.01,1200,1,100000.0,1600,,0.0,0.0,0.0,0.0,0.0,0.0
31,31,0.01,1200,1,100000.0,1650,,0.0,0.0,0.0,0.0,0.0,0.0
32,32,0.01,1200,1,100000.0,1700,,0.0,0.0,0.0,0.0,0.0,0.0
33,33,0.01,1200,1,100000.0,1750,,0.0,0.0,0.0,0.0,0.0,0.0
34,34,0.01,1200,1,100000.0,1800,,0.0,0.0,0.0,0.0,0.0,0.0
35,35,0.01,1200,1,100000.0,1850,,0.0,0.0,0.0,0.0,0.0,0.0
36,36,0.01,1200,1,100000.0,1900,,0.0,0.0,0.0,0.0,0.0,0.0
37,37,0.01,1200,1,100000.0,1950,,0.0,0.0,0.0,0.0,0.0,0.0
38,38,0.01,1200,1,100000.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0
39,39,0.01,1200,1,100000.0,2050,,0.0,0.0,0.0,0.0,0.0,0.0
40,40,0.01,1200,1,100000.0,2100,,0.0,0.0,0.0,0.0,0.0,0.0
