# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	3.650000000000000000e+01	3.649999999999999772e-02	nan	2.382313016909165418e-04	7.150007761559534943e-03	2.990364321933287883e-04
nan	3.373999999999999488e+01	3.374000000000000610e-02	nan	3.720229984818956446e-04	6.964448799329623144e-03	3.052236569500559071e-04
nan	2.173000000000000043e+01	2.172999999999999932e-02	nan	5.095142279370179755e-04	6.634866018312342642e-03	3.088672833101690487e-04
nan	2.228999999999999915e+01	2.229000000000000078e-02	nan	7.533253653073757137e-04	5.967573654307048100e-03	2.606692778001413915e-04
nan	2.288000000000000256e+01	2.287999999999999756e-02	nan	9.191082732888844389e-04	6.505418902128792466e-03	3.064298239474800038e-04
nan	2.489000000000000057e+01	2.488999999999999893e-02	nan	1.120645851956965020e-03	6.982489237482204618e-03	2.810120328540157580e-04
nan	2.818999999999999773e+01	2.818999999999999978e-02	nan	1.388266466738627978e-03	6.357896441347379683e-03	3.061319302004998112e-04
nan	3.207000000000000028e+01	3.207000000000000128e-02	nan	1.520376212508267643e-03	6.503387451578313168e-03	3.196125579663888468e-04
nan	3.283999999999999631e+01	3.283999999999999420e-02	nan	1.883127480730308707e-03	6.516968413076358428e-03	2.971626096216504814e-04
nan	3.382000000000000028e+01	3.382000000000000284e-02	nan	2.375057575056871342e-03	6.307699231702061995e-03	2.760204236626711107e-04
nan	3.591000000000000369e+01	3.590999999999999054e-02	nan	2.492086575053917806e-03	6.077493301636953046e-03	2.744119679532610137e-04
nan	3.960999999999999943e+01	3.960999999999999938e-02	nan	2.735296697052263040e-03	6.205540885996478281e-03	2.827149550454399122e-04
nan	4.148999999999999488e+01	4.148999999999999216e-02	nan	2.620189520366693510e-03	6.649320753792422808e-03	2.849906976852765702e-04
nan	4.301999999999999602e+01	4.301999999999999574e-02	nan	3.278079441906811640e-03	5.504443751255947564e-03	3.018270042425240927e-04
nan	4.533999999999999631e+01	4.533999999999999836e-02	nan	3.742422377703178652e-03	6.438217424531665449e-03	3.057555951745174745e-04
nan	4.700000000000000000e+01	4.699999999999999317e-02	nan	3.829839127153036177e-03	6.358185116373702046e-03	3.166533299186509031e-04
nan	4.985999999999999943e+01	4.986000000000000154e-02	nan	4.684873260168842188e-03	6.386243817960301702e-03	2.898845358199536376e-04
nan	5.366000000000000369e+01	5.365999999999999936e-02	nan	4.500229718678383853e-03	6.945662753658934756e-03	2.942098169522024760e-04
nan	5.581000000000000227e+01	5.581000000000000544e-02	nan	4.781817239818337770e-03	6.195426303509910318e-03	2.891170892840292024e-04
nan	5.664000000000000057e+01	5.664000000000000284e-02	nan	4.662557760518666605e-03	5.901793270705212383e-03	3.267512701756566029e-04
nan	5.831000000000000227e+01	5.831000000000000766e-02	nan	5.821900805995028176e-03	6.884650859708697432e-03	3.082250672717215837e-04
nan	6.132999999999999829e+01	6.132999999999999563e-02	nan	6.125980672159130058e-03	6.979125986598560746e-03	3.226220254870959428e-04
nan	5.422000000000000597e+01	5.422000000000000430e-02	nan	6.591211260133604359e-03	6.644329670326595480e-03	3.257769069912472499e-04
nan	4.318999999999999773e+01	4.318999999999999923e-02	nan	6.753397680347461920e-03	6.240198541875367245e-03	2.921144759848013804e-04
nan	2.496999999999999886e+01	2.496999999999999914e-02	nan	6.692228777833405910e-03	6.703943059540665335e-03	2.751395422809410542e-04
nan	1.000999999999999979e+01	1.000999999999999980e-02	nan	9.192925769317648876e-03	7.003311053649194373e-03	3.157954357081352694e-04
nan	3.270000000000000462e+00	3.269999999999999903e-03	nan	9.268830100406962730e-03	7.923562166589482106e-03	3.349124458001146863e-04
nan	6.400000000000000133e-01	6.400000000000000524e-04	nan	8.215536636961340289e-03	7.154953411052209118e-03	2.802668418573784487e-04
nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
