# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.968184616688091360e-02	2.141579116362902491e-01	1.511533757187369376e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.993770528590743829e-02	1.818440904051542018e-01	1.086642780525767654e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.498121957252237790e-01	1.604037538253014483e-01	8.574237189452275920e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.869297212362023564e-01	1.634852054737284399e-01	7.794581513945894602e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.495739896145380554e-01	1.566273052533388166e-01	6.922985279537045844e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.977373762430943205e-01	1.562583955876909458e-01	6.718513381972583687e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.496348964244020974e-01	1.534382291676189558e-01	6.296485712502479515e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.989380117117889424e-01	1.570659608960790210e-01	5.673570849316791204e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.494179309037804049e-01	1.602503442401618516e-01	5.241351658438588718e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.990618415295216548e-01	1.502538789107535910e-01	5.420732577288878140e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.477649306076728397e-01	1.504001180846826491e-01	4.950865473587856558e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.987637041821471939e-01	1.512552150232763792e-01	4.978784649146698882e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.482965858787338442e-01	1.458766863932433322e-01	4.791500749603063575e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.991333833144380838e-01	1.531266505791182841e-01	4.560443898009718111e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.463429603587655725e-01	1.464458763997574797e-01	4.514348135732167144e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.985579332431825827e-01	1.535718227235920441e-01	4.389557362539590890e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.475014948440275919e-01	1.516128591325008323e-01	4.223181901476517203e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.989633665096562476e-01	1.476067562499817354e-01	4.285701746408634299e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.488542399246397974e-01	1.411431845421542985e-01	4.071597864687281909e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.985542291336741982e-01	1.489575584880087622e-01	4.018318131031262813e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.047588926411435750e+00	1.432271817129853742e-01	4.131612530828700225e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.098197735405119557e+00	1.472099665856688722e-01	3.910891862797953589e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148554447738024509e+00	1.477090036331152878e-01	3.917944191480662169e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198116757552588840e+00	1.453090260711673853e-01	3.646152812966861612e-02
