# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	9.347103020996219355e-03	3.061219162489137169e-02	2.927945908125407712e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.993811691828795835e-02	2.236320249410968589e-02	2.140087425208108893e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.996862232354715119e-02	1.846852103412715412e-02	1.710023151522083867e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.992805579225091467e-02	1.670436369814361569e-02	1.506656383289410941e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	4.971421798005622172e-02	1.437352768956306516e-02	1.375056038423891867e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	5.985562640336639095e-02	1.405758320807612080e-02	1.180896552864535778e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	6.993038962566060224e-02	1.317554435975348305e-02	1.163251532180542558e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	7.983678314507187956e-02	1.288370241626434799e-02	1.055345190731195315e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	8.950951283533413461e-02	1.241617128352997569e-02	9.972809890426471285e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	9.982896452991327219e-02	1.152418565809309320e-02	9.232221675571397959e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.098769667397391514e-01	1.139525336783796076e-02	8.668397244376079697e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.198015868279662666e-01	1.064834703867679686e-02	8.870214313365844955e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.297600175114939636e-01	1.125063974503323974e-02	7.923933574315703693e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.397493925387561786e-01	1.056615052187274452e-02	7.979337748905929867e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.497302048326127899e-01	1.031542955969823316e-02	7.695128421791572020e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.599039048154963782e-01	1.035867197674412640e-02	7.659931512393849604e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.697680299012608862e-01	1.012413414876968745e-02	7.372940680075078419e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.795579662118643727e-01	9.854118407260643864e-03	7.128786697099273942e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.893389374008756787e-01	9.500796198306989473e-03	6.806613098649605398e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.989759936476593882e-01	9.618734330171876262e-03	6.551346237544004858e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.096436535681823476e-01	9.631885037905610694e-03	6.444756252744536507e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.198230304865683160e-01	9.580134317720119877e-03	6.654629805216125127e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.294185057055619925e-01	9.686484714896604134e-03	6.149219401607412296e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.395857754520966387e-01	9.860158744402542155e-03	5.990979928882795777e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.487387587513876785e-01	9.456586831784342256e-03	6.104361747312781090e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.584804822556634463e-01	8.996307680165859660e-03	5.979613842935227637e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.698265206298765539e-01	8.840423562826191933e-03	5.847995215814321204e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.797585669076124715e-01	9.528390468173865424e-03	5.802431767327039837e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.888892408228366238e-01	8.854830393654065240e-03	5.830945408873565786e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.987376825727096619e-01	9.584616818546221051e-03	5.559445161979633364e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.087241346393511665e-01	8.793474993488533537e-03	5.311653148563559405e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.196159264804464550e-01	9.330466850130213555e-03	5.412600652794423602e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.293377551660433000e-01	8.588217979286709436e-03	5.384563090509201892e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.396387282977230138e-01	8.960215062649093051e-03	4.999942004217472133e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.271409034434015761e-01	8.667574091740556930e-03	4.927660368973616790e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.597593227815832906e-01	9.087736090102008224e-03	5.137084127018469622e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.688554752251820834e-01	8.850433320427082001e-03	4.921409480289943086e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.794478081162924177e-01	8.543238335982609663e-03	4.663341280282415000e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.888785429385370751e-01	8.398945566020490569e-03	4.722774481326021470e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.991431522561742495e-01	8.708734317726415583e-03	4.644419551452618269e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	4.096446590522828113e-01	8.955165649015984358e-03	4.739729989427511961e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	4.179074590060009031e-01	8.512155491413962022e-03	4.708321490725692407e-03
