,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,118.0,0.11800000000000002,,0.00023762930261057136,0.02038429755409705,0.0008673600894539296
1,1,0.02,1200,1,100000.0,100,,218.44,0.21844,,0.0005355283904100361,0.01427836384529462,0.000883255516239329
2,2,0.02,1200,1,100000.0,150,,269.04,0.26904,,0.0008528156227998806,0.011613126486737017,0.0008324203291434618
3,3,0.02,1200,1,100000.0,200,,326.36,0.32635999999999993,,0.00120003861008513,0.010395127715133966,0.0009260427523242221
4,4,0.02,1200,1,100000.0,250,,360.44,0.36044,,0.0015728593558117156,0.009894032774041628,0.0008691739507200138
5,5,0.02,1200,1,100000.0,300,,407.04,0.40704,,0.001978204364143039,0.008751721241294967,0.0009283706334402337
6,6,0.02,1200,1,100000.0,350,,451.84,0.4518400000000001,,0.0025494061034328297,0.007853535552089761,0.0009181136098570636
7,7,0.02,1200,1,100000.0,400,,477.36,0.47736,,0.0029466670611736846,0.007874958861550681,0.0009457627361788066
8,8,0.02,1200,1,100000.0,450,,518.52,0.51852,,0.0035390312293884564,0.007469447616410093,0.0009550588066040418
9,9,0.02,1200,1,100000.0,500,,541.28,0.54128,,0.004033527321546444,0.007067970151244244,0.0009286027043986254
10,10,0.02,1200,1,100000.0,550,,571.92,0.5719199999999999,,0.00480832813201232,0.007207911196378971,0.0009409413247192248
11,11,0.02,1200,1,100000.0,600,,602.3199999999999,0.6023200000000001,,0.005010738203504843,0.006549457417574784,0.0009521021790261248
12,12,0.02,1200,1,100000.0,650,,614.64,0.61464,,0.005761132845982501,0.006456697259281513,0.0009018974789995145
13,13,0.02,1200,1,100000.0,700,,640.44,0.64044,,0.0063704929263030865,0.005968013827301152,0.0008998469713207516
14,14,0.02,1200,1,100000.0,750,,658.2,0.6582000000000001,,0.007043545140390961,0.006074645615935502,0.0009195735438859343
15,15,0.02,1200,1,100000.0,800,,684.64,0.68464,,0.007394977566859779,0.005977547143152412,0.0009608285942454264
16,16,0.02,1200,1,100000.0,850,,703.8399999999999,0.70384,,0.008666272508426118,0.006028468708811076,0.0009292371654537395
17,17,0.02,1200,1,100000.0,900,,723.4399999999998,0.7234399999999999,,0.009472521985371714,0.00561599259692522,0.0009358660355585935
18,18,0.02,1200,1,100000.0,950,,733.64,0.73364,,0.009645198152734338,0.00587991754252117,0.0009484539610519194
19,19,0.02,1200,1,100000.0,1000,,750.76,0.7507600000000002,,0.010254871493411885,0.0057119769813524885,0.0009644238198195858
20,20,0.02,1200,1,100000.0,1050,,786.2,0.7862,,0.01062035465277404,0.005642028385395213,0.0009607684517396051
21,21,0.02,1200,1,100000.0,1100,,797.2,0.7971999999999998,,0.012277081685397206,0.0054625138817525985,0.0009046411360592925
22,22,0.02,1200,1,100000.0,1150,,821.0399999999998,0.8210400000000002,,0.013515708778822955,0.0053158719536608124,0.0009214947188862256
23,23,0.02,1200,1,100000.0,1200,,822.24,0.8222399999999999,,0.013870364553995387,0.005269151319663841,0.0009008893129231712
24,24,0.02,1200,1,100000.0,1250,,848.64,0.8486399999999998,,0.014738095183338372,0.0057236653096607104,0.0009470316800029736
25,25,0.02,1200,1,100000.0,1300,,865.24,0.8652399999999997,,0.015872927998752857,0.005482617919505073,0.0009751076924872716
26,26,0.02,1200,1,100000.0,1350,,886.56,0.88656,,0.016849112454010537,0.0054849497400617595,0.00095002156802948
27,27,0.02,1200,1,100000.0,1400,,910.5200000000002,0.9105200000000001,,0.017718055801506125,0.005066585831018218,0.0009621920639853326
28,28,0.02,1200,1,100000.0,1450,,911.92,0.91192,,0.01894018453528588,0.005474781447935345,0.0009114728432952959
29,29,0.02,1200,1,100000.0,1500,,936.72,0.9367200000000001,,0.019213045569667884,0.005132275337566413,0.0009064994769821576
30,30,0.02,1200,1,100000.0,1550,,949.56,0.94956,,0.021275240400664194,0.005330660940424154,0.0009148443161828886
31,31,0.02,1200,1,100000.0,1600,,951.72,0.95172,,0.020004284603055568,0.004938212370895636,0.0009091412818776516
32,32,0.02,1200,1,100000.0,1650,,967.28,0.96728,,0.02249163705975661,0.005050575809923241,0.000933072429479072
33,33,0.02,1200,1,100000.0,1700,,986.84,0.98684,,0.023951385922291592,0.00522633203768463,0.0009404556507982306
34,34,0.02,1200,1,100000.0,1750,,1006.12,1.00612,,0.024714012057693253,0.005111221654290391,0.0009247771709336096
35,35,0.02,1200,1,100000.0,1800,,1024.76,1.02476,,0.023542791346962983,0.004966317369052403,0.0009205652485761379
36,36,0.02,1200,1,100000.0,1850,,1041.6,1.0416,,0.026879573498254105,0.004608980973722525,0.0009737428463444012
37,37,0.02,1200,1,100000.0,1900,,1053.12,1.0531200000000003,,0.027332032896265446,0.004933404263992033,0.0009603029671747923
38,38,0.02,1200,1,100000.0,1950,,1068.6,1.0686,,0.029165419319278952,0.004941865625312801,0.0009329503919090666
39,39,0.02,1200,1,100000.0,2000,,1084.48,1.08448,,0.02952141416112681,0.005158174543826092,0.0009039844073902136
40,40,0.02,1200,1,100000.0,2050,,1101.12,1.1011199999999999,,0.031423304187628676,0.004907595008986557,0.0009392906848946669
41,41,0.02,1200,1,100000.0,2100,,1112.84,1.1128399999999998,,0.030626160113151852,0.004861888507210589,0.0009155557967311981
