,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,63.48,0.06348000000000001,,0.00022895267216398448,0.017671609395620853,0.0009946768550368706
1,1,0.02,1200,1,100000.0,100,,158.0,0.158,,0.0006073803544495604,0.015386853473309942,0.0008839634820480186
2,2,0.02,1200,1,100000.0,150,,149.32,0.14931999999999998,,0.000801438865679529,0.014207016264138145,0.0008328263110270068
3,3,0.02,1200,1,100000.0,200,,89.0,0.08899999999999998,,0.0013314512933266087,0.013624048501625075,0.0008954748463953415
4,4,0.02,1200,1,100000.0,250,,88.15999999999998,0.08816,,0.001580726156860237,0.012772372823602563,0.0008822123807398723
5,5,0.02,1200,1,100000.0,300,,99.84,0.09984,,0.002171834166492772,0.013306399214165248,0.0009163448122161405
6,6,0.02,1200,1,100000.0,350,,107.0,0.10699999999999998,,0.002219029234659047,0.012564743990092388,0.0009490705984745901
7,7,0.02,1200,1,100000.0,400,,117.76,0.11776,,0.0029961822123959793,0.013621996677203676,0.0008738883256234735
8,8,0.02,1200,1,100000.0,450,,125.6,0.1256,,0.003548930401375401,0.013667524737297532,0.0008053196608608454
9,9,0.02,1200,1,100000.0,500,,132.92,0.13291999999999998,,0.00423402248884031,0.011787968229548732,0.000812434856994239
10,10,0.02,1200,1,100000.0,550,,131.6,0.1316,,0.004370184201893608,0.012201484335408255,0.0009244542110137859
11,11,0.02,1200,1,100000.0,600,,144.28,0.14428,,0.004926491390933733,0.012788590409867889,0.0008529168970824511
12,12,0.02,1200,1,100000.0,650,,157.88,0.15788,,0.005417760273148815,0.012966635290830192,0.00090737581675002
13,13,0.02,1200,1,100000.0,700,,163.2,0.1632,,0.00619904353880429,0.012401962991741664,0.0009136058067104142
14,14,0.02,1200,1,100000.0,750,,170.8,0.1708,,0.006690950620109107,0.01355972098611366,0.0008492344414362624
