,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,20000.0,20.0,,0.009987735018740125,0.042577926913339226,0.028723047493862463
1,1,0.02,1200,1,100000.0,100,,20000.0,20.0,,0.01997732626849654,0.03471536668909142,0.022106534401732804
2,2,0.02,1200,1,100000.0,150,,20000.0,20.0,,0.029879216737018616,0.034359100052174366,0.017316660879867544
3,3,0.02,1200,1,100000.0,200,,20000.0,20.0,,0.039968432021244095,0.031805033392501104,0.015993590041187118
4,4,0.02,1200,1,100000.0,250,,20000.0,20.0,,0.04992774666034165,0.030754754696716423,0.014131248773519381
5,5,0.02,1200,1,100000.0,300,,20000.0,20.0,,0.05992076523204786,0.030388832764311487,0.013084123874103407
6,6,0.02,1200,1,100000.0,350,,20000.0,20.0,,0.06983739452468625,0.03092148770272848,0.012095332445698517
7,7,0.02,1200,1,100000.0,400,,20000.0,20.0,,0.07986862143080999,0.030115709804415393,0.011660629489504396
8,8,0.02,1200,1,100000.0,450,,20000.0,20.0,,0.08984988990903275,0.030600646667901847,0.010673910441047176
9,9,0.02,1200,1,100000.0,500,,20000.0,20.0,,0.0934492087059832,0.030397734126603813,0.010465576050070912
10,10,0.02,1200,1,100000.0,550,,20000.0,20.0,,0.10990408468435817,0.028978036108434267,0.009758243934768382
11,11,0.02,1200,1,100000.0,600,,20000.0,20.0,,0.11985482011259135,0.02929156554663871,0.009744066896000473
12,12,0.02,1200,1,100000.0,650,,20000.0,20.0,,0.12985425214346832,0.02946765191830352,0.009632952724045985
13,13,0.02,1200,1,100000.0,700,,20000.0,20.0,,0.13984351775632148,0.0305194308505102,0.00895267619639797
14,14,0.02,1200,1,100000.0,750,,20000.0,20.0,,0.1497558288029995,0.029573193510433287,0.008908822297990145
15,15,0.02,1200,1,100000.0,800,,20000.0,20.0,,0.15984877296036756,0.02759290623863748,0.00843098502884502
16,16,0.02,1200,1,100000.0,850,,20000.0,20.0,,0.1698000109072518,0.031018368415754383,0.00837989575587392
