,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,748.3999999999999,0.7483999999999998,,0.0011631591205485848,0.09123876299112707,0.004034225223436834
1,1,0.02,1200,1,100000.0,100,,1130.0,1.13,,0.002558946762778192,0.07541254587473886,0.0041850454698254816
2,2,0.02,1200,1,100000.0,150,,1444.6,1.4446,,0.003761351265706025,0.07461540217052362,0.004482791366593335
3,3,0.02,1200,1,100000.0,200,,1672.2,1.6722,,0.006481054229442407,0.0759196852268506,0.004287976026426903
4,4,0.02,1200,1,100000.0,250,,1895.6,1.8956,,0.008110144296443878,0.07459665139474238,0.004571333990466072
5,5,0.02,1200,1,100000.0,300,,2062.6,2.0626,,0.011082085412397191,0.06600766232831765,0.004322304434930065
6,6,0.02,1200,1,100000.0,350,,2217.4,2.2174,,0.013909800514920788,0.06909889972491191,0.004573668675177488
7,7,0.02,1200,1,100000.0,400,,2387.2,2.3872,,0.016087025974172775,0.06380682938359397,0.004603926892135292
8,8,0.02,1200,1,100000.0,450,,2522.6,2.5226,,0.017601676651736398,0.07124077640538892,0.004555607962788949
9,9,0.02,1200,1,100000.0,500,,2675.6,2.6756,,0.0213373229235458,0.06906511749003656,0.00445376028808187
10,10,0.02,1200,1,100000.0,550,,2813.6,2.8136,,0.025142900528726385,0.06916143857799371,0.0046593871785214685
11,11,0.02,1200,1,100000.0,600,,2929.8,2.9298,,0.028582930449147167,0.07028027369572698,0.004604250221262696
12,12,0.02,1200,1,100000.0,650,,3048.6,3.0486000000000004,,0.030458376678575406,0.06551453878849756,0.004658359379980319
13,13,0.02,1200,1,100000.0,700,,3172.2,3.1721999999999992,,0.03337516828496519,0.0653618232364719,0.0045494895487031605
14,14,0.02,1200,1,100000.0,750,,3324.2,3.3242,,0.035752713253259565,0.0742433612779326,0.004543582598419192
15,15,0.02,1200,1,100000.0,800,,3396.8,3.3968,,0.04121541740646535,0.06539192145635042,0.004582142027986544
16,16,0.02,1200,1,100000.0,850,,3550.6,3.5506,,0.044009653775970034,0.06766417194137,0.004508423433972947
