,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,132.24,0.13224,,0.0002525072311607346,0.01502946861361599,0.0007986301053448439
1,1,0.02,1200,1,100000.0,150,,269.91999999999996,0.26992000000000005,,0.0008938396431028649,0.01379484274308115,0.0008897336102057894
2,2,0.02,1200,1,100000.0,250,,370.84,0.37084,,0.0016567901241648995,0.012945286336919114,0.0009493994270720522
3,3,0.02,1200,1,100000.0,350,,443.24,0.44324,,0.0024004329033095926,0.013367983996462003,0.0009540506927833864
4,4,0.02,1200,1,100000.0,450,,499.4,0.4994,,0.0032434837245591554,0.012620528627736988,0.0009569017761068739
5,5,0.02,1200,1,100000.0,550,,564.5600000000001,0.56456,,0.0039623705467829486,0.013839124270905936,0.0009423635551640826
6,6,0.02,1200,1,100000.0,650,,617.64,0.61764,,0.005360467896553017,0.012756160804771908,0.0009489426882447629
7,7,0.02,1200,1,100000.0,750,,652.8399999999999,0.65284,,0.006320189242260313,0.012219967977557459,0.0009438549973498075
8,8,0.02,1200,1,100000.0,850,,696.44,0.6964400000000001,,0.006995127692684945,0.011951762442620998,0.0009659950300501384
9,9,0.02,1200,1,100000.0,950,,734.8399999999998,0.7348399999999998,,0.008503317285876619,0.013512620008560088,0.0009611994218875645
10,10,0.02,1200,1,100000.0,1050,,790.64,0.79064,,0.008982662547914513,0.013208746179697733,0.0009494135491205058
11,11,0.02,1200,1,100000.0,1150,,805.2,0.8051999999999998,,0.010728828606934256,0.013256940828143932,0.0009559420271488926
12,12,0.02,1200,1,100000.0,1250,,854.5200000000002,0.8545199999999998,,0.012096718186558063,0.013436595278380734,0.0009552144303443856
13,13,0.02,1200,1,100000.0,1350,,879.6799999999998,0.8796800000000001,,0.01306293173933227,0.013156352996402292,0.000953776858409618
14,14,0.02,1200,1,100000.0,1450,,923.4,0.9234000000000001,,0.01460722762442856,0.013921908624747311,0.0009681485598433024
15,15,0.02,1200,1,100000.0,1550,,942.32,0.94232,,0.016618332989592092,0.013004908725333109,0.0009576058297494242
16,16,0.02,1200,1,100000.0,1650,,983.16,0.9831599999999998,,0.017900776924288948,0.013214154887970838,0.0009789338259285165
17,17,0.02,1200,1,100000.0,1750,,1006.96,1.0069599999999999,,0.02003614628716605,0.012962464847642546,0.0009705878569591683
18,18,0.02,1200,1,100000.0,1850,,1030.76,1.03076,,0.02075077470782162,0.0127014228519228,0.000967299221878921
19,19,0.02,1200,1,100000.0,1950,,1063.12,1.06312,,0.022322676671328732,0.013802284810650675,0.0009520508801991043
20,20,0.02,1200,1,100000.0,2050,,1081.6799999999998,1.08168,,0.02338835703802033,0.013074860376123992,0.0009637376047165085
21,21,0.02,2400,1,100000.0,50,,89.28,0.08928,,0.00018816426437069824,0.016504905485392202,0.0008650144573834437
22,22,0.02,2400,1,100000.0,150,,187.44,0.18744,,0.0006433296296791014,0.014345101820334882,0.0009370097245007667
23,23,0.02,2400,1,100000.0,250,,257.32,0.25732,,0.001131482847292773,0.014560891278209717,0.000920264739284675
24,24,0.02,2400,1,100000.0,350,,316.0,0.31599999999999995,,0.0015997235273334809,0.013040506069186514,0.0009529487892466144
25,25,0.02,2400,1,100000.0,450,,364.6,0.3646,,0.002235719626266928,0.013872921233044348,0.0009440038108761736
26,26,0.02,2400,1,100000.0,550,,392.72,0.39272,,0.0028702127136375566,0.013170209960315772,0.000936329639334874
27,27,0.02,2400,1,100000.0,650,,438.0,0.438,,0.003570697504956115,0.012113488585069908,0.0009521731829447113
28,28,0.02,2400,1,100000.0,750,,465.32,0.46532,,0.004351733118005541,0.012719204709830848,0.000962726978366527
29,29,0.02,2400,1,100000.0,850,,494.32,0.49432,,0.00506009600726884,0.012455012923880782,0.0009534316301629412
30,30,0.02,2400,1,100000.0,950,,527.44,0.52744,,0.005800096816742552,0.011864333267520512,0.0009456366920166424
31,31,0.02,2400,1,100000.0,1050,,550.76,0.55076,,0.00643559458630989,0.01273846078517538,0.0009439475088625789
32,32,0.02,2400,1,100000.0,1150,,577.6,0.5776,,0.007287181435249294,0.013700899443623862,0.0009554047287432925
33,33,0.02,2400,1,100000.0,1250,,595.0,0.595,,0.008831215348354817,0.01236125671200934,0.0009598402292728082
34,34,0.02,2400,1,100000.0,1350,,626.8,0.6268,,0.009948357701841815,0.013466329409001571,0.0009673358689116634
35,35,0.02,2400,1,100000.0,1450,,652.24,0.6522399999999999,,0.010288230788228247,0.013056389527926983,0.0009541706731122499
36,36,0.02,2400,1,100000.0,1550,,681.8,0.6818000000000001,,0.011126136666107414,0.012808157120883656,0.0009546369461936754
37,37,0.02,2400,1,100000.0,1650,,684.8399999999999,0.68484,,0.01295031433944132,0.013419975921694912,0.000967328486186848
38,38,0.02,2400,1,100000.0,1750,,707.76,0.70776,,0.0133432673828338,0.01298814538556016,0.0009620112985628093
39,39,0.02,2400,1,100000.0,1850,,728.76,0.72876,,0.01453311045330338,0.013233117920637487,0.0009779823609723634
40,40,0.02,2400,1,100000.0,1950,,749.3199999999998,0.74932,,0.01604480081838119,0.012892185923265857,0.0009814474237930739
41,41,0.02,2400,1,100000.0,2050,,771.52,0.77152,,0.017492651801603643,0.013265309125078024,0.0009760459351736601
