,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,661.2,0.6612,,0.0012625361558036728,0.07514734306807995,0.003993150526724218
1,1,0.02,1200,1,100000.0,150,,1349.6,1.3496,,0.004469198215514325,0.06897421371540575,0.004448668051028948
2,2,0.02,1200,1,100000.0,250,,1854.2,1.8542,,0.008283950620824498,0.06472643168459558,0.0047469971353602605
3,3,0.02,1200,1,100000.0,350,,2216.2,2.2162,,0.012002164516547963,0.06683991998231002,0.004770253463916932
4,4,0.02,1200,1,100000.0,450,,2497.0,2.497,,0.016217418622795778,0.06310264313868494,0.004784508880534369
5,5,0.02,1200,1,100000.0,550,,2822.8,2.8228,,0.019811852733914743,0.06919562135452968,0.004711817775820413
6,6,0.02,1200,1,100000.0,650,,3088.2,3.0882,,0.026802339482765093,0.06378080402385955,0.0047447134412238155
7,7,0.02,1200,1,100000.0,750,,3264.2,3.2642,,0.031600946211301564,0.06109983988778729,0.0047192749867490365
8,8,0.02,1200,1,100000.0,850,,3482.2,3.4822,,0.034975638463424726,0.05975881221310499,0.004829975150250692
9,9,0.02,1200,1,100000.0,950,,3674.2,3.6742,,0.04251658642938309,0.06756310004280044,0.004805997109437822
10,10,0.02,1200,1,100000.0,1050,,3953.2,3.9532,,0.04491331273957257,0.06604373089848867,0.004747067745602529
11,11,0.02,1200,1,100000.0,1150,,4026.0,4.026,,0.05364414303467128,0.06628470414071967,0.004779710135744462
12,12,0.02,1200,1,100000.0,1250,,4272.6,4.2726,,0.06048359093279032,0.06718297639190367,0.0047760721517219286
13,13,0.02,1200,1,100000.0,1350,,4398.4,4.3984000000000005,,0.06531465869666135,0.06578176498201145,0.00476888429204809
14,14,0.02,1200,1,100000.0,1450,,4617.0,4.617,,0.07303613812214278,0.06960954312373656,0.004840742799216513
15,15,0.02,1200,1,100000.0,1550,,4711.6,4.7116,,0.08309166494796044,0.06502454362666553,0.0047880291487471215
16,16,0.02,1200,1,100000.0,1650,,4915.8,4.915799999999999,,0.08950388462144473,0.0660707744398542,0.004894669129642582
17,17,0.02,1200,1,100000.0,1750,,5034.8,5.0348,,0.10018073143583024,0.06481232423821273,0.004852939284795842
18,18,0.02,1200,1,100000.0,1850,,5153.8,5.1538,,0.1037538735391081,0.063507114259614,0.0048364961093946045
19,19,0.02,1200,1,100000.0,1950,,5315.6,5.3156,,0.11161338335664368,0.06901142405325338,0.004760254400995522
20,20,0.02,1200,1,100000.0,2050,,5408.4,5.4084,,0.11694178519010164,0.06537430188061996,0.004818688023582542
21,21,0.02,2400,1,100000.0,50,,446.4,0.4464,,0.0009408213218534912,0.082524527426961,0.0043250722869172175
22,22,0.02,2400,1,100000.0,150,,937.2,0.9372,,0.0032166481483955067,0.07172550910167441,0.004685048622503835
23,23,0.02,2400,1,100000.0,250,,1286.6,1.2866,,0.005657414236463864,0.07280445639104857,0.004601323696423376
24,24,0.02,2400,1,100000.0,350,,1580.0,1.5799999999999998,,0.007998617636667404,0.06520253034593257,0.004764743946233072
25,25,0.02,2400,1,100000.0,450,,1823.0,1.823,,0.01117859813133464,0.06936460616522175,0.0047200190543808685
26,26,0.02,2400,1,100000.0,550,,1963.6,1.9636,,0.014351063568187782,0.06585104980157887,0.0046816481966743696
27,27,0.02,2400,1,100000.0,650,,2190.0,2.19,,0.017853487524780574,0.060567442925349546,0.004760865914723557
28,28,0.02,2400,1,100000.0,750,,2326.6,2.3266,,0.021758665590027704,0.06359602354915424,0.004813634891832635
29,29,0.02,2400,1,100000.0,850,,2471.6,2.4716,,0.0253004800363442,0.062275064619403915,0.004767158150814707
30,30,0.02,2400,1,100000.0,950,,2637.2,2.6372,,0.02900048408371276,0.059321666337602566,0.004728183460083212
31,31,0.02,2400,1,100000.0,1050,,2753.8,2.7538,,0.03217797293154945,0.06369230392587691,0.004719737544312894
32,32,0.02,2400,1,100000.0,1150,,2888.0,2.888,,0.03643590717624647,0.06850449721811931,0.004777023643716463
33,33,0.02,2400,1,100000.0,1250,,2975.0,2.975,,0.04415607674177409,0.061806283560046714,0.004799201146364041
34,34,0.02,2400,1,100000.0,1350,,3134.0,3.134,,0.04974178850920907,0.06733164704500785,0.004836679344558318
35,35,0.02,2400,1,100000.0,1450,,3261.2,3.2612,,0.05144115394114124,0.06528194763963492,0.004770853365561251
36,36,0.02,2400,1,100000.0,1550,,3409.0,3.409,,0.05563068333053707,0.06404078560441828,0.004773184730968376
37,37,0.02,2400,1,100000.0,1650,,3424.2,3.4242,,0.0647515716972066,0.06709987960847456,0.00483664243093424
38,38,0.02,2400,1,100000.0,1750,,3538.8,3.5388,,0.066716336914169,0.0649407269278008,0.0048100564928140474
39,39,0.02,2400,1,100000.0,1850,,3643.8,3.6438,,0.0726655522665169,0.06616558960318744,0.004889911804861817
40,40,0.02,2400,1,100000.0,1950,,3746.6,3.7466,,0.08022400409190596,0.06446092961632928,0.004907237118965369
41,41,0.02,2400,1,100000.0,2050,,3857.6,3.8576,,0.08746325900801821,0.06632654562539012,0.0048802296758683
