# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.992125150323403066e-02	2.271466879220053470e-01	1.600101127863489958e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497141107975664964e-01	1.712572877847976238e-01	8.861665222199370529e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.493697431536816000e-01	1.640280897786308700e-01	6.892085091279184783e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.486568375149772803e-01	1.631743925710361642e-01	6.194297725194858328e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.494455506275699119e-01	1.649266327461796633e-01	5.713869079338416285e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.494782337425704322e-01	1.584350395497234054e-01	4.758013142902169090e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.490910405907243108e-01	1.508002526654835251e-01	4.773292766908312362e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.490231013685388906e-01	1.584564260012434056e-01	4.585453072630434057e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.484063835348933935e-01	1.484521954447695080e-01	4.120536621803060073e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.468146265949372031e-01	1.557217880213034866e-01	4.014035770134307540e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048590450195706625e+00	1.460569846380119219e-01	3.740472345935773324e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.146882468427929735e+00	1.507885258981830900e-01	3.810247383554991180e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.248683995184728612e+00	1.574129989933585883e-01	3.506182861808820883e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.349180776684397731e+00	1.527049817351234240e-01	3.714929346770819846e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.448748899434213033e+00	1.569325120149804020e-01	3.508902166525204591e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.544094362426494671e+00	1.576212155824717465e-01	3.258109397594718265e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.645533669604174021e+00	1.557951336599074366e-01	3.316882470049075521e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.743437281723481558e+00	1.502636486248059566e-01	3.185734185931466539e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.837801801604064256e+00	1.558684334804030236e-01	3.141329415052764723e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.948490700521642749e+00	1.436319786563855505e-01	3.103558085332885214e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.042027431954829719e+00	1.503350971436376859e-01	3.050660450129949464e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.995886173494454990e-02	2.101628504026281374e-01	1.423955755493646058e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.496920346127637858e-01	1.795768491491835095e-01	8.795620439579847349e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.498463823791212124e-01	1.636517238542511410e-01	7.099868769547858227e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.490019070693392567e-01	1.500879141040900588e-01	5.798711164216600183e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.488405134976119482e-01	1.539110689190253956e-01	5.343576387851920600e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.486728111472757297e-01	1.572437129898995867e-01	4.687053393635561699e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.493208019448729607e-01	1.494130034700733023e-01	4.770528458009074685e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.014068509381753413e-01	1.542856696540237382e-01	4.422864993894119051e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.478281322958991506e-01	1.448355682585442117e-01	4.175600431008987673e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.485056979992805282e-01	1.529342999318135388e-01	3.954920550577682714e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048286383532877064e+00	1.490810562698977049e-01	3.782693685137324124e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.147461499765449755e+00	1.563218589800733915e-01	3.675259283972488050e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.248729072991454858e+00	1.482062162100377944e-01	3.619106409416934789e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.344648843532741056e+00	1.522264068892406341e-01	3.421053522499663269e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.448507103264910167e+00	1.458182011473378170e-01	3.554728253362694074e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.548141395083575844e+00	1.528280238078239539e-01	3.445260951767049884e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.647454945959452743e+00	1.520706019257601072e-01	3.219539410750942021e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.745732947695251003e+00	1.488936087702462108e-01	3.134215700109641706e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.848315828642580483e+00	1.421194776244641411e-01	3.307702490372534804e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.939525283941657019e+00	1.481642122006321949e-01	3.145352588649086290e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.044909800808909495e+00	1.504048168800101171e-01	3.170971240044185430e-02
