,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,648.2,0.6481999999999999,,0.0013978758059906224,0.08422397088528566,0.004299912203475484
1,1,0.02,1200,1,100000.0,150,,1361.6,1.3616,,0.004711427333029405,0.06815280202433525,0.0045957686102836015
2,2,0.02,1200,1,100000.0,250,,1859.0,1.859,,0.008209487238974588,0.06666439685220463,0.004714687969661747
3,3,0.02,1200,1,100000.0,350,,2208.8,2.2088,,0.011242805528183908,0.06717831968023105,0.004746590991661859
4,4,0.02,1200,1,100000.0,450,,2527.6,2.5276,,0.016222825873126113,0.0707327275172895,0.0046691188752531615
5,5,0.02,1200,1,100000.0,550,,2817.0,2.817,,0.0193615197406416,0.06624780856078046,0.004717865889296411
6,6,0.02,1200,1,100000.0,650,,3034.0,3.034,,0.025857373627195555,0.06640691561136566,0.004835839484719881
7,7,0.02,1200,1,100000.0,750,,3279.0,3.279,,0.030865754524643303,0.06798843038746356,0.004752122184418924
8,8,0.02,1200,1,100000.0,850,,3539.4,3.5394,,0.03569508444372786,0.06506017906055941,0.004763313219170656
9,9,0.02,1200,1,100000.0,950,,3732.0,3.732,,0.04082903034000082,0.06461643104999512,0.004828381187337338
10,10,0.02,1200,1,100000.0,1050,,3862.6,3.8626,,0.0490350609332836,0.06629968603499162,0.004761035309157774
11,11,0.02,1200,1,100000.0,1150,,4168.8,4.1688,,0.0553868464752668,0.06518368741399687,0.004770154153279948
12,12,0.02,1200,1,100000.0,1250,,4233.8,4.2338,,0.06046367384515179,0.0650125586645971,0.004844008859232714
13,13,0.02,1200,1,100000.0,1350,,4464.6,4.4646,,0.07026332058162552,0.06527082501150482,0.004779678476446619
14,14,0.02,1200,1,100000.0,1450,,4612.0,4.612,,0.07294809758241173,0.06504518527593464,0.004728249761136929
15,15,0.02,1200,1,100000.0,1550,,4715.6,4.7156,,0.08156487043415837,0.06696389144552166,0.004766227790389145
16,16,0.02,1200,1,100000.0,1650,,4889.0,4.889,,0.08647709854099046,0.06517543434907484,0.004859525558787369
17,17,0.02,1200,1,100000.0,1750,,5007.0,5.007,,0.0961714619038048,0.06687185914365407,0.004796524125344828
18,18,0.02,1200,1,100000.0,1850,,5139.4,5.1394,,0.10485105097468476,0.06282933141693085,0.004785884896952553
19,19,0.02,1200,1,100000.0,1950,,5359.4,5.359399999999999,,0.11034099785961188,0.06491806051823973,0.004823191729353416
20,20,0.02,1200,1,100000.0,2050,,5480.8,5.4808,,0.1247014783004488,0.06387169406158412,0.004829614636237776
21,21,0.02,2400,1,100000.0,50,,463.4,0.4633999999999999,,0.0009778547821937878,0.07374351135382462,0.004064573595944393
22,22,0.02,2400,1,100000.0,150,,947.8,0.9478,,0.0031667102259291366,0.07904568679627585,0.004589822107251166
23,23,0.02,2400,1,100000.0,250,,1306.2,1.3062,,0.005546519360990487,0.06662263200447097,0.004596495179805921
24,24,0.02,2400,1,100000.0,350,,1545.4,1.5454,,0.008392674028425518,0.06777418795863209,0.0047503047492278416
25,25,0.02,2400,1,100000.0,450,,1761.4,1.7614,,0.011305642161778451,0.06449197926061216,0.0047577105481430544
26,26,0.02,2400,1,100000.0,550,,1920.8,1.9208,,0.015450299711892513,0.062002880037889674,0.004819307680728935
27,27,0.02,2400,1,100000.0,650,,2142.6,2.1426,,0.019869831255550703,0.06818627377042283,0.004805606820473817
28,28,0.02,2400,1,100000.0,750,,2351.6,2.3516,,0.022415498592863518,0.06455649272932798,0.0047703254157116
29,29,0.02,2400,1,100000.0,850,,2485.8,2.4858,,0.02417990704950625,0.06763034117081915,0.004823526231355948
30,30,0.02,2400,1,100000.0,950,,2610.8,2.6108,,0.02826413754519308,0.06769036487475477,0.004766750950809221
31,31,0.02,2400,1,100000.0,1050,,2733.8,2.7337999999999996,,0.03300259136194653,0.05953126454708146,0.004775079078453794
32,32,0.02,2400,1,100000.0,1150,,2851.8,2.8518,,0.03936960502387592,0.06286520488691286,0.004737444988530022
33,33,0.02,2400,1,100000.0,1250,,3030.2,3.0302000000000007,,0.04269653436645057,0.06768817142650346,0.004717997541405487
34,34,0.02,2400,1,100000.0,1350,,3103.4,3.1034,,0.04779279406284331,0.06141448851771566,0.004812667032696877
35,35,0.02,2400,1,100000.0,1450,,3203.8,3.2038,,0.05386702468704242,0.06740833238605151,0.0048094470809303454
36,36,0.02,2400,1,100000.0,1550,,3361.8,3.3618,,0.05563851550582512,0.06519952158776113,0.00475405751029852
37,37,0.02,2400,1,100000.0,1650,,3517.8,3.5178,,0.06222170601117796,0.06485997779040865,0.004848757282160841
38,38,0.02,2400,1,100000.0,1750,,3565.6,3.5656000000000008,,0.06724551627771688,0.0667208762832225,0.004823648947805359
39,39,0.02,2400,1,100000.0,1850,,3640.0,3.64,,0.0744772346053196,0.06986245532989623,0.004828213663344772
40,40,0.02,2400,1,100000.0,1950,,3712.2,3.7122,,0.08049921507549698,0.06264019871953516,0.004806962726767309
41,41,0.02,2400,1,100000.0,2050,,3876.4,3.8764,,0.08521750460940894,0.06300272368606255,0.0049079807195035585
