,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,47.04,0.04704,,0.00020628461894062864,0.012293656323103645,0.0008599522066843432
1,1,0.02,1200,1,100000.0,75,,98.04,0.09804,,0.0003509683971776667,0.010185520014771025,0.0008862425567266608
2,2,0.02,1200,1,100000.0,100,,148.56,0.14856,,0.0004371364668458,0.007544603818104752,0.0009127707393315657
3,3,0.02,1200,1,100000.0,125,,174.0,0.174,,0.0006172073026903035,0.008132513313293812,0.0009198565108935336
4,4,0.02,1200,1,100000.0,150,,139.4,0.1394,,0.0007434460305853463,0.007013050808288346,0.0009021382604998099
5,5,0.02,1200,1,100000.0,175,,99.24,0.09924,,0.0007566718930331717,0.007349556872918101,0.0009264139296869667
6,6,0.02,1200,1,100000.0,200,,87.08,0.08708,,0.0008903695886351672,0.0056873386088054185,0.0008953110151640297
7,7,0.02,1200,1,100000.0,225,,81.08,0.08107999999999999,,0.0010347231064190509,0.006020140400011022,0.0009150415237620422
8,8,0.02,1200,1,100000.0,250,,89.56,0.08956000000000001,,0.0011557075969597008,0.0056428159952039755,0.000903175668533683
9,9,0.02,1200,1,100000.0,275,,94.68,0.09468,,0.0014342977075057206,0.005473695401715906,0.0009233029768746268
10,10,0.02,1200,1,100000.0,300,,96.56,0.09656,,0.0015842514577070687,0.00510282524565725,0.000917821903342619
11,11,0.02,1200,1,100000.0,325,,99.8,0.09980000000000001,,0.0016879257173150106,0.005551718177845766,0.0009267224461209648
12,12,0.02,1200,1,100000.0,350,,100.64,0.10064,,0.0018935882857772411,0.0052091569128697645,0.0009121028166138307
13,13,0.02,1200,1,100000.0,375,,105.28,0.10528,,0.0016642690745470646,0.004695752948280874,0.0008894825489568369
14,14,0.02,1200,1,100000.0,400,,116.72,0.11672,,0.0022449600809022743,0.004993968672387133,0.0008995913703961511
15,15,0.02,1200,1,100000.0,425,,118.28,0.11827999999999998,,0.00225285966090496,0.004678803028448792,0.0009147074716214685
16,16,0.02,1200,1,100000.0,450,,127.0,0.127,,0.0023934304811064062,0.0048303296986472325,0.000918326806123606
17,17,0.02,1200,1,100000.0,475,,127.84,0.12784,,0.002457961147254082,0.0042036863449750285,0.0009643274222496536
18,18,0.02,1200,1,100000.0,500,,134.64,0.13464,,0.0029264745077739462,0.004359457867989495,0.0009084591570532656
19,19,0.02,1200,1,100000.0,525,,129.64,0.12963999999999995,,0.0032705231910040307,0.0044728357403580445,0.0009277820695285008
20,20,0.02,1200,1,100000.0,550,,135.84,0.13584,,0.0032888759562456475,0.004555529062966193,0.0009430334545995894
