# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	4.703999999999999915e+01	4.703999999999999848e-02	nan	2.062846189406286677e-04	1.229365632310364456e-02	8.599522066843432334e-04
nan	9.803999999999999204e+01	9.804000000000000214e-02	nan	3.509683971776666827e-04	1.018552001477102467e-02	8.862425567266608416e-04
nan	1.485600000000000023e+02	1.485599999999999976e-01	nan	4.371364668457999978e-04	7.544603818104752765e-03	9.127707393315658349e-04
nan	1.740000000000000000e+02	1.739999999999999880e-01	nan	6.172073026903035281e-04	8.132513313293813703e-03	9.198565108935335705e-04
nan	1.394000000000000057e+02	1.393999999999999961e-01	nan	7.434460305853462505e-04	7.013050808288345817e-03	9.021382604998101195e-04
nan	9.923999999999999488e+01	9.923999999999999488e-02	nan	7.566718930331717101e-04	7.349556872918101662e-03	9.264139296869666881e-04
nan	8.707999999999999829e+01	8.708000000000000462e-02	nan	8.903695886351670977e-04	5.687338608805418520e-03	8.953110151640297342e-04
nan	8.107999999999999829e+01	8.107999999999998542e-02	nan	1.034723106419050851e-03	6.020140400011021915e-03	9.150415237620422105e-04
nan	8.956000000000000227e+01	8.956000000000001460e-02	nan	1.155707596959700814e-03	5.642815995203974595e-03	9.031756685336830414e-04
nan	9.467999999999999261e+01	9.468000000000000027e-02	nan	1.434297707505720635e-03	5.473695401715906843e-03	9.233029768746269569e-04
nan	9.656000000000000227e+01	9.656000000000000694e-02	nan	1.584251457707068923e-03	5.102825245657249820e-03	9.178219033426188948e-04
nan	9.979999999999999716e+01	9.979999999999999982e-02	nan	1.687925717315010617e-03	5.551718177845765649e-03	9.267224461209647634e-04
nan	1.006400000000000006e+02	1.006399999999999934e-01	nan	1.893588285777241366e-03	5.209156912869764532e-03	9.121028166138309481e-04
nan	1.052800000000000011e+02	1.052799999999999986e-01	nan	1.664269074547064606e-03	4.695752948280874917e-03	8.894825489568370519e-04
nan	1.167199999999999989e+02	1.167200000000000043e-01	nan	2.244960080902274301e-03	4.993968672387132622e-03	8.995913703961511826e-04
nan	1.182800000000000011e+02	1.182799999999999824e-01	nan	2.252859660904959951e-03	4.678803028448792409e-03	9.147074716214685045e-04
nan	1.270000000000000000e+02	1.270000000000000018e-01	nan	2.393430481106406660e-03	4.830329698647233341e-03	9.183268061236061434e-04
nan	1.278400000000000034e+02	1.278400000000000092e-01	nan	2.457961147254082018e-03	4.203686344975028459e-03	9.643274222496534941e-04
nan	1.346400000000000148e+02	1.346400000000000097e-01	nan	2.926474507773946243e-03	4.359457867989495125e-03	9.084591570532654908e-04
nan	1.296400000000000148e+02	1.296399999999999775e-01	nan	3.270523191004030741e-03	4.472835740358044494e-03	9.277820695285007293e-04
nan	1.358400000000000034e+02	1.358400000000000163e-01	nan	3.288875956245647467e-03	4.555529062966193025e-03	9.430334545995894399e-04
nan	1.394799999999999898e+02	1.394799999999999929e-01	nan	3.236932327999966254e-03	3.712518624070578789e-03	9.332993825898805223e-04
nan	1.455200000000000102e+02	1.455200000000000105e-01	nan	3.312089528703836185e-03	4.070063910155852227e-03	9.354561257715323860e-04
nan	1.495600000000000023e+02	1.495599999999999985e-01	nan	3.697452192413948433e-03	4.327435366596237877e-03	9.447100313080972547e-04
nan	1.529200000000000159e+02	1.529200000000000004e-01	nan	4.008864452707712467e-03	4.221814386323489640e-03	9.400003015686906726e-04
nan	1.596800000000000068e+02	1.596799999999999886e-01	nan	4.228558081226765214e-03	4.077021715681297329e-03	9.392251979942905799e-04
nan	1.630000000000000000e+02	1.630000000000000060e-01	nan	4.266027132030103357e-03	4.241691531851857384e-03	9.551248962404365866e-04
nan	1.606800000000000068e+02	1.606800000000000173e-01	nan	4.235386340874356358e-03	4.128503640067183664e-03	9.462389742608226951e-04
nan	1.712400000000000091e+02	1.712400000000000033e-01	nan	4.560645778301477410e-03	4.234559605877616026e-03	9.411313997945647486e-04
nan	1.723599999999999852e+02	1.723600000000000132e-01	nan	4.653630641169002186e-03	4.333697695554642598e-03	9.319288021425590259e-04
nan	1.825200000000000102e+02	1.825200000000000156e-01	nan	4.183440174824681716e-03	3.681655300572502041e-03	9.458954116531206446e-04
nan	1.921999999999999886e+02	1.922000000000000097e-01	nan	5.233901426390730020e-03	3.515277356603862570e-03	9.508626205087511701e-04
nan	1.908000000000000114e+02	1.907999999999999974e-01	nan	5.687838688636474849e-03	3.794207876967125616e-03	9.516939393364911692e-04
nan	1.962800000000000011e+02	1.962800000000000100e-01	nan	5.595518907621226286e-03	3.980224312159054770e-03	9.308771127734937617e-04
nan	2.030400000000000205e+02	2.030399999999999705e-01	nan	6.169458515787483097e-03	3.958888831143478511e-03	9.428055784283214183e-04
nan	2.110800000000000125e+02	2.110800000000000176e-01	nan	6.537342772594456966e-03	3.529823535668159644e-03	9.371149533152243550e-04
nan	2.100400000000000205e+02	2.100400000000000045e-01	nan	6.130540126705454583e-03	3.676106725362436080e-03	9.350735097127341753e-04
nan	2.185600000000000023e+02	2.185600000000000043e-01	nan	7.101402956454875952e-03	3.898662903721946456e-03	9.124747052699045758e-04
nan	2.220400000000000205e+02	2.220399999999999596e-01	nan	6.958942890132675980e-03	3.937858388303536704e-03	9.517852280851899719e-04
nan	2.269199999999999875e+02	2.269200000000000106e-01	nan	6.676394115720541214e-03	3.877493726077928336e-03	9.506045179379224441e-04
nan	2.242800000000000296e+02	2.242800000000000349e-01	nan	7.717104561088490577e-03	3.614473338585622204e-03	9.528228715392838633e-04
nan	2.378400000000000034e+02	2.378399999999999959e-01	nan	7.291074331305935630e-03	3.836497132055632833e-03	9.566586798052127607e-04
nan	2.297199999999999704e+02	2.297200000000000075e-01	nan	7.446251019628107384e-03	3.484515298051533202e-03	9.534322180168433363e-04
nan	2.414399999999999977e+02	2.414400000000000157e-01	nan	7.909958469863340863e-03	3.779919176314171236e-03	9.678519742969344045e-04
nan	2.439199999999999875e+02	2.439199999999999979e-01	nan	8.530837175640045358e-03	3.853818485081188065e-03	9.324697815380348156e-04
nan	2.497199999999999704e+02	2.497199999999999975e-01	nan	8.554306185797031642e-03	3.666808699493384789e-03	9.601911175410411323e-04
nan	2.519599999999999795e+02	2.519600000000000173e-01	nan	8.614506745252584544e-03	3.454878108828903123e-03	9.510701162616086706e-04
nan	2.524399999999999977e+02	2.524399999999999977e-01	nan	9.402974339845968782e-03	3.798305388021671301e-03	9.658840401142799233e-04
nan	2.570400000000000205e+02	2.570399999999999907e-01	nan	9.660490266960549896e-03	3.573048453701137099e-03	9.605306743048127455e-04
nan	2.542400000000000091e+02	2.542399999999999660e-01	nan	9.095387711222428090e-03	3.290116549650003944e-03	9.635729505642285633e-04
nan	2.623999999999999773e+02	2.623999999999999666e-01	nan	1.023698104221693918e-02	3.084685758945586703e-03	9.494355257978809217e-04
