,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,235.2,0.2352,,0.0010314230947031432,0.06146828161551822,0.004299761033421716
1,1,0.02,1200,1,100000.0,75,,490.2,0.4902,,0.0017548419858883335,0.05092760007385512,0.004431212783633304
2,2,0.02,1200,1,100000.0,100,,742.7999999999998,0.7428,,0.002185682334229,0.037723019090523766,0.004563853696657829
3,3,0.02,1200,1,100000.0,125,,870.0,0.87,,0.0030860365134515177,0.04066256656646907,0.004599282554467668
4,4,0.02,1200,1,100000.0,150,,697.0,0.697,,0.0037172301529267314,0.03506525404144173,0.004510691302499051
5,5,0.02,1200,1,100000.0,175,,496.2,0.4962,,0.0037833594651658586,0.0367477843645905,0.0046320696484348335
6,6,0.02,1200,1,100000.0,200,,435.4,0.4354,,0.004451847943175835,0.028436693044027093,0.004476555075820149
7,7,0.02,1200,1,100000.0,225,,405.4,0.4053999999999999,,0.0051736155320952545,0.03010070200005511,0.00457520761881021
8,8,0.02,1200,1,100000.0,250,,447.8,0.4478000000000001,,0.005778537984798504,0.028214079976019872,0.004515878342668416
9,9,0.02,1200,1,100000.0,275,,473.4,0.4734,,0.007171488537528603,0.02736847700857953,0.004616514884373135
10,10,0.02,1200,1,100000.0,300,,482.8,0.4828,,0.007921257288535344,0.02551412622828625,0.004589109516713094
11,11,0.02,1200,1,100000.0,325,,499.0,0.499,,0.008439628586575054,0.02775859088922883,0.004633612230604824
12,12,0.02,1200,1,100000.0,350,,503.2,0.5032,,0.009467941428886207,0.026045784564348824,0.004560514083069155
13,13,0.02,1200,1,100000.0,375,,526.4,0.5264,,0.00832134537273532,0.02347876474140437,0.004447412744784184
14,14,0.02,1200,1,100000.0,400,,583.6,0.5836,,0.01122480040451137,0.024969843361935664,0.004497956851980756
15,15,0.02,1200,1,100000.0,425,,591.4,0.5913999999999999,,0.0112642983045248,0.02339401514224396,0.004573537358107342
16,16,0.02,1200,1,100000.0,450,,635.0,0.635,,0.011967152405532032,0.024151648493236165,0.004591634030618031
17,17,0.02,1200,1,100000.0,475,,639.2,0.6392,,0.01228980573627041,0.021018431724875143,0.004821637111248268
18,18,0.02,1200,1,100000.0,500,,673.2,0.6732,,0.014632372538869731,0.021797289339947477,0.004542295785266328
19,19,0.02,1200,1,100000.0,525,,648.2,0.6481999999999999,,0.016352615955020154,0.02236417870179022,0.004638910347642504
20,20,0.02,1200,1,100000.0,550,,679.2,0.6792,,0.016444379781228237,0.022777645314830963,0.004715167272997947
21,21,0.02,1200,1,100000.0,575,,697.4,0.6974,,0.01618466163999983,0.018562593120352893,0.004666496912949403
22,22,0.02,1200,1,100000.0,600,,727.6,0.7276,,0.01656044764351918,0.02035031955077926,0.004677280628857662
23,23,0.02,1200,1,100000.0,625,,747.7999999999998,0.7478,,0.01848726096206974,0.02163717683298119,0.004723550156540486
24,24,0.02,1200,1,100000.0,650,,764.6,0.7646,,0.02004432226353856,0.021109071931617446,0.004700001507843454
25,25,0.02,1200,1,100000.0,675,,798.3999999999999,0.7984,,0.021142790406133823,0.020385108578406485,0.004696125989971453
26,26,0.02,1200,1,100000.0,700,,815.0,0.815,,0.02133013566015052,0.02120845765925929,0.004775624481202183
27,27,0.02,1200,1,100000.0,725,,803.3999999999999,0.8034000000000001,,0.021176931704371783,0.02064251820033592,0.004731194871304112
28,28,0.02,1200,1,100000.0,750,,856.2,0.8562,,0.022803228891507387,0.02117279802938808,0.004705656998972824
29,29,0.02,1200,1,100000.0,775,,861.7999999999998,0.8618,,0.023268153205845007,0.02166848847777321,0.004659644010712795
30,30,0.02,1200,1,100000.0,800,,912.6,0.9126,,0.02091720087412341,0.018408276502862506,0.0047294770582656034
31,31,0.02,1200,1,100000.0,825,,961.0,0.961,,0.026169507131953647,0.017576386783019312,0.004754313102543756
32,32,0.02,1200,1,100000.0,850,,954.0,0.954,,0.02843919344318237,0.018971039384835627,0.004758469696682456
33,33,0.02,1200,1,100000.0,875,,981.4,0.9814,,0.027977594538106127,0.019901121560795276,0.004654385563867469
34,34,0.02,1200,1,100000.0,900,,1015.2,1.0151999999999999,,0.03084729257893741,0.01979444415571739,0.004714027892141607
35,35,0.02,1200,1,100000.0,925,,1055.4,1.0554,,0.03268671386297228,0.0176491176783408,0.004685574766576122
36,36,0.02,1200,1,100000.0,950,,1050.2,1.0502,,0.030652700633527277,0.018380533626812176,0.004675367548563671
37,37,0.02,1200,1,100000.0,975,,1092.8,1.0928,,0.03550701478227438,0.01949331451860973,0.004562373526349523
38,38,0.02,1200,1,100000.0,1000,,1110.2,1.1101999999999999,,0.03479471445066338,0.019689291941517684,0.00475892614042595
39,39,0.02,1200,1,100000.0,1025,,1134.6,1.1346,,0.033381970578602704,0.01938746863038964,0.004753022589689612
40,40,0.02,1200,1,100000.0,1050,,1121.4,1.1214,,0.038585522805442446,0.018072366692928114,0.004764114357696419
41,41,0.02,1200,1,100000.0,1075,,1189.2,1.1892,,0.03645537165652968,0.019182485660278165,0.004783293399026064
42,42,0.02,1200,1,100000.0,1100,,1148.6,1.1486,,0.037231255098140535,0.017422576490257666,0.004767161090084217
43,43,0.02,1200,1,100000.0,1125,,1207.2,1.2072,,0.0395497923493167,0.018899595881570856,0.004839259871484672
44,44,0.02,1200,1,100000.0,1150,,1219.6,1.2196,,0.04265418587820023,0.01926909242540594,0.004662348907690174
45,45,0.02,1200,1,100000.0,1175,,1248.6,1.2486,,0.042771530928985155,0.018334043497466923,0.004800955587705206
46,46,0.02,1200,1,100000.0,1200,,1259.8,1.2598,,0.04307253372626292,0.017274390544144515,0.004755350581308044
47,47,0.02,1200,1,100000.0,1225,,1262.2,1.2622,,0.04701487169922984,0.01899152694010836,0.0048294202005714
48,48,0.02,1200,1,100000.0,1250,,1285.2,1.2852,,0.04830245133480275,0.017865242268505686,0.004802653371524064
49,49,0.02,1200,1,100000.0,1275,,1271.2,1.2711999999999999,,0.045476938556112144,0.01645058274825002,0.004817864752821143
50,50,0.02,1200,1,100000.0,1300,,1312.0,1.3119999999999998,,0.05118490521108469,0.015423428794727932,0.004747177628989405
51,51,0.02,1200,1,100000.0,1325,,1323.0,1.323,,0.04660996852940116,0.017139537181388758,0.004765186207108198
52,52,0.02,1200,1,100000.0,1350,,1347.2,1.3472,,0.049801879719279886,0.01712220349705137,0.004851275832078976
53,53,0.02,1200,1,100000.0,1375,,1317.6,1.3175999999999999,,0.05506468553294326,0.01633777989208586,0.004768252457168361
54,54,0.02,1200,1,100000.0,1400,,1333.6,1.3336,,0.05599241440072546,0.018031456512904293,0.004789855094887108
55,55,0.02,1200,1,100000.0,1425,,1347.0,1.347,,0.05501487636038292,0.017565207711826673,0.00481541682469108
56,56,0.02,1200,1,100000.0,1450,,1336.6,1.3366,,0.0576602459802416,0.016209133418519938,0.0047707807705854345
57,57,0.02,1200,1,100000.0,1475,,1338.4,1.3383999999999998,,0.061592604474799376,0.016836116845002407,0.004708417444628429
58,58,0.02,1200,1,100000.0,1500,,1349.4,1.3494,,0.06288771733516113,0.01730036418423584,0.004706547161682
59,59,0.02,1200,1,100000.0,1525,,1374.0,1.374,,0.06670005952000793,0.016754174737761484,0.0047799932069618285
60,60,0.02,1200,1,100000.0,1550,,1368.0,1.3679999999999999,,0.06639080150125665,0.017525863446291846,0.004818282822490963
61,61,0.02,1200,1,100000.0,1575,,1390.2,1.3901999999999997,,0.06414264451095733,0.0174097346825199,0.00469586644100794
62,62,0.02,1200,1,100000.0,1600,,1358.8,1.3588,,0.0675393780147715,0.017221107312306805,0.004627593859612416
63,63,0.02,1200,1,100000.0,1625,,1359.2,1.3592,,0.07042794223807505,0.016771328637114096,0.004809599384766985
64,64,0.02,1200,1,100000.0,1650,,1359.2,1.3592,,0.0795240035887673,0.015490711986135663,0.0047738306128688865
65,65,0.02,1200,1,100000.0,1675,,1357.8,1.3578,,0.0732537526543183,0.016434061716378626,0.00475948650552337
66,66,0.02,1200,1,100000.0,1700,,1315.2,1.3152,,0.07758656320329464,0.0152333285811612,0.004803870769128928
67,67,0.02,1200,1,100000.0,1725,,1346.4,1.3464,,0.06884795751666388,0.016149254777601332,0.004879226695823144
68,68,0.02,1200,1,100000.0,1750,,1304.8,1.3048,,0.07813455250616243,0.016085970266003356,0.004708960466129901
69,69,0.02,1200,1,100000.0,1775,,1277.2,1.2772,,0.07920624100529494,0.01637160026761217,0.004650180324857993
70,70,0.02,1200,1,100000.0,1800,,1245.8,1.2457999999999996,,0.08287597138205456,0.016062322229198837,0.00471627301501329
71,71,0.02,1200,1,100000.0,1825,,1228.2,1.2282,,0.08458969531129697,0.015827148073482462,0.004756532260888868
72,72,0.02,1200,1,100000.0,1850,,1187.2,1.1872000000000003,,0.08107088120586922,0.01566681528285701,0.004707172938012537
73,73,0.02,1200,1,100000.0,1875,,1157.2,1.1572,,0.08439510311964113,0.016152863115907266,0.004803419520567775
