,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,20000.0,20.0,,0.009982445456131188,0.030019971030724638,0.030035629431757447
1,1,0.02,1200,1,100000.0,75,,20000.0,20.0,,0.014944481871860376,0.02547843634223969,0.023941337608788783
2,2,0.02,1200,1,100000.0,100,,20000.0,20.0,,0.01998757795923609,0.02186333552718392,0.020685961511404886
3,3,0.02,1200,1,100000.0,125,,20000.0,20.0,,0.024946240670078054,0.020190523725006886,0.018978385538453872
4,4,0.02,1200,1,100000.0,150,,20000.0,20.0,,0.028041603022863744,0.01945387739583577,0.01800410724009585
5,5,0.02,1200,1,100000.0,175,,20000.0,20.0,,0.03492791048852155,0.01719376614338158,0.01574395049964302
6,6,0.02,1200,1,100000.0,200,,20000.0,20.0,,0.039917023175456735,0.01699011825729094,0.015033967932956284
7,7,0.02,1200,1,100000.0,225,,20000.0,20.0,,0.044909082512579065,0.0151916165439608,0.01350294689912156
8,8,0.02,1200,1,100000.0,250,,20000.0,20.0,,0.04988234005106619,0.014747530777724702,0.013369038673953787
9,9,0.02,1200,1,100000.0,275,,20000.0,20.0,,0.05487819385077045,0.014745749005841543,0.012920330491665168
10,10,0.02,1200,1,100000.0,300,,20000.0,20.0,,0.05988856049213609,0.014464697857338204,0.011507866889872567
11,11,0.02,1200,1,100000.0,325,,20000.0,20.0,,0.06492326184544253,0.013416421686101559,0.01162444374436761
12,12,0.02,1200,1,100000.0,350,,20000.0,20.0,,0.06941542522657074,0.013279969005666506,0.011050481372597554
13,13,0.02,1200,1,100000.0,375,,20000.0,20.0,,0.07487242510849,0.01266552559116355,0.010539406679122216
14,14,0.02,1200,1,100000.0,400,,20000.0,20.0,,0.0799126467065912,0.012900002197645217,0.010787188295283023
15,15,0.02,1200,1,100000.0,425,,20000.0,20.0,,0.08475437264621632,0.012031012417435868,0.010507703476197276
16,16,0.02,1200,1,100000.0,450,,20000.0,20.0,,0.08952846894195773,0.012144026215712613,0.009767055468130514
17,17,0.02,1200,1,100000.0,475,,20000.0,20.0,,0.09494473480724765,0.011989470543355193,0.009628550102048742
18,18,0.02,1200,1,100000.0,500,,20000.0,20.0,,0.09989720482300073,0.011839365158655933,0.009421438410051119
19,19,0.02,1200,1,100000.0,525,,20000.0,20.0,,0.10474033889413475,0.0116363812903307,0.00920363312041472
20,20,0.02,1200,1,100000.0,550,,20000.0,20.0,,0.1097687768327796,0.011123878071761014,0.00890503864394276
