,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,100000.0,100.0,,0.04991222728065594,0.15009985515362315,0.15017814715878725
1,1,0.02,1200,1,100000.0,75,,100000.0,100.0,,0.07472240935930188,0.12739218171119848,0.1197066880439439
2,2,0.02,1200,1,100000.0,100,,100000.0,100.0,,0.09993788979618044,0.1093166776359196,0.10342980755702444
3,3,0.02,1200,1,100000.0,125,,100000.0,100.0,,0.12473120335039029,0.10095261862503443,0.09489192769226935
4,4,0.02,1200,1,100000.0,150,,100000.0,100.0,,0.1402080151143187,0.09726938697917885,0.09002053620047924
5,5,0.02,1200,1,100000.0,175,,100000.0,100.0,,0.17463955244260773,0.0859688307169079,0.0787197524982151
6,6,0.02,1200,1,100000.0,200,,100000.0,100.0,,0.19958511587728367,0.0849505912864547,0.07516983966478143
7,7,0.02,1200,1,100000.0,225,,100000.0,100.0,,0.22454541256289529,0.075958082719804,0.0675147344956078
8,8,0.02,1200,1,100000.0,250,,100000.0,100.0,,0.24941170025533096,0.07373765388862352,0.06684519336976893
9,9,0.02,1200,1,100000.0,275,,100000.0,100.0,,0.2743909692538523,0.07372874502920772,0.06460165245832585
10,10,0.02,1200,1,100000.0,300,,100000.0,100.0,,0.29944280246068045,0.07232348928669102,0.05753933444936284
11,11,0.02,1200,1,100000.0,325,,100000.0,100.0,,0.3246163092272127,0.0670821084305078,0.05812221872183805
12,12,0.02,1200,1,100000.0,350,,100000.0,100.0,,0.3470771261328537,0.06639984502833253,0.05525240686298777
13,13,0.02,1200,1,100000.0,375,,100000.0,100.0,,0.37436212554245,0.06332762795581776,0.05269703339561109
14,14,0.02,1200,1,100000.0,400,,100000.0,100.0,,0.399563233532956,0.06450001098822608,0.05393594147641512
15,15,0.02,1200,1,100000.0,425,,100000.0,100.0,,0.4237718632310816,0.06015506208717934,0.05253851738098638
16,16,0.02,1200,1,100000.0,450,,100000.0,100.0,,0.44764234470978864,0.06072013107856308,0.04883527734065256
17,17,0.02,1200,1,100000.0,475,,100000.0,100.0,,0.4747236740362382,0.05994735271677596,0.04814275051024371
18,18,0.02,1200,1,100000.0,500,,100000.0,100.0,,0.4994860241150036,0.05919682579327967,0.0471071920502556
19,19,0.02,1200,1,100000.0,525,,100000.0,100.0,,0.5237016944706737,0.0581819064516535,0.0460181656020736
20,20,0.02,1200,1,100000.0,550,,100000.0,100.0,,0.5488438841638981,0.055619390358805074,0.04452519321971381
21,21,0.02,1200,1,100000.0,575,,100000.0,100.0,,0.574461204104432,0.05569618862751508,0.043963571219693846
22,22,0.02,1200,1,100000.0,600,,100000.0,100.0,,0.5991136848777842,0.05818022724759585,0.0420151375001527
23,23,0.02,1200,1,100000.0,625,,100000.0,100.0,,0.6241402963293468,0.05419682532385704,0.040863823992351875
24,24,0.02,1200,1,100000.0,650,,100000.0,100.0,,0.648648027857439,0.0526290689057357,0.042124908237145965
25,25,0.02,1200,1,100000.0,675,,100000.0,100.0,,0.6668361020417024,0.0561928516847631,0.041805966749147286
26,26,0.02,1200,1,100000.0,700,,100000.0,100.0,,0.6985163582366795,0.05092843434679878,0.0396138563949854
27,27,0.02,1200,1,100000.0,725,,100000.0,100.0,,0.722955661158926,0.052322861827543234,0.0402336907293514
28,28,0.02,1200,1,100000.0,750,,100000.0,100.0,,0.7486616785948172,0.050869593071230304,0.039745571596152
29,29,0.02,1200,1,100000.0,775,,100000.0,100.0,,0.7740344387748563,0.053084247635106704,0.03817808578810848
30,30,0.02,1200,1,100000.0,800,,100000.0,100.0,,0.7995822123326434,0.050868836962978094,0.037260522500734354
31,31,0.02,1200,1,100000.0,825,,100000.0,100.0,,0.8235010825616883,0.050811262361344735,0.034601240133297344
32,32,0.02,1200,1,100000.0,850,,100000.0,100.0,,0.8483132911963368,0.050366319749772945,0.03687749365244668
33,33,0.02,1200,1,100000.0,875,,100000.0,100.0,,0.8180425533255203,0.05197207550145992,0.035591168025941186
34,34,0.02,1200,1,100000.0,900,,100000.0,100.0,,0.8991151818869638,0.049941661038225046,0.03406877509668251
35,35,0.02,1200,1,100000.0,925,,100000.0,100.0,,0.9227308830735864,0.04889971175243935,0.035451630463593606
36,36,0.02,1200,1,100000.0,950,,100000.0,100.0,,0.9468572767110572,0.04848958077885982,0.03482000646850113
37,37,0.02,1200,1,100000.0,975,,100000.0,100.0,,0.9743280067331397,0.04929557330765511,0.03473873359695684
38,38,0.02,1200,1,100000.0,1000,,100000.0,100.0,,0.9983834112251769,0.048796905484892864,0.03249113356721945
39,39,0.02,1200,1,100000.0,1025,,100000.0,100.0,,0.9574792748045037,0.04803806269448752,0.03280503758993629
40,40,0.02,1200,1,100000.0,1050,,100000.0,100.0,,1.0472772732907742,0.04799990750775798,0.03305464773369788
41,41,0.02,1200,1,100000.0,1075,,100000.0,100.0,,1.0736067991645086,0.04867098910475716,0.03243217031117364
42,42,0.02,1200,1,100000.0,1100,,100000.0,100.0,,1.0971428512342751,0.04666594526026304,0.030586792385124954
43,43,0.02,1200,1,100000.0,1125,,100000.0,100.0,,1.124037370019414,0.04590950981167152,0.030371758402194315
44,44,0.02,1200,1,100000.0,1150,,100000.0,100.0,,1.147676310079396,0.04584654340947784,0.030480796660396752
45,45,0.02,1200,1,100000.0,1175,,100000.0,100.0,,1.1728580692398736,0.046795467419959255,0.03115177164305408
46,46,0.02,1200,1,100000.0,1200,,100000.0,100.0,,1.1985346868553735,0.04682195680081532,0.03027627916101737
47,47,0.02,1200,1,100000.0,1225,,100000.0,100.0,,1.223663624915207,0.04451941539858484,0.03147891568347415
48,48,0.02,1200,1,100000.0,1250,,100000.0,100.0,,1.246861754035899,0.04748459067407058,0.029711374292665425
49,49,0.02,1200,1,100000.0,1275,,100000.0,100.0,,1.2726256203250614,0.045568989436125217,0.030318870714297303
50,50,0.02,1200,1,100000.0,1300,,100000.0,100.0,,1.2982028090869335,0.04513579943122412,0.02847610547135788
51,51,0.02,1200,1,100000.0,1325,,100000.0,100.0,,1.32373151661659,0.047370495452155534,0.029576682256832576
52,52,0.02,1200,1,100000.0,1350,,100000.0,100.0,,1.3478005648440103,0.04407323708929338,0.028977658212375128
53,53,0.02,1200,1,100000.0,1375,,100000.0,100.0,,1.3735069132439093,0.046328843747932405,0.02826370586263073
54,54,0.02,1200,1,100000.0,1400,,100000.0,100.0,,1.3989964286079613,0.04512814526597751,0.028380612310027996
55,55,0.02,1200,1,100000.0,1425,,100000.0,100.0,,1.4201319664138736,0.045568042280209775,0.02890225869734513
56,56,0.02,1200,1,100000.0,1450,,100000.0,100.0,,1.4468615430855152,0.046627104331988925,0.02755372773795336
57,57,0.02,1200,1,100000.0,1475,,100000.0,100.0,,1.4726375007873684,0.04555620322019516,0.027889422466113385
58,58,0.02,1200,1,100000.0,1500,,100000.0,100.0,,1.4977809326888292,0.04535378523903577,0.02889697848690128
59,59,0.02,1200,1,100000.0,1525,,100000.0,100.0,,1.521268201817429,0.0451417231164993,0.02618784882420543
60,60,0.02,1200,1,100000.0,1550,,100000.0,100.0,,1.5486273938030535,0.045223849322829066,0.02611993968750868
61,61,0.02,1200,1,100000.0,1575,,100000.0,100.0,,1.5730932215014035,0.04534484340230223,0.02695159068572421
62,62,0.02,1200,1,100000.0,1600,,100000.0,100.0,,1.5973853142530516,0.04630823490037607,0.026054080517280986
63,63,0.02,1200,1,100000.0,1625,,100000.0,100.0,,1.6206524640370843,0.043931590908687056,0.027276953634566926
64,64,0.02,1200,1,100000.0,1650,,100000.0,100.0,,1.6470863455908784,0.04635390370093096,0.026792538626030253
65,65,0.02,1200,1,100000.0,1675,,100000.0,100.0,,1.6726067300103296,0.044797193036082254,0.02631107738084567
66,66,0.02,1200,1,100000.0,1700,,100000.0,100.0,,1.6976780356877952,0.04332477924070518,0.026064940098984288
67,67,0.02,1200,1,100000.0,1725,,100000.0,100.0,,1.7211851709688744,0.04324007472384977,0.02547577976160135
68,68,0.02,1200,1,100000.0,1750,,100000.0,100.0,,1.7471157261483312,0.04235625010502802,0.027858740169631416
69,69,0.02,1200,1,100000.0,1775,,100000.0,100.0,,1.656304537107632,0.04470675875615173,0.025479328278291018
70,70,0.02,1200,1,100000.0,1800,,100000.0,100.0,,1.79600623461929,0.04522609241304988,0.0252327603846497
71,71,0.02,1200,1,100000.0,1825,,100000.0,100.0,,1.8230799370827753,0.04443883310741357,0.02439924299451372
72,72,0.02,1200,1,100000.0,1850,,100000.0,100.0,,1.8486060255722347,0.042197021118269167,0.024881339304547896
73,73,0.02,1200,1,100000.0,1875,,100000.0,100.0,,1.8718344141957004,0.0444696419996336,0.02509038966532958
74,74,0.02,1200,1,100000.0,1900,,100000.0,100.0,,1.896009650649876,0.04424142199547344,0.02475531786422112
75,75,0.02,1200,1,100000.0,1925,,100000.0,100.0,,1.922471866387832,0.04501103691679263,0.024054567075512866
76,76,0.02,1200,1,100000.0,1950,,100000.0,100.0,,1.9389382324576672,0.04106593163016915,0.023604244596329555
77,77,0.02,1200,1,100000.0,1975,,100000.0,100.0,,1.9725558491109496,0.0425143088963679,0.022791344377470813
78,78,0.02,1200,1,100000.0,2000,,100000.0,100.0,,1.9974043809510929,0.042636824163063344,0.0231709499842414
79,79,0.02,1200,1,100000.0,2025,,100000.0,100.0,,2.022000863478661,0.043149829752505114,0.024444540686133012
80,80,0.02,1200,1,100000.0,2050,,100000.0,100.0,,2.047032388583466,0.04436311305814129,0.023291363642774225
81,81,0.02,1200,1,100000.0,2075,,100000.0,100.0,,2.0719262377427183,0.042898293831687445,0.02372214511276396
82,82,0.02,1200,1,100000.0,2100,,100000.0,100.0,,2.096097408492005,0.04153406524469182,0.024525642113751113
83,83,0.02,2400,1,100000.0,50,,100000.0,100.0,,0.04991752218803783,0.1503398873411838,0.14885082669052335
84,84,0.02,2400,1,100000.0,75,,100000.0,100.0,,0.074855681101576,0.12369334250807786,0.11986974461192534
85,85,0.02,2400,1,100000.0,100,,100000.0,100.0,,0.0999108839347485,0.10651842031532628,0.10481303041877864
86,86,0.02,2400,1,100000.0,125,,100000.0,100.0,,0.12482388211076056,0.09748861797782131,0.09374589476467617
87,87,0.02,2400,1,100000.0,150,,100000.0,100.0,,0.14986261767533052,0.09370030444084808,0.08258611507859062
88,88,0.02,2400,1,100000.0,175,,100000.0,100.0,,0.1748608407201857,0.08450639482922873,0.07805925305755952
89,89,0.02,2400,1,100000.0,200,,100000.0,100.0,,0.1998238177184476,0.08365801118273368,0.07351525079832734
90,90,0.02,2400,1,100000.0,225,,100000.0,100.0,,0.2246326695225093,0.07927609742615677,0.06623510602717941
91,91,0.02,2400,1,100000.0,250,,100000.0,100.0,,0.24960656466295175,0.07469892559575143,0.0648882449605254
92,92,0.02,2400,1,100000.0,275,,100000.0,100.0,,0.2746428898027944,0.07274787559966674,0.06221842134096153
93,93,0.02,2400,1,100000.0,300,,100000.0,100.0,,0.2991454702079068,0.06984943168442695,0.06023808361868956
94,94,0.02,2400,1,100000.0,325,,100000.0,100.0,,0.32462710148832913,0.0670906614711309,0.05974023215938092
95,95,0.02,2400,1,100000.0,350,,100000.0,100.0,,0.3496082146977528,0.06860907250087782,0.056922427619864394
96,96,0.02,2400,1,100000.0,375,,100000.0,100.0,,0.37431984314074496,0.062225240245246914,0.05767085915352758
97,97,0.02,2400,1,100000.0,400,,100000.0,100.0,,0.3993865646767176,0.06422086344226477,0.051567266799542086
