# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	9.980048502332580090e-03	3.197203199330506812e-02	2.876042526059715068e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.997333745717639816e-02	2.253155026073374104e-02	2.084443932385812714e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.994354266614323093e-02	1.846314207141649261e-02	1.718788477440047133e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.990182718861774724e-02	1.560357754198861413e-02	1.444016054264729045e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	4.993564609081545258e-02	1.462526009370047030e-02	1.359094651955120372e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	5.992663329080414464e-02	1.468182674413300373e-02	1.227588971084964814e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	6.984565869277957473e-02	1.299168669417287945e-02	1.082053185627259231e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	7.985901928760086310e-02	1.204961908887699877e-02	1.085349018671297530e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	8.988507310782552218e-02	1.216040318404916151e-02	9.883541976642432753e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	9.990893337679836173e-02	1.146552935231965643e-02	9.498262011239443775e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.098457811769276288e-01	1.139699972182735624e-02	9.349263711721053638e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.198368075633652607e-01	1.098449654005490862e-02	8.449281484055944091e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.298497353432867540e-01	1.113321322509821208e-02	8.499367592702186669e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.397741846142935285e-01	1.049853485072593101e-02	7.685728022596108322e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.497523462917479120e-01	1.031013087532882400e-02	7.547829015185551424e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.593215616584120753e-01	1.018176689380134725e-02	7.595698782019650111e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.697286078776596707e-01	1.010878253441304872e-02	7.260451708564959541e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.795748151567704565e-01	1.018477919385801789e-02	7.220601032644972765e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.897593080315937153e-01	9.460586577450960308e-03	6.898170047004391174e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.997539888133496588e-01	9.673216879046903083e-03	6.711530384758785002e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.097984962740338521e-01	9.690735529626130079e-03	6.503573044265890772e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.197816841173062252e-01	9.246387341080807704e-03	6.205999997918740935e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.298084398323771982e-01	9.540492349294108637e-03	6.534306976205536688e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.382696617029796404e-01	9.339247064166838683e-03	6.174009563992118033e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.493248650952591683e-01	9.655104100246822418e-03	5.882092270450911889e-03
