,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,113.52,0.11352,,0.00023593475414799056,0.013209668717171025,0.0008654968593937147
1,1,0.02,1200,1,100000.0,100,,214.12,0.21412,,0.0005494503208552713,0.009211056783517869,0.0008967018035772893
2,2,0.02,1200,1,100000.0,150,,276.48,0.27648,,0.0008184092150384004,0.009020491752117391,0.0008457583095504448
3,3,0.02,1200,1,100000.0,200,,326.76,0.32676000000000005,,0.0012425077262741978,0.0081985253914349,0.0009442797025530618
4,4,0.02,1200,1,100000.0,250,,372.6,0.3726,,0.0016749008595058964,0.007131466305958403,0.0009225714208330819
5,5,0.02,1200,1,100000.0,300,,399.44,0.39944,,0.001965045583524443,0.007415860185485187,0.0009277353801529404
6,6,0.02,1200,1,100000.0,350,,444.28,0.44428,,0.0026463268666270775,0.006977588711284635,0.0010279243026349364
7,7,0.02,1200,1,100000.0,400,,477.36,0.47736,,0.002883992964914341,0.006759900527329682,0.0009313935477623347
8,8,0.02,1200,1,100000.0,450,,504.08,0.50408,,0.003689900307997505,0.00673254361022473,0.0008665991625528696
9,9,0.02,1200,1,100000.0,500,,535.48,0.5354800000000001,,0.003990791768158032,0.00666811482444978,0.0009122827390542845
10,10,0.02,1200,1,100000.0,550,,565.08,0.56508,,0.004648547552710625,0.00644904864770056,0.0009218324344158889
11,11,0.02,1200,1,100000.0,600,,589.28,0.5892799999999999,,0.00526338492682953,0.006148153644484075,0.0009162432332145443
12,12,0.02,1200,1,100000.0,650,,610.72,0.6107199999999999,,0.005520843015328865,0.006122213736596991,0.0009341085512477331
13,13,0.02,1200,1,100000.0,700,,631.6800000000001,0.6316799999999999,,0.0064891518108197484,0.006065299403004213,0.0008872011336532421
14,14,0.02,1200,1,100000.0,750,,658.96,0.65896,,0.006913624900762441,0.006041562057434776,0.0009049978140292136
15,15,0.02,1200,1,100000.0,800,,692.48,0.69248,,0.007932899275529053,0.005938779531384577,0.0008838288688575739
16,16,0.02,1200,1,100000.0,850,,698.48,0.69848,,0.008490397756186211,0.00601918809247188,0.0009470723245324607
17,17,0.02,1200,1,100000.0,900,,726.3199999999998,0.72632,,0.009467194305334489,0.006083800559069217,0.000947667504081625
18,18,0.02,1200,1,100000.0,950,,737.2,0.7372000000000003,,0.009446220177374016,0.005707476272699517,0.0009243637175844274
19,19,0.02,1200,1,100000.0,1000,,765.48,0.7654799999999998,,0.011059839720037415,0.00602050315939898,0.0008537542002128611
20,20,0.02,1200,1,100000.0,1050,,779.0399999999998,0.7790399999999998,,0.01144772236296376,0.005888911110803311,0.0009345013090267288
21,21,0.02,1200,1,100000.0,1100,,797.64,0.79764,,0.012750439764095062,0.005683110619316288,0.000934452165430916
22,22,0.02,1200,1,100000.0,1150,,807.0,0.807,,0.01285175369405806,0.005854462918082417,0.0009306686313840243
23,23,0.02,1200,1,100000.0,1200,,828.2,0.8282,,0.013845275632884296,0.00588645956768951,0.0009474523165451472
24,24,0.02,1200,1,100000.0,1250,,860.88,0.8608799999999999,,0.015042193327280984,0.005231276844300576,0.0009644637877201875
25,25,0.02,1200,1,100000.0,1300,,875.5200000000002,0.8755199999999999,,0.01534830259030059,0.005534510810371227,0.0009929810142658682
26,26,0.02,1200,1,100000.0,1350,,884.36,0.88436,,0.01634773296537787,0.005861711396264564,0.0009258704818444864
27,27,0.02,1200,1,100000.0,1400,,899.56,0.8995599999999998,,0.018148827658778822,0.0056449269823805924,0.0009088073377100148
28,28,0.02,1200,1,100000.0,1450,,926.48,0.92648,,0.019029938563844558,0.005599406154382014,0.0009356658661724838
29,29,0.02,1200,1,100000.0,1500,,920.44,0.92044,,0.019087525528057085,0.005636120764318897,0.0009100140195736432
30,30,0.02,1200,1,100000.0,1550,,951.0,0.951,,0.020383500952975732,0.005405043980643365,0.0009459138592501808
31,31,0.02,1200,1,100000.0,1600,,971.36,0.97136,,0.02184849691742784,0.005525868687400311,0.0009359087394734061
32,32,0.02,1200,1,100000.0,1650,,984.08,0.98408,,0.022218898972078023,0.00547326566345238,0.000907615893280624
33,33,0.02,1200,1,100000.0,1700,,988.64,0.98864,,0.02317062304211504,0.0059343273672603615,0.0009745086534831496
34,34,0.02,1200,1,100000.0,1750,,1022.6,1.0226,,0.023265415075220515,0.005423886499752114,0.0009434365610199408
35,35,0.02,1200,1,100000.0,1800,,1013.36,1.01336,,0.024829216530315532,0.0056583669384345685,0.0009255065960467368
36,36,0.02,1200,1,100000.0,1850,,1038.84,1.03884,,0.02481075066844824,0.005648005850312233,0.0009345555639143856
37,37,0.02,1200,1,100000.0,1900,,1054.48,1.0544799999999999,,0.028079952937832785,0.005627356059402391,0.0009109661120111985
38,38,0.02,1200,1,100000.0,1950,,1072.2,1.0722,,0.02997595544842625,0.0054907568653009015,0.0009504854148443021
39,39,0.02,1200,1,100000.0,2000,,1079.08,1.07908,,0.0290134317830416,0.005524060258929736,0.0009205682571887096
40,40,0.02,1200,1,100000.0,2050,,1103.08,1.1030799999999998,,0.03143285894291693,0.00545658991682512,0.0009412606217153816
41,41,0.02,1200,1,100000.0,2100,,1100.96,1.10096,,0.03163200801049243,0.00549996022439906,0.0009503614675348615
42,42,0.02,2400,1,100000.0,50,,81.48,0.08147999999999998,,0.0001502294465666409,0.01258516652414687,0.0009161442126501962
43,43,0.02,2400,1,100000.0,100,,148.07999999999998,0.14808,,0.00035775942358498016,0.010080593028038737,0.0009161001204147917
44,44,0.02,2400,1,100000.0,150,,199.36,0.19936,,0.000550352028932366,0.008737255750914118,0.0009206875361798992
