# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	5.676000000000000227e+02	5.675999999999999934e-01	nan	1.179673770739952986e-03	6.604834358585512377e-02	4.327484296968573362e-03
nan	1.070599999999999909e+03	1.070599999999999996e+00	nan	2.747251604276357284e-03	4.605528391758934026e-02	4.483509017886445902e-03
nan	1.382400000000000091e+03	1.382400000000000073e+00	nan	4.092046075192002155e-03	4.510245876058695952e-02	4.228791547752223760e-03
nan	1.633799999999999955e+03	1.633800000000000141e+00	nan	6.212538631370989432e-03	4.099262695717451055e-02	4.721398512765309294e-03
nan	1.863000000000000000e+03	1.862999999999999989e+00	nan	8.374504297529483318e-03	3.565733152979201626e-02	4.612857104165410393e-03
nan	1.997200000000000045e+03	1.997200000000000086e+00	nan	9.825227917622214938e-03	3.707930092742594413e-02	4.638676900764701974e-03
nan	2.221400000000000091e+03	2.221400000000000041e+00	nan	1.323163433313538986e-02	3.488794355642317602e-02	5.139621513174682035e-03
nan	2.386800000000000182e+03	2.386800000000000033e+00	nan	1.441996482457170645e-02	3.379950263664840970e-02	4.656967738811673869e-03
nan	2.520400000000000091e+03	2.520399999999999974e+00	nan	1.844950153998752354e-02	3.366271805112364818e-02	4.332995812764348087e-03
nan	2.677400000000000091e+03	2.677400000000000446e+00	nan	1.995395884079016399e-02	3.334057412224890327e-02	4.561413695271422306e-03
nan	2.825400000000000091e+03	2.825400000000000134e+00	nan	2.324273776355312293e-02	3.224524323850279373e-02	4.609162172079445292e-03
nan	2.946400000000000091e+03	2.946399999999999686e+00	nan	2.631692463414765301e-02	3.074076822242037890e-02	4.581216166072721481e-03
nan	3.053599999999999909e+03	3.053599999999999870e+00	nan	2.760421507664432422e-02	3.061106868298495501e-02	4.670542756238666923e-03
nan	3.158400000000000091e+03	3.158399999999999430e+00	nan	3.244575905409874395e-02	3.032649701502106512e-02	4.436005668266210407e-03
nan	3.294800000000000182e+03	3.294799999999999951e+00	nan	3.456812450381221286e-02	3.020781028717388003e-02	4.524989070146067868e-03
nan	3.462400000000000091e+03	3.462399999999999700e+00	nan	3.966449637764526276e-02	2.969389765692288449e-02	4.419144344287869765e-03
nan	3.492400000000000091e+03	3.492399999999999949e+00	nan	4.245198878093105893e-02	3.009594046235939888e-02	4.735361622662303226e-03
nan	3.631599999999999909e+03	3.631600000000000161e+00	nan	4.733597152667243929e-02	3.041900279534608467e-02	4.738337520408125031e-03
nan	3.686000000000000000e+03	3.686000000000000831e+00	nan	4.723110088687008240e-02	2.853738136349758328e-02	4.621818587922136949e-03
nan	3.827400000000000091e+03	3.827399999999999913e+00	nan	5.529919860018708139e-02	3.010251579699490046e-02	4.268771001064305959e-03
nan	3.895199999999999818e+03	3.895199999999999996e+00	nan	5.723861181481879751e-02	2.944455555401655558e-02	4.672506545133644704e-03
nan	3.988199999999999818e+03	3.988199999999999967e+00	nan	6.375219882047530873e-02	2.841555309658144041e-02	4.672260827154580201e-03
