,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,100000.0,100.0,,0.04995094925336759,0.1506333637851849,0.14521880070538276
1,1,0.02,1200,1,100000.0,150,,100000.0,100.0,,0.1498229593262806,0.09179030370986183,0.08899935786982016
2,2,0.02,1200,1,100000.0,250,,100000.0,100.0,,0.24965903680770224,0.07357379834479989,0.06925977865103533
3,3,0.02,1200,1,100000.0,350,,100000.0,100.0,,0.3495044263569184,0.06779316518260084,0.056284925639528326
4,4,0.02,1200,1,100000.0,450,,100000.0,100.0,,0.42082129237581345,0.062428446465941846,0.05105519613518068
5,5,0.02,1200,1,100000.0,550,,100000.0,100.0,,0.5483519413946851,0.05694258078984576,0.045609503002646365
6,6,0.02,1200,1,100000.0,650,,100000.0,100.0,,0.6492856730076255,0.05470819693820842,0.04067882269755232
7,7,0.02,1200,1,100000.0,750,,100000.0,100.0,,0.7490490603202715,0.05283091572598066,0.03710958037796598
8,8,0.02,1200,1,100000.0,850,,100000.0,100.0,,0.8459764253856974,0.04942744109774697,0.03524252028277488
9,9,0.02,1200,1,100000.0,950,,100000.0,100.0,,0.9483683678586432,0.051030875956647355,0.033221138362290334
10,10,0.02,1200,1,100000.0,1050,,100000.0,100.0,,1.0452694663114015,0.051298820244084005,0.031844851428679266
11,11,0.02,1200,1,100000.0,1150,,100000.0,100.0,,1.1490155296088231,0.05117401002668951,0.029587128125345148
12,12,0.02,1200,1,100000.0,1250,,100000.0,100.0,,1.2474039648397135,0.04662069872833989,0.029137363430196468
13,13,0.02,1200,1,100000.0,1350,,100000.0,100.0,,1.3493009802213691,0.04662341257875215,0.029377205308445925
14,14,0.02,1200,1,100000.0,1450,,100000.0,100.0,,1.4474141287309976,0.04551472447392165,0.028332940863675115
15,15,0.02,1200,1,100000.0,1550,,100000.0,100.0,,1.5489152470727732,0.04701572508101497,0.027653866140736894
16,16,0.02,1200,1,100000.0,1650,,100000.0,100.0,,1.6473019757993823,0.04562112705170944,0.025169724633678548
17,17,0.02,1200,1,100000.0,1750,,100000.0,100.0,,1.7484639380319549,0.045355922885156205,0.024758130050782062
18,18,0.02,1200,1,100000.0,1850,,100000.0,100.0,,1.8455207486573724,0.04406691252731158,0.025527285439742097
19,19,0.02,1200,1,100000.0,1950,,100000.0,100.0,,1.9423041999807535,0.04195547024353394,0.023797883311092536
20,20,0.02,1200,1,100000.0,2050,,100000.0,100.0,,2.046527201634308,0.042295749871459294,0.023145340925552767
21,21,0.02,2400,1,100000.0,50,,100000.0,100.0,,0.04991546975702618,0.14401459432841507,0.14665135542339452
22,22,0.02,2400,1,100000.0,150,,100000.0,100.0,,0.14969554129272067,0.09574795883889468,0.08695416146743484
23,23,0.02,2400,1,100000.0,250,,100000.0,100.0,,0.2496952036142716,0.07260748697336401,0.067991298907827
24,24,0.02,2400,1,100000.0,350,,100000.0,100.0,,0.3494237810447885,0.06799617136960076,0.05482008053598388
25,25,0.02,2400,1,100000.0,450,,100000.0,100.0,,0.4496335712476025,0.06672489830033436,0.05158752106078644
26,26,0.02,2400,1,100000.0,550,,100000.0,100.0,,0.5493036775990049,0.058502610971865,0.04357319877114189
27,27,0.02,2400,1,100000.0,650,,100000.0,100.0,,0.6490540243287342,0.05604757663110308,0.04141647524641143
28,28,0.02,2400,1,100000.0,750,,100000.0,100.0,,0.7492389436382837,0.054719413914908255,0.03900770170611838
29,29,0.02,2400,1,100000.0,850,,100000.0,100.0,,0.848991374105708,0.05167348353293848,0.03707396249633367
30,30,0.02,2400,1,100000.0,950,,100000.0,100.0,,0.9490832899741917,0.049255763094841046,0.03422194966170426
31,31,0.02,2400,1,100000.0,1050,,100000.0,100.0,,1.0443710827560608,0.04900103352300881,0.031076148547275657
32,32,0.02,2400,1,100000.0,1150,,100000.0,100.0,,1.1472232877099486,0.047585405741844645,0.0308840830246468
33,33,0.02,2400,1,100000.0,1250,,100000.0,100.0,,1.2482357422459245,0.0466900945620517,0.03114502107798229
34,34,0.02,2400,1,100000.0,1350,,100000.0,100.0,,1.3481772876407376,0.046825972644177774,0.028727893713392627
35,35,0.02,2400,1,100000.0,1450,,100000.0,100.0,,1.3569187379582206,0.046222997130985335,0.028201372782660612
36,36,0.02,2400,1,100000.0,1550,,100000.0,100.0,,1.5477066774131345,0.04605733166882831,0.027809354537355512
37,37,0.02,2400,1,100000.0,1650,,100000.0,100.0,,1.6471600361931906,0.04470461246428048,0.02690569685798128
38,38,0.02,2400,1,100000.0,1750,,100000.0,100.0,,1.7485557968119338,0.04325365788113772,0.0256079301944317
39,39,0.02,2400,1,100000.0,1850,,100000.0,100.0,,1.8479583969090527,0.04372612553918974,0.025240314265659147
40,40,0.02,2400,1,100000.0,1950,,100000.0,100.0,,1.947607912468084,0.04445376210639927,0.023469624194057088
41,41,0.02,2400,1,100000.0,2050,,100000.0,100.0,,2.0481519166292856,0.04655127171566131,0.023432695568343324
