,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.02,1200,1,100000.0,50,,803.6,0.8036,,0.0014250245530533332,0.07358546457867118,0.00429107391252973
1,1,0.02,1200,1,100000.0,150,,1616.0,1.616,,0.004278179380861502,0.04525498672789467,0.004580751875955544
2,2,0.02,1200,1,100000.0,250,,2101.0,2.101,,0.008325191834455839,0.03406227777162228,0.004708434063079092
3,3,0.02,1200,1,100000.0,350,,2571.8,2.5718000000000005,,0.010741676823874969,0.029560353413500384,0.004744253516636565
4,4,0.02,1200,1,100000.0,450,,2922.0,2.922,,0.015322544902323898,0.02613167915772129,0.004747605494759462
5,5,0.02,1200,1,100000.0,550,,3244.2,3.2442,,0.020117163414738567,0.02436027013305774,0.004813069508459681
6,6,0.02,1200,1,100000.0,650,,3435.6,3.4355999999999995,,0.02375899479427517,0.02297995709570618,0.004838875403016168
7,7,0.02,1200,1,100000.0,750,,3735.8,3.7358,,0.027881729895989336,0.021927543681199167,0.004809412198830632
8,8,0.02,1200,1,100000.0,850,,3941.6,3.9416,,0.03450037174150111,0.02118819386766772,0.0047246748040510045
9,9,0.02,1200,1,100000.0,950,,4168.6,4.1686,,0.03822575597746436,0.021909150607747264,0.004886448186474065
10,10,0.02,1200,1,100000.0,1050,,4374.0,4.3740000000000006,,0.043216581807882896,0.020236077771827753,0.004777861546904073
11,11,0.02,1200,1,100000.0,1150,,4661.2,4.661199999999999,,0.05105299649985682,0.018696675080176008,0.004777915469243456
12,12,0.02,1200,1,100000.0,1250,,4790.4,4.7904,,0.05737982388286582,0.018802538469886783,0.004808166527590263
13,13,0.02,1200,1,100000.0,1350,,5064.4,5.0644,,0.060173135696641115,0.0179705449552438,0.004785015861923691
14,14,0.02,1200,1,100000.0,1450,,5218.2,5.2182,,0.07187112302353853,0.019126151222012513,0.004809324303168978
15,15,0.02,1200,1,100000.0,1550,,5371.8,5.3718,,0.07816566069718646,0.018595981356643688,0.004801949735585872
16,16,0.02,1200,1,100000.0,1650,,5551.4,5.5514,,0.08184844028246516,0.018453983352443994,0.004774337243317624
17,17,0.02,1200,1,100000.0,1750,,5709.6,5.7096,,0.08845249036876339,0.017269180876886496,0.004817654083830072
18,18,0.02,1200,1,100000.0,1850,,5806.6,5.8066,,0.09832650530961472,0.01822031950296972,0.0049013711894598895
19,19,0.02,1200,1,100000.0,1950,,6052.6,6.0526,,0.10402999662733237,0.017144261117900166,0.004835935198775264
20,20,0.02,1200,1,100000.0,2050,,6162.6,6.1626,,0.11487116929038164,0.01733734539426563,0.004827668404429701
21,21,0.02,2400,1,100000.0,50,,552.8,0.5528000000000001,,0.0009597121008795283,0.07022892536879051,0.004275982185405939
22,22,0.02,2400,1,100000.0,150,,1124.2,1.1242,,0.0033397233190783026,0.042841593730147634,0.004632148698450627
23,23,0.02,2400,1,100000.0,250,,1501.0,1.501,,0.00569367009214261,0.032763270363641316,0.004702852794476074
24,24,0.02,2400,1,100000.0,350,,1837.0,1.837,,0.007880275261220504,0.030564956208607795,0.0046934355183377
25,25,0.02,2400,1,100000.0,450,,2030.8,2.0308,,0.010850894834493372,0.02807883033778129,0.004821996500873528
26,26,0.02,2400,1,100000.0,550,,2281.8,2.2818,,0.012987706356102535,0.025600130789075783,0.004768441896838019
27,27,0.02,2400,1,100000.0,650,,2453.8,2.4538,,0.01713140772399129,0.02210355825160729,0.00475537928624805
28,28,0.02,2400,1,100000.0,750,,2598.6,2.5986,,0.018390538038033807,0.02132397927312245,0.00481625061209889
29,29,0.02,2400,1,100000.0,850,,2771.0,2.771,,0.022303995220363505,0.020528316269893265,0.004787390373697252
30,30,0.02,2400,1,100000.0,950,,2991.0,2.991,,0.02771858194810193,0.020952325095317012,0.004765248065198341
31,31,0.02,2400,1,100000.0,1050,,3141.2,3.1412,,0.0325161187962749,0.01928377420034672,0.004795582135622463
32,32,0.02,2400,1,100000.0,1150,,3283.6,3.2836,,0.03301967584638987,0.01895355718553015,0.0047823636614657645
33,33,0.02,2400,1,100000.0,1250,,3399.0,3.3989999999999996,,0.03939543649203188,0.01939842711679501,0.004777279987998548
34,34,0.02,2400,1,100000.0,1350,,3532.8,3.5328000000000004,,0.04521796984208777,0.01796120233453168,0.004841310938852633
35,35,0.02,2400,1,100000.0,1450,,3658.0,3.658,,0.04904533202034145,0.019308985352288643,0.004816438739299397
36,36,0.02,2400,1,100000.0,1550,,3738.0,3.738,,0.052062903712612754,0.017181130762374867,0.00481718883940497
37,37,0.02,2400,1,100000.0,1650,,3903.8,3.9038,,0.059927083186994426,0.01718678974916129,0.004813585159451716
38,38,0.02,2400,1,100000.0,1750,,4005.8,4.0058,,0.06410228586628364,0.017791660983995077,0.004806404048891666
39,39,0.02,2400,1,100000.0,1850,,4066.2,4.0662,,0.06823859436285602,0.016926914179969565,0.004850722776805599
40,40,0.02,2400,1,100000.0,1950,,4279.2,4.2792,,0.0743404045810621,0.01776436279521103,0.004887954695863332
41,41,0.02,2400,1,100000.0,2050,,4353.6,4.3536,,0.08162976083067405,0.017555011997100488,0.004910393872553475
