# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	8.036000000000000227e+02	8.035999999999999810e-01	nan	1.425024553053333377e-03	7.358546457867118362e-02	4.291073912529730014e-03
nan	1.616000000000000000e+03	1.616000000000000103e+00	nan	4.278179380861502068e-03	4.525498672789467214e-02	4.580751875955543437e-03
nan	2.101000000000000000e+03	2.100999999999999979e+00	nan	8.325191834455836909e-03	3.406227777162228187e-02	4.708434063079092353e-03
nan	2.571800000000000182e+03	2.571800000000000530e+00	nan	1.074167682387496860e-02	2.956035341350038426e-02	4.744253516636565485e-03
nan	2.922000000000000000e+03	2.921999999999999709e+00	nan	1.532254490232389833e-02	2.613167915772128883e-02	4.747605494759461926e-03
nan	3.244199999999999818e+03	3.244200000000000195e+00	nan	2.011716341473857028e-02	2.436027013305774175e-02	4.813069508459681158e-03
nan	3.435599999999999909e+03	3.435599999999999543e+00	nan	2.375899479427516850e-02	2.297995709570618134e-02	4.838875403016168475e-03
nan	3.735800000000000182e+03	3.735800000000000232e+00	nan	2.788172989598933921e-02	2.192754368119916725e-02	4.809412198830633270e-03
nan	3.941599999999999909e+03	3.941599999999999770e+00	nan	3.450037174150111241e-02	2.118819386766771645e-02	4.724674804051004484e-03
nan	4.168600000000000364e+03	4.168599999999999639e+00	nan	3.822575597746435960e-02	2.190915060774726447e-02	4.886448186474065189e-03
nan	4.374000000000000000e+03	4.374000000000000554e+00	nan	4.321658180788290338e-02	2.023607777182775264e-02	4.777861546904072811e-03
nan	4.661199999999999818e+03	4.661199999999999122e+00	nan	5.105299649985681892e-02	1.869667508017601107e-02	4.777915469243455490e-03
nan	4.790399999999999636e+03	4.790399999999999991e+00	nan	5.737982388286581859e-02	1.880253846988678285e-02	4.808166527590263147e-03
nan	5.064399999999999636e+03	5.064400000000000013e+00	nan	6.017313569664110851e-02	1.797054495524379875e-02	4.785015861923691376e-03
nan	5.218199999999999818e+03	5.218200000000000394e+00	nan	7.187112302353852733e-02	1.912615122201251003e-02	4.809324303168978007e-03
nan	5.371800000000000182e+03	5.371799999999999464e+00	nan	7.816566069718647314e-02	1.859598135664369128e-02	4.801949735585871529e-03
nan	5.551399999999999636e+03	5.551400000000000112e+00	nan	8.184844028246515690e-02	1.845398335244399432e-02	4.774337243317623887e-03
