,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2.5,0.016,100,1,100000.0,,10000.0,10.0,10.0,0.0099793854587845,0.0491667985404679,0.0107876309684289,,0.1002068647463292,10.02068647463292,,,
1,1,2.5,0.016,150,1,100000.0,,10000.0,10.0,15.0,0.0149848591431609,0.0485807122742815,0.0095710952114864,,0.1001010856493257,10.010108564932576,,,
2,2,2.5,0.016,200,1,100000.0,,10000.0,10.0,20.0,0.0199602752747583,0.0482020808165551,0.0084521533200704,,0.1001995329976993,10.019953299769938,,,
3,3,2.5,0.016,250,1,100000.0,,10000.0,10.0,25.0,0.0249196742844554,0.0483252916707384,0.0074875710968253,,0.100323860717795,10.032386071779506,,,
4,4,2.5,0.016,300,1,100000.0,,10000.0,10.0,30.0,0.0299679419466804,0.0499755847648165,0.0072587673591272,,0.1001070511178853,10.010705111788534,,,
5,5,2.5,0.016,350,1,100000.0,,10000.0,10.0,35.0,0.0349583728909993,0.0474261514096382,0.0067217015391835,,0.1001190992581022,10.011909925810224,,,
6,6,2.5,0.016,400,1,100000.0,,10000.0,10.0,40.0,0.0399272144476981,0.0461579944437401,0.0065273806116115,,0.1001824876722566,10.018248767225666,,,
7,7,2.5,0.016,450,1,100000.0,,10000.0,10.0,45.0,0.0449063149678505,0.0459954776359954,0.0062823644191734,,0.1002091443773472,10.02091443773472,,,
8,8,2.5,0.016,500,1,100000.0,,10000.0,10.0,50.0,0.0483500359873136,0.0478992037719806,0.006206456898063,,0.1048210434468576,10.482104344685762,,,
9,9,2.5,0.016,550,1,100000.0,,10000.0,10.0,55.0,0.0549365047109279,0.0487140020475556,0.0060072673796647,,0.1001156344451299,10.011563444512992,,,
10,10,2.5,0.016,600,1,100000.0,,10000.0,10.0,60.0,0.0597811425475356,0.0489422132542556,0.0058483133123194,,0.1003714501845144,10.037145018451444,,,
11,11,2.5,0.016,650,1,100000.0,,10000.0,10.0,65.0,0.064880005516585,0.0476087131186965,0.0056739226133253,,0.1001851381522077,10.018513815220777,,,
12,12,2.5,0.016,700,1,100000.0,,10000.0,10.0,70.0,0.0698277262741112,0.0459377746287947,0.005747857831799,,0.1002491533810598,10.02491533810598,,,
13,13,2.5,0.016,750,1,100000.0,,10000.0,10.0,75.0,0.0749104748483864,0.0489775026633884,0.0052561068662763,,0.1001195832168959,10.011958321689594,,,
14,14,2.5,0.016,800,1,100000.0,,10000.0,10.0,80.0,0.07975454553762,0.0469062863452859,0.0053631510690834,,0.1003082027573031,10.030820275730315,,,
15,15,2.5,0.016,850,1,100000.0,,10000.0,10.0,85.0,0.0846856080174961,0.0480545198869488,0.0050377347819788,,0.1003743010795655,10.037430107956558,,,
16,16,2.5,0.016,900,1,100000.0,,10000.0,10.0,90.0,0.0898581096293173,0.0461811190165712,0.0052718693153994,,0.1001582366413375,10.015823664133752,,,
17,17,2.5,0.016,950,1,100000.0,,10000.0,10.0,95.0,0.0944586336604697,0.0476530484461128,0.0050860912334606,,0.1005840128608196,10.058401286081962,,,
18,18,2.5,0.016,1000,1,100000.0,,10000.0,10.0,100.0,0.0998713373672467,0.0485893615832811,0.0051095297265002,,0.1001289077182858,10.012890771828586,,,
19,19,2.5,0.016,1050,1,100000.0,,10000.0,10.0,105.0,0.1048311421897824,0.0475417565052409,0.0050882146906242,,0.1001611401186143,10.01611401186143,,,
20,20,2.5,0.016,1100,1,100000.0,,10000.0,10.0,110.0,0.1062744388050602,0.047339960482024,0.0049214260033891,,0.1049088664694384,10.49088664694384,,,
21,21,2.5,0.016,1150,1,100000.0,,10000.0,10.0,115.0,0.114808665031237,0.0468459494551731,0.0049875010369708,,0.1001670269880048,10.01670269880049,,,
22,22,2.5,0.016,1200,1,100000.0,,10000.0,10.0,120.0,0.1191501791963241,0.0473415486098587,0.0049688072009534,,0.1007294001043795,10.072940010437954,,,
23,23,2.5,0.016,1250,1,100000.0,,10000.0,10.0,125.0,0.1247421573054703,0.0464692682425519,0.004864377387967,,0.1002075786375723,10.02075786375723,,,
24,24,2.5,0.016,1300,1,100000.0,,10000.0,10.0,130.0,0.1298936176446364,0.0459310486809651,0.0049554867157665,,0.1000819314215744,10.008193142157449,,,
25,25,2.5,0.016,1350,1,100000.0,,10000.0,10.0,135.0,0.1347250640833158,0.0459481472406908,0.0047587512675692,,0.1002042413408385,10.020424134083855,,,
26,26,2.5,0.016,1400,1,100000.0,,10000.0,10.0,140.0,0.1398386832394703,0.0474152951767312,0.0047576936247784,,0.1001154139918621,10.011541399186212,,,
27,27,2.5,0.016,1450,1,100000.0,,10000.0,10.0,145.0,0.1445568044554397,0.0468734854891832,0.0047654115106797,,0.1003080290651824,10.030802906518248,,,
28,28,2.5,0.016,1500,1,100000.0,,10000.0,10.0,150.0,0.1497627840952032,0.0470215074315106,0.0049712699050773,,0.1001586958387587,10.015869583875864,,,
