,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2.5,0.016,100,1,100000.0,,100000.0,100.0,100.0,0.0998578801331361,0.1106940517563777,0.10541185547612,,1.0014247905301334,100.14247905301336,,,
1,1,2.5,0.016,150,1,100000.0,,100000.0,100.0,150.0,0.1489148969166194,0.0903700373205604,0.0856052188831949,,1.0074170090849055,100.74170090849056,,,
2,2,2.5,0.016,200,1,100000.0,,100000.0,100.0,200.0,0.1996774743738768,0.0810279423484001,0.0745419911066606,,1.001617376586066,100.1617376586066,,,
3,3,2.5,0.016,250,1,100000.0,,100000.0,100.0,250.0,0.2496871399741081,0.0746530692791097,0.0653555261338195,,1.0012542327991547,100.12542327991548,,,
4,4,2.5,0.016,300,1,100000.0,,100000.0,100.0,300.0,0.2997197785373316,0.0673039455814499,0.0607153687614605,,1.0009352601953476,100.09352601953478,,,
5,5,2.5,0.016,350,1,100000.0,,100000.0,100.0,350.0,0.3495874353453643,0.0652442923127738,0.0561707310433853,,1.0011804561855313,100.11804561855313,,,
6,6,2.5,0.016,400,1,100000.0,,100000.0,100.0,400.0,0.3987793878711897,0.0625730842091476,0.0509093952015905,,1.003076176521849,100.3076176521849,,,
7,7,2.5,0.016,450,1,100000.0,,100000.0,100.0,450.0,0.4351137097799372,0.0582088635936347,0.0503281077003051,,1.0479228729582948,104.79228729582948,,,
8,8,2.5,0.016,500,1,100000.0,,100000.0,100.0,500.0,0.4990215088507,0.0612009914635994,0.0473172004757715,,1.0019632160062293,100.19632160062297,,,
9,9,2.5,0.016,550,1,100000.0,,100000.0,100.0,550.0,0.5451657752511891,0.0573180703974594,0.0446578418421111,,1.0092728329615208,100.92728329615208,,,
10,10,2.5,0.016,600,1,100000.0,,100000.0,100.0,600.0,0.5991914863403736,0.0547372021737604,0.0423789374734644,,1.001350486266507,100.1350486266507,,,
11,11,2.5,0.016,650,1,100000.0,,100000.0,100.0,650.0,0.6494262756405647,0.0549562495922468,0.0400461823105496,,1.0008838356025214,100.08838356025214,,,
12,12,2.5,0.016,700,1,100000.0,,100000.0,100.0,700.0,0.6981113827614536,0.0536218698436178,0.0400812555841113,,1.002713094156183,100.2713094156183,,,
13,13,2.5,0.016,750,1,100000.0,,100000.0,100.0,750.0,0.7472188009930505,0.0522124740859609,0.0391384125350471,,1.0037395371625693,100.37395371625688,,,
14,14,2.5,0.016,800,1,100000.0,,100000.0,100.0,800.0,0.7992085150525895,0.051341046753253,0.0382730840394029,,1.0009915380713148,100.09915380713149,,,
15,15,2.5,0.016,850,1,100000.0,,100000.0,100.0,850.0,0.8478152899511542,0.0503879944968381,0.0364067446436888,,1.0025814032858773,100.25814032858771,,,
16,16,2.5,0.016,900,1,100000.0,,100000.0,100.0,900.0,0.8979681548866779,0.0498478055875933,0.03461852005116,,1.0022670157134494,100.22670157134496,,,
17,17,2.5,0.016,950,1,100000.0,,100000.0,100.0,950.0,0.9486246866515672,0.0492398690873516,0.0329460678019447,,1.0014510687505995,100.14510687505997,,,
18,18,2.5,0.016,1000,1,100000.0,,100000.0,100.0,1000.0,0.9967243791236684,0.0489205960572038,0.0334357952329252,,1.003317637439099,100.33176374390992,,,
19,19,2.5,0.016,1050,1,100000.0,,100000.0,100.0,1050.0,1.0487098537810424,0.0468976093196269,0.0330563570773915,,1.0012305724159916,100.12305724159911,,,
20,20,2.5,0.016,1100,1,100000.0,,100000.0,100.0,1100.0,1.0943685938812906,0.0477487050863295,0.0319435724946995,,1.005252022714728,100.5252022714728,,,
21,21,2.5,0.016,1150,1,100000.0,,100000.0,100.0,1150.0,1.1477258985175012,0.0491861488890342,0.0318148499619359,,1.001989965459782,100.1989965459782,,,
22,22,2.5,0.016,1200,1,100000.0,,100000.0,100.0,1200.0,1.1972289356022656,0.0458261535080371,0.0307198386542278,,1.002323428059552,100.2323428059552,,,
23,23,2.5,0.016,1250,1,100000.0,,100000.0,100.0,1250.0,1.247811262056348,0.0461047280113198,0.0303606361717566,,1.0017571712019862,100.17571712019864,,,
24,24,2.5,0.016,1300,1,100000.0,,100000.0,100.0,1300.0,1.2968120995542904,0.0465672816228511,0.0297330474800164,,1.0024632893810246,100.24632893810244,,,
25,25,2.5,0.016,1350,1,100000.0,,100000.0,100.0,1350.0,1.3051097024581817,0.0453912233143527,0.028597419754867,,1.0483659201490518,104.83659201490518,,,
26,26,2.5,0.016,1400,1,100000.0,,100000.0,100.0,1400.0,1.3969262623255645,0.0454167712512835,0.0274788761237284,,1.002205919773984,100.2205919773984,,,
27,27,2.5,0.016,1450,1,100000.0,,100000.0,100.0,1450.0,1.4468660716416024,0.0456322502866328,0.0275884421071704,,1.002169534266157,100.21695342661572,,,
28,28,2.5,0.016,1500,1,100000.0,,100000.0,100.0,1500.0,1.4977000385086512,0.0436226703631558,0.0286023458329993,,1.0015374283865248,100.15374283865248,,,
29,29,2.5,0.016,1550,1,100000.0,,100000.0,100.0,1550.0,1.5476506555309015,0.0438671142426104,0.0260061743327799,,1.0015190752534893,100.15190752534892,,,
30,30,2.5,0.016,1600,1,100000.0,,100000.0,100.0,1600.0,1.5969615556152348,0.0430452659253778,0.0254205333657822,,1.0019037671781654,100.19037671781656,,,
31,31,2.5,0.016,1650,1,100000.0,,100000.0,100.0,1650.0,1.645987532879826,0.0437995530558272,0.0259179375920045,,1.0024421665875356,100.24421665875354,,,
32,32,2.5,0.016,1700,1,100000.0,,100000.0,100.0,1700.0,1.6986358398418815,0.0435296184483914,0.0267429545559761,,1.0008033061123154,100.08033061123156,,,
33,33,2.5,0.016,1750,1,100000.0,,100000.0,100.0,1750.0,1.7434588075741655,0.0428420974728462,0.0258698794126338,,1.00378546400627,100.37854640062702,,,
34,34,2.5,0.016,1800,1,100000.0,,100000.0,100.0,1800.0,1.7972794484163388,0.0459441893369754,0.0252579767730269,,1.001514572543007,100.1514572543007,,,
35,35,2.5,0.016,1850,1,100000.0,,100000.0,100.0,1850.0,1.8453825826422643,0.042830714293215,0.0254761333494157,,1.0025106534139678,100.25106534139678,,,
36,36,2.5,0.016,1900,1,100000.0,,100000.0,100.0,1900.0,1.8976270740483645,0.0434550392250321,0.0244892144606087,,1.0012507968299658,100.1250796829966,,,
