,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2.5,0.016,100,1,100000.0,,615.8,0.6157999999999999,100.0,0.0021992207484416,0.0642659529888196,0.0034750155606173,,46.421717589490456,28.53221739280831,,,
1,1,2.5,0.016,150,1,100000.0,,564.5,0.5645,150.0,0.0034633254242037,0.0529443414661466,0.0034993240867727,,44.645977657046565,25.328606507127127,,,
2,2,2.5,0.016,200,1,100000.0,,355.0,0.355,200.0,0.0046300199598959,0.0421330341362698,0.0034494990688382,,45.12243693726024,15.901196820223849,,,
3,3,2.5,0.016,250,1,100000.0,,355.3,0.3553,250.0,0.0058063221474668,0.0392827950116573,0.0034745882846042,,44.2348312514401,15.794048575340994,,,
4,4,2.5,0.016,300,1,100000.0,,379.5,0.3795,300.0,0.0077340338540067,0.0346038065236671,0.0034029335590569,,40.34664379997683,15.23621857099262,,,
5,5,2.5,0.016,350,1,100000.0,,402.2,0.4021999999999999,350.0,0.0081191692741924,0.037939370229585,0.0034160748358438,,45.82718906192093,18.380924139085103,,,
6,6,2.5,0.016,400,1,100000.0,,451.1,0.4511,400.0,0.0101007476286724,0.0309403485955722,0.0034606453892842,,40.75082220829161,18.36770245654685,,,
7,7,2.5,0.016,450,1,100000.0,,497.9,0.4979,450.0,0.010832173569895,0.0300386735726772,0.0034189912318292,,42.05955991684729,20.987049262027877,,,
8,8,2.5,0.016,500,1,100000.0,,534.2,0.5342,500.0,0.0124587171952157,0.0322619462351013,0.0035733401183566,,40.59827266445005,21.76255216252689,,,
9,9,2.5,0.016,550,1,100000.0,,540.5,0.5405,550.0,0.0149952329640995,0.0296114384098183,0.003427478068092,,37.05113118742742,20.02603123659288,,,
10,10,2.5,0.016,600,1,100000.0,,588.5,0.5885,600.0,0.0162307253520679,0.0303425676251002,0.0034882397282575,,37.7267545403327,22.24147898739204,,,
