# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.200000000000000000e+01	1.199999999999999956e-01	nan	1.859940429858022905e-03	2.267696716602786433e-02	3.070403727859470806e-03
nan	5.000000000000000000e+00	5.000000000000000278e-02	nan	1.430609671739410844e-03	2.610368971178193831e-02	3.503164294927878144e-03
nan	2.500000000000000000e+00	2.500000000000000139e-02	nan	4.982510527724903597e-03	1.927788823873657215e-02	2.398603374893568032e-03
nan	3.500000000000000000e+00	3.500000000000000333e-02	nan	3.469510392694214688e-03	1.412017121497634309e-02	3.307856654097901354e-03
nan	2.500000000000000000e+00	2.500000000000000139e-02	nan	2.880080509451527545e-03	1.743088077837362526e-02	2.938546837758440958e-03
nan	5.500000000000000000e+00	5.499999999999999334e-02	nan	6.969657562512632590e-03	2.269571455342373270e-02	3.496821356437221535e-03
nan	6.000000000000000000e+00	5.999999999999999778e-02	nan	7.330712674870443896e-03	2.747371827297968860e-02	3.214397376203321881e-03
nan	7.500000000000000000e+00	7.500000000000001110e-02	nan	9.152864111455643464e-03	3.335562154427254566e-02	3.135101959401706898e-03
nan	5.000000000000000000e+00	5.000000000000000278e-02	nan	1.081988733830299698e-02	1.907926617311242468e-02	2.011388667009104871e-03
nan	5.000000000000000000e+00	4.999999999999999584e-02	nan	1.344305684750234792e-02	2.836559102475741390e-02	3.682168678178027611e-03
nan	6.500000000000000000e+00	6.500000000000000222e-02	nan	1.594468514448947258e-02	2.421780367038726955e-02	2.726402792229016929e-03
nan	9.000000000000000000e+00	8.999999999999999667e-02	nan	1.669936396964575090e-02	2.576087579857699872e-02	2.450383507503216089e-03
nan	8.000000000000000000e+00	8.000000000000000167e-02	nan	2.449944384022232843e-02	3.127485313538192618e-02	3.688224537308907799e-03
nan	1.100000000000000000e+01	1.100000000000000006e-01	nan	1.867625704708875123e-02	2.844247507125500021e-02	3.589946217144254076e-03
nan	1.150000000000000000e+01	1.149999999999999911e-01	nan	1.979051773109860579e-02	3.025086853495191630e-02	2.553525806457124236e-03
nan	1.000000000000000000e+01	1.000000000000000056e-01	nan	2.662681750590758026e-02	2.809481373240244745e-02	3.188012528101274133e-03
nan	1.100000000000000000e+01	1.099999999999999867e-01	nan	2.148832725598154997e-02	2.537130508983186788e-02	2.882658209691068077e-03
nan	1.300000000000000000e+01	1.300000000000000044e-01	nan	2.405179430637088486e-02	2.751858395651191752e-02	3.520717880429647187e-03
nan	9.000000000000000000e+00	8.999999999999999667e-02	nan	3.516827769873226428e-02	2.275095905384186268e-02	2.984051760920721115e-03
nan	1.050000000000000000e+01	1.050000000000000100e-01	nan	3.672997898050442411e-02	2.471927587542720184e-02	3.046630060681153503e-03
nan	1.150000000000000000e+01	1.149999999999999911e-01	nan	3.557585246624467290e-02	2.574173006267328756e-02	3.258280395813383055e-03
