# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.965895936702224844e-02	2.428344374983419929e-01	5.790883823364990218e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.439001717487059295e-02	2.149989995899764805e-01	4.854014819655235596e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	9.904418029015715774e-02	2.299648931390966267e-01	4.504486375661778674e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.240854071409529524e-01	2.228114170099931013e-01	3.932523090116107900e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.475787474374925523e-01	1.983111708445113308e-01	3.617764384225610058e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.747018584466673019e-01	2.274642432485723953e-01	3.173560533049925303e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.973775331379954423e-01	2.141580380806454298e-01	3.273699206623752883e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.230182769931019493e-01	2.349520065975108651e-01	3.446424455871219261e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.434225421272202539e-01	2.325552250260148890e-01	3.388165568748442019e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.706621622817237949e-01	2.186653829532818061e-01	2.713523692729998341e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.966987118304871274e-01	2.378889801348568200e-01	2.768267896748374812e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.233008336282523487e-01	2.294212311200498067e-01	2.861686648430966651e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.468914854631179878e-01	2.313830643973732726e-01	2.985342093245781786e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.740601489618882169e-01	2.162891934529647675e-01	2.767125126966590160e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.934026913929926650e-01	2.364789092366272605e-01	2.637710837379465129e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.213780680532863698e-01	2.158555913051963815e-01	2.618250360852823061e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.453617914219876184e-01	2.370507013663272211e-01	2.572592268700984314e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.703780402210782086e-01	2.140489833546065923e-01	2.630232602422835630e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.992498943617533769e-01	2.417488336808554517e-01	2.475879292781085414e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.166688089360604863e-01	2.265668488918153867e-01	2.584312720125200857e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.471336478715329577e-01	2.371072400241021616e-01	2.703129244258093908e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.724572948418540363e-01	2.278195232944977278e-01	2.394429642963988650e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.963554809708284665e-01	2.232722335535374247e-01	2.581108680652523940e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.068746824241202376e-01	2.275948152129770863e-01	2.491373040613815981e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.429522404166050364e-01	2.046559787963573296e-01	2.474630933655170423e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.644994741866980803e-01	2.236409922167688635e-01	2.524417688321713496e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.778120069308215534e-01	2.529853862210502125e-01	2.557775541785116055e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.145555376932293257e-01	2.136932000661140307e-01	2.413162103731025451e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.427524327077321686e-01	2.303205471794140813e-01	2.488671971669322719e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.730474221242502608e-01	2.408179572309105676e-01	2.328400131528175418e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.920070284354778778e-01	2.250769208017264211e-01	2.533129612009333426e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	8.118660334935157152e-01	2.288759987546544195e-01	2.258959113114196449e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	8.429271702487994844e-01	2.089898020169166648e-01	2.404142862736515646e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	8.721295925529375381e-01	2.248953428113195652e-01	2.478668359225479761e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	8.963562104778475259e-01	2.206674582447576416e-01	2.312851514070601508e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	9.178508775696059274e-01	2.190977701127371224e-01	2.437374060292251884e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	9.363892771742143850e-01	2.176547557187854809e-01	2.244666673086248565e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	9.696431430395477946e-01	2.248961227642750083e-01	2.319775450155320620e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	9.839216012948668322e-01	2.315038483450475582e-01	2.261202885055033085e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.951727058209698384e-02	2.193012619463339807e-01	5.947389577831199703e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.424339605351804039e-02	2.319361942092463547e-01	4.755851345566584898e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	9.961424626172288299e-02	2.336909032846770373e-01	3.972100804865766333e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.224390917553961344e-01	2.334477194581018322e-01	3.997880305592135114e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.488533092132797719e-01	2.162607927261457896e-01	3.583528675340707376e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.742483570043305008e-01	2.255979664607062896e-01	3.536162751170127821e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.972263859737495295e-01	2.351634752610339829e-01	3.331282532418149145e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.238137949205025734e-01	2.394909979481320561e-01	3.164065849589540319e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.493924724543461480e-01	2.201783098058177346e-01	3.073515684103450205e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.735583415929454532e-01	2.202345321404855782e-01	3.096710138822470620e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.968027431769542090e-01	2.302539937306461171e-01	2.917823285947390710e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.243240215645926128e-01	2.325725571129468316e-01	2.650796345339948012e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.476455396576625390e-01	2.305641985641904146e-01	2.778873590200463262e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.719026309840671729e-01	2.333452358441800434e-01	2.853209806790229369e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.945732857607708866e-01	2.400987918234077090e-01	2.792474277527459692e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.214130741606822994e-01	2.215637970906758625e-01	2.493575462986316604e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.466592767449810708e-01	2.280922100323186652e-01	2.731989099819057826e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.733574906263982029e-01	2.191959521375039799e-01	2.584587980614413971e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.976318438286568835e-01	2.283993165806772474e-01	2.593690432855724065e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.151814267663894498e-01	2.317707115684154995e-01	2.634625405096232414e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.039885960793526465e-01	2.309377471621275046e-01	2.555426079417057530e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.717979020262760059e-01	2.233898751875856847e-01	2.422020564979369961e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.917349156396198850e-01	2.260631124033685158e-01	2.611775366968652548e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.212050898496954687e-01	2.121769415965729655e-01	2.458611592124346212e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.428027623803700408e-01	2.336086859846043806e-01	2.509348880282096655e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.707190572515173699e-01	2.232181782579693574e-01	2.335288074661162616e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.982031027699804326e-01	2.216068528657631764e-01	2.522092799769441729e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.226589395927476289e-01	2.079081156115896167e-01	2.294291415662017691e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.457292126626384743e-01	2.202655106092763215e-01	2.423092343248867825e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.499483317044450814e-01	2.290140874433157503e-01	2.375140520583336051e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.923484285655035819e-01	2.368835667303556269e-01	2.488800703658508237e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	8.191058760625082869e-01	2.304203309514995524e-01	2.245686909218016017e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	8.465737638996984060e-01	2.317136344054298580e-01	2.289254858561248079e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	8.698349519563635113e-01	2.285797068330499837e-01	2.318594966694098591e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	8.951526826024291950e-01	2.216053302540285652e-01	2.272076108303008879e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	9.182054405241046879e-01	2.270971056399093690e-01	2.410673776410464722e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	9.453325277808630744e-01	2.192551508447085351e-01	2.267050743391327977e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	9.668085572620839230e-01	2.251585290952880791e-01	2.339730807233417892e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	9.829772357246042702e-01	2.342519963023610152e-01	2.139672305449975831e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.980124129272667233e-02	2.166340316598145965e-01	5.496153087998432302e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.445756223922472827e-02	2.284296981183690511e-01	4.311416492446612514e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	9.943476661140948636e-02	2.297698125936764590e-01	3.959129091716373505e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.234557477878226450e-01	2.165627222940560426e-01	3.997457558882746426e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.487600593011961791e-01	2.240769374461740737e-01	3.686665342653035887e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.727807045818678944e-01	2.332182255226899203e-01	3.434070125962151304e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	1.973189845993346125e-01	2.465605324086444783e-01	3.421174911890845910e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.231776287896565236e-01	2.203624213713280544e-01	3.153019789479682283e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.495705372263614663e-01	2.239372539547999919e-01	2.948117097141093185e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.739888988805603276e-01	2.228444498339056945e-01	2.902202440301768563e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	2.971222070049748254e-01	2.333097246064682051e-01	2.932000953500012858e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.216081494440459210e-01	2.127097265972652251e-01	2.691875299232693308e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.427082203638178726e-01	2.238394225949579264e-01	2.810167723415488844e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.673069714297696464e-01	2.252497680944707814e-01	2.842371513068469441e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	3.905400632094711000e-01	2.209733331925426703e-01	2.593193221993305222e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.198486803354626318e-01	2.259386715562782810e-01	2.471151613211915871e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.468899466362472594e-01	2.287707868000846967e-01	2.539182988613600256e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.730287702039106534e-01	2.261302853685709935e-01	2.680574760681166471e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	4.977053585017756632e-01	2.247718907890795537e-01	2.477068274477383508e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.225405206314235329e-01	2.148053211305873123e-01	2.557981152302846173e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.430125793038769189e-01	2.196959147045182414e-01	2.437462113578601347e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.670358829784731824e-01	2.115066407612516408e-01	2.660013814916234454e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	5.971961245932675411e-01	2.104944062996958465e-01	2.541603230728459173e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.203692853044913136e-01	2.150420501480174995e-01	2.163996744122056309e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.400170370856130830e-01	2.350007191699493014e-01	2.289503520242838069e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.716111459959392960e-01	2.328467568154556355e-01	2.448247070734549044e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	6.968458919944282570e-01	2.227216512407336757e-01	2.313393496432325502e-02
nan	5.000000000000000000e+03	5.000000000000000000e+01	nan	7.130729894056457852e-01	2.166150310072140206e-01	2.211340507688536877e-02
