# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	7.250000000000000000e+00	7.249999999999999500e-02	nan	2.167419975579920523e-03	1.451008592103201350e-02	1.622672826312907121e-03
nan	7.250000000000000000e+00	7.250000000000000888e-02	nan	3.573733693424040788e-03	1.793507257462239116e-02	1.621304300276833841e-03
nan	2.000000000000000000e+00	2.000000000000000042e-02	nan	2.477427533353032240e-03	1.600325711967885006e-02	1.514794407722697481e-03
nan	nan	nan	nan	nan	nan	nan
nan	4.500000000000000000e+00	4.499999999999999833e-02	nan	8.263356359056209591e-03	1.398285088520853300e-02	1.694154038926590482e-03
nan	4.250000000000000000e+00	4.249999999999999611e-02	nan	9.923460897003933204e-03	1.503463013929174849e-02	1.200266671590775359e-03
nan	4.000000000000000000e+00	4.000000000000000083e-02	nan	1.009242912231009953e-02	1.609120938458719757e-02	1.214214372716408870e-03
nan	5.500000000000000000e+00	5.500000000000000028e-02	nan	1.328691240027863284e-02	1.560728007276770621e-02	1.454411070189415983e-03
nan	5.250000000000000000e+00	5.249999999999999806e-02	nan	1.288298791261634560e-02	1.856158607909808717e-02	1.370566574305326748e-03
nan	5.500000000000000000e+00	5.500000000000000028e-02	nan	1.536182741355316891e-02	1.622307471874968182e-02	1.605594802229987853e-03
nan	6.000000000000000000e+00	5.999999999999999778e-02	nan	1.712362854473700735e-02	1.335293471630703659e-02	1.678377935392269494e-03
nan	4.500000000000000000e+00	4.499999999999999833e-02	nan	1.415779898734339029e-02	1.301473641976039729e-02	1.276033169730590895e-03
nan	5.750000000000000000e+00	5.749999999999999556e-02	nan	1.537724482967070885e-02	1.273474685266007267e-02	1.661243716522687501e-03
nan	8.500000000000000000e+00	8.499999999999999223e-02	nan	1.829281231142852043e-02	1.770540123023066348e-02	1.498328262005826699e-03
nan	1.100000000000000000e+01	1.100000000000000006e-01	nan	2.440808784433887851e-02	1.565633826221123417e-02	1.878777437349960378e-03
nan	8.000000000000000000e+00	8.000000000000000167e-02	nan	1.987575895450261268e-02	1.520618162793608598e-02	1.391724923842540661e-03
nan	1.025000000000000000e+01	1.025000000000000078e-01	nan	3.378079719713278362e-02	1.531913130954043467e-02	1.497981451240606738e-03
nan	8.000000000000000000e+00	8.000000000000000167e-02	nan	2.997861943254809952e-02	7.347175675124146751e-03	1.666687668260802627e-03
nan	6.750000000000000000e+00	6.750000000000000444e-02	nan	2.921179990914646307e-02	1.371035557833548413e-02	1.476859906902057212e-03
nan	9.000000000000000000e+00	8.999999999999999667e-02	nan	4.110396402622749912e-02	1.597164674250641653e-02	1.773221707384524826e-03
nan	1.025000000000000000e+01	1.025000000000000078e-01	nan	3.736830827266324206e-02	1.697442082962265925e-02	1.711707216708037394e-03
nan	1.075000000000000000e+01	1.074999999999999845e-01	nan	3.925079851558525845e-02	1.513718807152760956e-02	1.682829824788277442e-03
nan	1.000000000000000000e+01	1.000000000000000056e-01	nan	4.081848317948232052e-02	1.476436142356720230e-02	1.486888783523692553e-03
nan	9.750000000000000000e+00	9.750000000000000333e-02	nan	3.530848980286763195e-02	1.620513646249487766e-02	1.417617880786665747e-03
nan	8.000000000000000000e+00	8.000000000000000167e-02	nan	4.391478823543704113e-02	1.454137467057227059e-02	1.413029384511761948e-03
nan	7.000000000000000000e+00	7.000000000000000666e-02	nan	5.188533447930164522e-02	1.574049545098914898e-02	1.571241623626749547e-03
nan	7.500000000000000000e+00	7.499999999999999722e-02	nan	4.784942579931487222e-02	1.404012465541183349e-02	1.520581479982842116e-03
nan	6.250000000000000000e+00	6.250000000000000000e-02	nan	4.574850368571682646e-02	1.498895928838210947e-02	1.923833427050001491e-03
nan	7.000000000000000000e+00	6.999999999999999278e-02	nan	6.673262412098751595e-02	1.002114800466216878e-02	1.910533345587676814e-03
nan	5.250000000000000000e+00	5.249999999999999806e-02	nan	6.827078461906886664e-02	1.201623370843570016e-02	1.541401713768445359e-03
nan	5.250000000000000000e+00	5.250000000000000500e-02	nan	7.401542669229113636e-02	1.710044390728724523e-02	1.373788558230771856e-03
nan	3.000000000000000000e+00	2.999999999999999889e-02	nan	8.576591496469052056e-02	1.071073411640285217e-02	1.477544907076534233e-03
nan	2.750000000000000000e+00	2.749999999999999667e-02	nan	4.915708806190741131e-02	1.115570580837820999e-02	1.823349750834994155e-03
nan	2.750000000000000000e+00	2.749999999999999667e-02	nan	3.256452195707502245e-02	1.797146104653542242e-02	1.500205660431194006e-03
nan	3.500000000000000000e+00	3.500000000000000333e-02	nan	7.303782642371203782e-02	1.415163308400514686e-02	1.560343374529447446e-03
nan	3.750000000000000000e+00	3.749999999999999861e-02	nan	7.780679098235512847e-02	1.384776635149978855e-02	1.528025011507749093e-03
nan	1.000000000000000000e+00	1.000000000000000021e-02	nan	4.614817624090447601e-02	6.901593795563542265e-03	7.973564505949809651e-04
nan	1.500000000000000000e+00	1.499999999999999944e-02	nan	2.510043826394708910e-02	7.120951365256570145e-03	3.549444371698774422e-04
nan	1.500000000000000000e+00	1.499999999999999944e-02	nan	4.599978166039694200e-02	1.742728584404468553e-02	1.550159260440654892e-03
nan	5.750000000000000000e+00	5.749999999999999556e-02	nan	2.207593256517770448e-03	3.431299235904627931e-02	1.791220517758861010e-03
nan	7.250000000000000000e+00	7.249999999999999500e-02	nan	2.811728222728468798e-03	2.181075851548434225e-02	1.552954355162886133e-03
nan	1.500000000000000000e+00	1.499999999999999944e-02	nan	3.787534776693074826e-03	1.361532863669287843e-02	2.097627326644158682e-03
nan	3.000000000000000000e+00	2.999999999999999889e-02	nan	3.852266694583469757e-03	1.107514000404891640e-02	1.897043953871777738e-03
nan	3.500000000000000000e+00	3.500000000000000333e-02	nan	8.595528983757112079e-03	1.051660581915736005e-02	1.783730856774991096e-03
nan	3.500000000000000000e+00	3.500000000000000333e-02	nan	5.197400114246979522e-03	1.625941273203635601e-02	1.774421931248621820e-03
nan	4.250000000000000000e+00	4.249999999999999611e-02	nan	1.045381950718924681e-02	1.563532537555102631e-02	1.617648226969667412e-03
nan	4.000000000000000000e+00	4.000000000000000083e-02	nan	6.213935820430937888e-03	1.687063423559127806e-02	1.952101557228062877e-03
nan	4.250000000000000000e+00	4.249999999999999611e-02	nan	1.185708504326867668e-02	1.665139372594219222e-02	1.567763065246226620e-03
nan	6.250000000000000000e+00	6.250000000000000000e-02	nan	1.064035552130380979e-02	1.164522696873388635e-02	1.655832151727234386e-03
nan	6.500000000000000000e+00	6.500000000000000222e-02	nan	1.624928716566959724e-02	1.075696705267282539e-02	1.565972979330882559e-03
nan	4.750000000000000000e+00	4.750000000000000056e-02	nan	1.788726101783910324e-02	1.609985879143328164e-02	1.501195574602326313e-03
nan	5.000000000000000000e+00	5.000000000000000278e-02	nan	1.829620128096874979e-02	1.558590728754853313e-02	1.507697742326847678e-03
nan	7.500000000000000000e+00	7.499999999999999722e-02	nan	2.257171053526423055e-02	1.430534852734533305e-02	1.656838593444289473e-03
nan	7.250000000000000000e+00	7.249999999999999500e-02	nan	2.268937173078085234e-02	1.361203671509499287e-02	1.822550736512667949e-03
nan	1.025000000000000000e+01	1.024999999999999939e-01	nan	2.505988146802505881e-02	1.417794129470450679e-02	1.683037970238122558e-03
nan	7.000000000000000000e+00	7.000000000000000666e-02	nan	2.361846415949491601e-02	1.989089678446127191e-02	1.522112477003270594e-03
nan	6.750000000000000000e+00	6.750000000000000444e-02	nan	2.438206174858324748e-02	1.610879760077177023e-02	1.170748711569143986e-03
nan	9.500000000000000000e+00	9.500000000000000111e-02	nan	3.075548683839632313e-02	1.340628847194085330e-02	1.358736016193676536e-03
nan	9.750000000000000000e+00	9.750000000000000333e-02	nan	3.740562335553007656e-02	1.421332403367318170e-02	1.649074394249956839e-03
nan	9.250000000000000000e+00	9.249999999999999889e-02	nan	4.103642492851357348e-02	1.538632849197977409e-02	1.541687867947689333e-03
nan	7.500000000000000000e+00	7.499999999999999722e-02	nan	3.471522517943306102e-02	1.602003800171047238e-02	1.766573793119390924e-03
nan	8.500000000000000000e+00	8.499999999999999223e-02	nan	3.414290228878722605e-02	1.526475904655065149e-02	1.801156947649154832e-03
nan	9.000000000000000000e+00	8.999999999999999667e-02	nan	4.014039635343852330e-02	1.481865263840486009e-02	1.493450733382647262e-03
nan	7.500000000000000000e+00	7.499999999999999722e-02	nan	4.837277666352471361e-02	1.264740284582379498e-02	1.555323731165476637e-03
nan	7.750000000000000000e+00	7.749999999999999944e-02	nan	5.687590546597931507e-02	1.490836983548930392e-02	1.487267435172702794e-03
nan	7.500000000000000000e+00	7.499999999999999722e-02	nan	5.907359963925443158e-02	1.317341778024125158e-02	1.479964910551882003e-03
nan	7.000000000000000000e+00	7.000000000000000666e-02	nan	4.868265379913722102e-02	1.478854905921966716e-02	1.887529268972124074e-03
nan	5.000000000000000000e+00	5.000000000000000278e-02	nan	4.925047106498930266e-02	1.305564739887862466e-02	1.334805484972909160e-03
nan	3.750000000000000000e+00	3.749999999999999861e-02	nan	5.368087815669729534e-02	1.361715024582365458e-02	1.398427115834037287e-03
nan	5.750000000000000000e+00	5.750000000000000250e-02	nan	7.020840768335762094e-02	1.324694281505745669e-02	1.743221513649612954e-03
nan	4.000000000000000000e+00	3.999999999999999389e-02	nan	6.804776610228480127e-02	1.477224847701688257e-02	1.528258471069106903e-03
nan	4.500000000000000000e+00	4.499999999999999833e-02	nan	8.363546529171336785e-02	1.476731055350514327e-02	1.758971285087064431e-03
nan	4.250000000000000000e+00	4.249999999999999611e-02	nan	7.592499307944609865e-02	1.336025100553249814e-02	1.689398890847122140e-03
nan	2.250000000000000000e+00	2.249999999999999917e-02	nan	7.018392270138543165e-02	1.410809285454422621e-02	1.041142093652808708e-03
nan	2.750000000000000000e+00	2.750000000000000014e-02	nan	6.160610490965612307e-02	1.010432067990406878e-02	1.767387833754699867e-03
nan	3.250000000000000000e+00	3.250000000000000111e-02	nan	9.601144648825021832e-02	1.625287868015355339e-02	1.858173273704684207e-03
nan	1.500000000000000000e+00	1.499999999999999944e-02	nan	4.146051495569960665e-02	6.993824045566846351e-03	1.089504169187324560e-03
nan	nan	nan	nan	nan	nan	nan
nan	2.500000000000000000e+00	2.500000000000000139e-02	nan	9.903222777448131200e-04	4.171737589942690200e-02	4.344864341971788491e-04
nan	3.500000000000000000e+00	3.500000000000000333e-02	nan	2.958802660454662274e-03	1.915116882926627684e-02	6.188328107277359623e-04
nan	1.750000000000000000e+00	1.750000000000000167e-02	nan	4.911697823478861080e-03	1.074870821891173514e-02	4.706036644382801054e-04
nan	1.000000000000000000e+00	1.000000000000000021e-02	nan	9.324871111630075827e-04	5.150303721312803930e-03	6.661933656614367136e-04
nan	1.250000000000000000e+00	1.250000000000000069e-02	nan	8.809807374181957348e-03	6.953756002107664910e-03	6.095941943461553577e-04
nan	2.000000000000000000e+00	2.000000000000000042e-02	nan	7.079221150408668284e-03	1.354311277315439592e-02	5.543317594711328223e-04
nan	1.750000000000000000e+00	1.750000000000000167e-02	nan	6.790529604782406456e-03	1.007596249683271120e-02	6.841077821721593859e-04
nan	nan	nan	nan	nan	nan	nan
nan	2.500000000000000000e+00	2.500000000000000139e-02	nan	1.090354451717238590e-02	1.365492858360199332e-02	4.341083698676344565e-04
nan	4.250000000000000000e+00	4.249999999999999611e-02	nan	1.205580954036035088e-02	1.823143987983854436e-02	7.535099540753153590e-04
nan	nan	nan	nan	nan	nan	nan
nan	4.750000000000000000e+00	4.750000000000000056e-02	nan	2.003593780903518973e-02	1.057774652835499762e-02	8.087222299035536598e-04
nan	2.500000000000000000e+00	2.500000000000000139e-02	nan	1.878894784975049595e-02	1.280236088826856161e-02	8.194760398413295345e-04
nan	2.500000000000000000e+00	2.500000000000000139e-02	nan	1.626873379808659037e-02	8.598340023397488263e-03	6.318005637612725441e-04
nan	6.250000000000000000e+00	6.250000000000000000e-02	nan	2.235556683996924726e-02	1.219980651548614736e-02	8.142427194701226537e-04
nan	4.500000000000000000e+00	4.499999999999999833e-02	nan	1.885097554370328971e-02	1.543613606680185185e-02	8.694833946533822360e-04
nan	3.500000000000000000e+00	3.500000000000000333e-02	nan	1.058321131796811226e-02	1.819578603609448009e-02	7.673224604361123836e-04
nan	3.500000000000000000e+00	3.500000000000000333e-02	nan	1.951977456092649291e-02	1.521603717686411533e-02	7.528123950755305060e-04
nan	5.500000000000000000e+00	5.499999999999999334e-02	nan	2.462224512398011878e-02	1.431336357841222345e-02	8.675995594492714536e-04
nan	4.250000000000000000e+00	4.249999999999999611e-02	nan	2.328127264939800281e-02	1.140077024323363046e-02	7.989600708223655850e-04
nan	4.500000000000000000e+00	4.499999999999999833e-02	nan	2.492432020515501084e-02	1.493957005497637512e-02	8.339565896833035525e-04
nan	4.750000000000000000e+00	4.750000000000000056e-02	nan	3.347481419021116483e-02	1.352488996280670416e-02	7.918219000874976519e-04
nan	4.750000000000000000e+00	4.750000000000000056e-02	nan	4.570281651572391524e-02	1.413030730021989922e-02	6.399183911386687167e-04
nan	6.250000000000000000e+00	6.250000000000000000e-02	nan	4.299580801361597288e-02	1.638586543601614626e-02	8.018913187392585082e-04
nan	2.250000000000000000e+00	2.249999999999999917e-02	nan	3.129169643656142669e-02	8.845941717177480124e-03	6.113085610815665932e-04
nan	4.000000000000000000e+00	4.000000000000000083e-02	nan	3.175087810045452291e-02	1.549711658354491380e-02	9.086227638591832514e-04
nan	3.750000000000000000e+00	3.750000000000000555e-02	nan	2.399273057799566553e-02	1.790558316971507802e-02	5.902609161661920680e-04
nan	2.000000000000000000e+00	2.000000000000000042e-02	nan	3.457181432779540819e-02	1.784071759996973955e-02	7.977663544798253674e-04
nan	2.500000000000000000e+00	2.499999999999999792e-02	nan	5.087216378305385589e-02	1.274825257411809840e-02	5.425754213496888651e-04
nan	1.750000000000000000e+00	1.750000000000000167e-02	nan	2.789945986277710815e-02	1.030982013293871985e-02	7.458201282426667146e-04
nan	2.750000000000000000e+00	2.750000000000000014e-02	nan	3.453332660362383455e-02	1.296872336272457057e-02	5.031975930960925700e-04
nan	1.500000000000000000e+00	1.499999999999999944e-02	nan	5.202061097001654116e-02	8.069721802758632323e-03	7.698515407343930247e-04
nan	2.000000000000000000e+00	2.000000000000000042e-02	nan	5.234302536916895371e-02	1.221957306186993199e-02	7.320016330256843076e-04
nan	nan	nan	nan	nan	nan	nan
nan	1.750000000000000000e+00	1.750000000000000167e-02	nan	7.267070776802776744e-02	8.251649632532501860e-03	9.278905765064867630e-04
nan	7.500000000000000000e-01	7.499999999999999722e-03	nan	1.446982542974406191e-02	9.260632073418611013e-03	1.150643325278572003e-04
nan	2.250000000000000000e+00	2.249999999999999917e-02	nan	7.027109021579289183e-02	1.639372972411399718e-02	8.688445649337107239e-04
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	nan	nan	nan	nan	nan	nan
