# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.950000000000000000e+01	1.950000000000000067e-01	nan	3.464430558487131655e-03	4.357606166815586324e-02	3.536174074014463396e-03
nan	2.500000000000000000e+01	2.500000000000000000e-01	nan	7.176948422824789772e-03	4.061498506930673325e-02	3.636002874157390295e-03
nan	3.100000000000000000e+01	3.099999999999999978e-01	nan	1.020146046920634812e-02	3.866368098265718367e-02	3.115634965396814511e-03
nan	4.150000000000000000e+01	4.150000000000000355e-01	nan	1.147533800769748487e-02	3.369533821785627992e-02	3.203079387947946506e-03
nan	4.200000000000000000e+01	4.200000000000000400e-01	nan	1.413491042177798980e-02	3.184348282034617228e-02	3.172281368994585640e-03
nan	4.800000000000000000e+01	4.799999999999999822e-01	nan	1.716033235074958252e-02	3.055212481112096201e-02	3.386840948329038897e-03
nan	5.250000000000000000e+01	5.250000000000000222e-01	nan	2.026202991085511440e-02	3.506072912076127479e-02	3.463918364597601100e-03
nan	5.700000000000000000e+01	5.700000000000000622e-01	nan	2.147273724476268450e-02	3.316941512120541447e-02	3.148033141379885831e-03
nan	5.450000000000000000e+01	5.449999999999999289e-01	nan	2.971035926378817749e-02	3.115610263647762557e-02	3.573404195019029214e-03
nan	6.300000000000000000e+01	6.300000000000000044e-01	nan	3.202599484350469178e-02	3.218382052602848653e-02	3.316575524450962684e-03
nan	6.700000000000000000e+01	6.700000000000000400e-01	nan	3.340269542947552767e-02	3.113729381601473833e-02	3.121581046975657314e-03
nan	8.000000000000000000e+01	8.000000000000000444e-01	nan	3.821474740016422844e-02	3.098025318863227226e-02	3.325153465580515510e-03
nan	6.550000000000000000e+01	6.550000000000000266e-01	nan	4.393340467539112726e-02	3.006504728810231730e-02	3.404101632449315663e-03
nan	6.850000000000000000e+01	6.850000000000000533e-01	nan	4.083098072734500650e-02	3.096670178306532017e-02	3.471395747732078894e-03
nan	8.500000000000000000e+01	8.500000000000000888e-01	nan	4.333419631916028691e-02	3.023287971993392220e-02	3.892772788188196206e-03
nan	6.700000000000000000e+01	6.699999999999999289e-01	nan	5.530756310369572271e-02	3.073346498015532696e-02	3.440450550979004020e-03
nan	8.400000000000000000e+01	8.399999999999999689e-01	nan	5.478584131493975662e-02	2.996687277238815894e-02	3.226564808292226028e-03
nan	9.300000000000000000e+01	9.299999999999999378e-01	nan	5.107108421296550904e-02	3.224603224878479918e-02	3.932427321195575837e-03
nan	8.200000000000000000e+01	8.199999999999999512e-01	nan	6.883955019831863864e-02	3.059264448873158168e-02	3.229883744203289504e-03
nan	8.900000000000000000e+01	8.899999999999999023e-01	nan	7.388962171537763468e-02	2.982954425603439458e-02	3.330944185718469428e-03
nan	9.550000000000000000e+01	9.550000000000000711e-01	nan	7.656159093909120639e-02	2.782218887989335032e-02	3.202681104539530001e-03
nan	8.350000000000000000e+01	8.349999999999999645e-01	nan	7.659834490742194191e-02	2.960579763814583099e-02	3.504493713476483207e-03
nan	7.600000000000000000e+01	7.600000000000000089e-01	nan	8.054652452092239678e-02	3.007841791011262728e-02	3.167125731059079394e-03
nan	9.650000000000000000e+01	9.650000000000000799e-01	nan	8.555392347778550954e-02	2.988133973360651910e-02	4.114079375736000993e-03
nan	1.085000000000000000e+02	1.084999999999999964e+00	nan	8.183429983807855024e-02	2.635505494434527488e-02	4.114808892367391967e-03
nan	9.850000000000000000e+01	9.849999999999998757e-01	nan	9.447811429440428066e-02	3.159193869542242794e-02	3.912979510684090091e-03
nan	9.950000000000000000e+01	9.949999999999998845e-01	nan	1.187842070582200149e-01	3.435631191333030077e-02	4.053134311435142335e-03
nan	1.055000000000000000e+02	1.054999999999999938e+00	nan	1.120726784291579403e-01	3.206272911429489808e-02	3.799420431304886304e-03
nan	1.045000000000000000e+02	1.044999999999999929e+00	nan	1.209878833596382264e-01	3.356493290601664931e-02	4.139377580405799451e-03
nan	1.020000000000000000e+02	1.020000000000000018e+00	nan	1.079468966968944593e-01	2.292709403657024192e-02	3.914553868102250977e-03
nan	1.100000000000000000e+02	1.100000000000000089e+00	nan	1.054837584106684961e-01	2.381088632107436487e-02	4.061813754773789531e-03
nan	1.035000000000000000e+02	1.034999999999999920e+00	nan	5.022045097427962901e-02	2.806658056415953922e-02	2.641050973055085113e-03
nan	1.065000000000000000e+02	1.064999999999999947e+00	nan	1.237060890379098055e-01	2.218578810169040405e-02	3.791782571920012269e-03
nan	1.160000000000000000e+02	1.160000000000000142e+00	nan	1.227104947498673937e-01	3.109592169488666069e-02	3.150237596041025956e-04
nan	1.250000000000000000e+02	1.250000000000000000e+00	nan	8.996142299906750850e-02	2.337839891625962535e-02	4.135895360833623940e-03
nan	1.060000000000000000e+02	1.060000000000000053e+00	nan	1.441715598655264330e-01	3.649183193525433466e-02	4.131480191173530006e-03
nan	1.160000000000000000e+02	1.159999999999999920e+00	nan	7.603582630872551817e-02	3.605637708277535658e-02	2.331671843642584615e-03
nan	1.200000000000000000e+02	1.200000000000000178e+00	nan	1.005108436789896587e-01	3.190141687563396306e-02	4.602722749618795919e-03
nan	1.400000000000000000e+02	1.399999999999999911e+00	nan	1.094833090046449797e-01	3.889879983936460339e-02	3.994117482164384961e-03
nan	1.650000000000000000e+01	1.649999999999999800e-01	nan	3.537151210907561912e-03	3.495741356746870365e-02	3.158549824069543151e-03
nan	2.200000000000000000e+01	2.200000000000000011e-01	nan	6.456889130572874072e-03	3.392855865252904918e-02	3.430124916048788147e-03
nan	3.150000000000000000e+01	3.149999999999999467e-01	nan	9.775678197226142854e-03	3.212317442630153314e-02	3.329888401756951090e-03
nan	3.350000000000000000e+01	3.349999999999999645e-01	nan	9.842007783872900456e-03	3.179240369096401897e-02	3.365414497966056143e-03
nan	4.000000000000000000e+01	4.000000000000000222e-01	nan	1.529035255847325733e-02	3.346095580517464280e-02	3.493684588594008107e-03
nan	4.750000000000000000e+01	4.749999999999999778e-01	nan	1.608647460531120038e-02	3.471975723981925166e-02	3.326938853038796055e-03
nan	4.650000000000000000e+01	4.649999999999999689e-01	nan	2.070085189979890480e-02	3.180982371644010959e-02	3.491517042070329830e-03
nan	5.800000000000000000e+01	5.800000000000000711e-01	nan	2.360166339479335962e-02	3.026333779074912370e-02	3.214533137944639105e-03
nan	5.900000000000000000e+01	5.899999999999999689e-01	nan	2.861745323019869447e-02	2.957262473849888579e-02	3.343194099165365443e-03
nan	5.500000000000000000e+01	5.499999999999999334e-01	nan	2.953908819375040268e-02	2.851232121134364764e-02	3.123795099138754888e-03
nan	6.300000000000000000e+01	6.299999999999998934e-01	nan	3.261347647445121678e-02	2.776294645221957791e-02	3.097596159768583116e-03
nan	6.050000000000000000e+01	6.049999999999999822e-01	nan	4.202655293356126476e-02	3.087681376056065560e-02	3.403276655885834577e-03
nan	8.300000000000000000e+01	8.300000000000000711e-01	nan	4.198133327638991358e-02	3.086325316462928264e-02	3.375939577916082721e-03
nan	7.550000000000000000e+01	7.550000000000000044e-01	nan	4.621852288603532644e-02	3.034530104494527133e-02	3.425354798432821840e-03
nan	6.800000000000000000e+01	6.799999999999999378e-01	nan	4.605760787723135741e-02	2.944746869185111554e-02	3.280951790237707569e-03
