# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.927603271649587668e-02	1.712088021548387740e-01	1.089815145550677988e-01
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.492375964954817391e-01	1.758523853309535423e-01	8.486050591643347352e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.975566405258035729e-01	1.709582031693932247e-01	7.194296554923533538e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	2.487839177446034000e-01	1.612959535930263699e-01	6.892940573140771132e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	2.860212225269833652e-01	1.543666572791449476e-01	6.282513610444945273e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	3.483738719609732470e-01	1.670665352573157403e-01	6.447580846499187390e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	3.953303673665686802e-01	1.553194388616674915e-01	5.608609006065974623e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	4.456592858001897639e-01	1.679726139419905895e-01	4.960125965830598088e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	4.947571039080571609e-01	1.654686855472129459e-01	4.975818545953249183e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	5.384981346609833963e-01	1.669652977045772979e-01	5.149549532857551626e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	5.949460348355160022e-01	1.637840916359578347e-01	4.822467593390976359e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	6.459016822925036649e-01	1.496876504474431990e-01	4.887405022551390144e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	6.960245761199530534e-01	1.546076962753149264e-01	4.383265925896943221e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	7.449271462112960762e-01	1.420219023874212672e-01	4.594226542943491420e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	7.825294673253324618e-01	1.633939401357161481e-01	4.054550914447618837e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	8.472688602029165850e-01	1.549079321675955190e-01	4.230438403116705548e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	8.847105462125455233e-01	1.501518746333568577e-01	4.141370239104554679e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.477545134525939829e-01	1.486867690205296300e-01	3.868661419631989895e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.958978491339962602e-01	1.616572323379702192e-01	3.944642253882965632e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.036795094029457687e+00	1.539547741219993715e-01	4.082871953819647293e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.093293262617748951e+00	1.504392592915075322e-01	4.141832565707339459e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.143704844197259263e+00	1.448258866639529352e-01	3.658181655721577663e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.194354891090142701e+00	1.618582144223245645e-01	3.842806934838232519e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.217390646718172320e+00	1.633164406875007857e-01	3.683149823357691893e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.297172449122626858e+00	1.586810565937601947e-01	3.455305806163411209e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.343790096355633068e+00	1.429397855128459738e-01	3.368854529152619931e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.371136755124553019e+00	1.423623421938101097e-01	3.484975111808243792e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.438666245533909205e+00	1.424879365233709394e-01	3.463022397133264096e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.481529264646496813e+00	1.502330872289113495e-01	3.246803523327388558e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.533869004860207497e+00	1.633025527154721157e-01	3.464700034637908238e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.577528453455670387e+00	1.548781244046142092e-01	3.542873120029828293e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.613842112224801895e+00	1.515467770011849347e-01	3.297519428102627104e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.690005924898400735e+00	1.585669318528055149e-01	3.359688269589214404e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.740391972247721242e+00	1.483817356636106810e-01	3.353457173237511107e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.793021529360885324e+00	1.488496368240904144e-01	3.093000537763669622e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.823312179532990740e+00	1.588940937421166044e-01	3.248483095341028748e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.884885229162932774e+00	1.452716414248990673e-01	3.074508532616595721e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.931692029556074885e+00	1.408887601286534230e-01	3.209038560359928072e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.972629679981764639e+00	1.522725068524300174e-01	2.932763425211127456e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.839168595743785772e-02	1.866874932433154055e-01	9.701481426158387045e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.480757259846257057e-01	1.727446701395565221e-01	9.499938300331695062e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.969905175027122368e-01	1.662537124896839857e-01	7.514085021403636711e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	2.442288451327243592e-01	1.571050048411143096e-01	7.198613982531723576e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	2.977896902651764321e-01	1.623856447864225339e-01	5.733090694948411725e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	3.301164459241761051e-01	1.580557405261439619e-01	5.787708979557200373e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	3.984016728343817704e-01	1.537432664742365285e-01	5.701700573705757724e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	4.463856119324702831e-01	1.468088482035621589e-01	5.668281664131032127e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	4.940762244648908563e-01	1.564473129790262540e-01	5.058154075503264180e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	5.482243350691646810e-01	1.593986730020101605e-01	4.932319590464136205e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	5.845067924195177511e-01	1.383192617690328363e-01	4.516637845303113352e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	6.412557713307478480e-01	1.680972257840080697e-01	4.169247637731690603e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	6.923545485205409022e-01	1.442165455743872060e-01	4.357568337718235874e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	7.441367952337714087e-01	1.518717956318446638e-01	4.657187626021595112e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	7.891163215992378355e-01	1.540221263807072249e-01	4.125604298896980854e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	8.457931761693089356e-01	1.517357134647374650e-01	4.148117202274212434e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	8.867061199351269352e-01	1.523767155562329167e-01	4.239860567277591030e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.342191769039231986e-01	1.392310487351379189e-01	4.084293264435206322e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.949111953003466624e-01	1.464979914541233441e-01	3.982765662361253262e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.045670945907204441e+00	1.624423028013498582e-01	3.873768639488796295e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.087480098163950970e+00	1.597136644498070579e-01	3.830019272158556587e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.142303974018659574e+00	1.524599881911355981e-01	3.740972872842107666e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.192808719645881865e+00	1.538286614757314874e-01	3.599401772149038448e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.218180396378329533e+00	1.535738068088333130e-01	3.520442169856088238e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.290333173370186159e+00	1.612676650281807400e-01	3.414058811470384314e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.336730746452076346e+00	1.571202020865499205e-01	3.366652165969812038e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.377778810333893489e+00	1.693653430165065754e-01	3.596744628569376045e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.440464698199434679e+00	1.621351436057782702e-01	3.360954229468691989e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.489342013177406443e+00	1.474549172892630766e-01	3.479922955435821308e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.535690013309249480e+00	1.594226963633610383e-01	3.372887892487061445e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.343262293473466595e+00	1.518271023738706482e-01	3.315279813247553470e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.643585801488143261e+00	1.535076743371960872e-01	3.070563506296302564e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.663424663147111460e+00	1.565138547322449392e-01	3.339785625757372978e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.740510243713401906e+00	1.481403183822525282e-01	3.249689194575317019e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.779328449154604641e+00	1.525898964592142804e-01	3.099100298331879805e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.814784909570107629e+00	1.461220761066274465e-01	3.136516930327837988e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.874966283942512746e+00	1.504372063634897561e-01	3.020669882831150677e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.939221754999380209e+00	1.455484856064489518e-01	3.214604753600187881e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.983943098892723356e+00	1.643026156435901941e-01	3.083315189971042383e-02
