# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.497863279919254609e-02	4.374335350260274285e-02	2.618292917538833642e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.746665723724618147e-02	4.339620205060572278e-02	2.340896058080678063e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.994104408771704584e-02	4.128080460981471689e-02	1.837639651957099357e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	6.245495281878454819e-02	3.918715128969228745e-02	1.786025321447593656e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	7.493822754873846748e-02	4.000178532480662408e-02	1.545376811856215456e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	8.735164956936003477e-02	3.839949538542086760e-02	1.537472304145099181e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	9.994102884388311736e-02	3.816034584525503093e-02	1.425891770171301524e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.122612350942056025e-01	4.035442300391532677e-02	1.323922838699325907e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.249218351155505502e-01	3.774057092594616802e-02	1.264465623403184316e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.366808256136593513e-01	4.049466512451075501e-02	1.173212391962627499e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.499296292948315568e-01	4.055226918726223539e-02	1.244451668125317115e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.619726044453031477e-01	3.831465220070801037e-02	1.095116332030414245e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.609163167095594982e-01	3.705290517913989445e-02	1.076891397840318287e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.872979118951363375e-01	3.802401113638122221e-02	1.074517119600158430e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.997788769099457795e-01	4.070779892528514354e-02	1.018999823189034072e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.120971306327845696e-01	4.035633789270382660e-02	1.075258100422599693e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.248531243366613808e-01	3.802044402061072192e-02	9.733694377533956554e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.366296313570614984e-01	3.840324758535895028e-02	9.838697706574696736e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.498841301723615516e-01	3.763120267668124824e-02	1.008889045322410374e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.618868957510187556e-01	3.892012185863282653e-02	1.038548949020868736e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.524739115689364488e-01	3.689482931868957871e-02	9.059882703013168517e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.859587223542376933e-01	3.985730690626532874e-02	9.093383939655794168e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.998310544205224915e-01	3.692364817766034812e-02	9.063456288026558449e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.866135157410307777e-01	3.987028860389001117e-02	9.081948787476973664e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.245965561907127039e-01	3.777880607931971557e-02	8.828365327024204068e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.372766565180427278e-01	3.732813490832064679e-02	9.375002848608761721e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.497196716486286050e-01	3.531845590119047501e-02	8.566580832506456855e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.623403996998746379e-01	4.075943865160550073e-02	8.688950811165774279e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.735812760187684489e-01	3.834052449847177857e-02	8.375983584997645851e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.869976388301807901e-01	3.818869367482922994e-02	8.604685680478136450e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.996404809661555646e-01	3.916396751828291056e-02	8.803434164943366863e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.794044851966548171e-01	3.783434878074103808e-02	8.010137089039647690e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.242772212054575220e-01	3.712817733483995963e-02	8.549570996696315150e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.356548075529644848e-01	3.654088990588519326e-02	8.155531006775320474e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.497179428654050071e-01	3.830482242083002586e-02	8.128372248843778944e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.619844715310250649e-01	3.802558437621604559e-02	8.369170285155776157e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.744654555541671925e-01	3.675081720110768418e-02	8.025008798622317724e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.868485437998231191e-01	3.823802810489547455e-02	8.300429135471489722e-03
