# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.674250000000000000e+03	2.674249999999999794e+00	nan	6.685954992992293455e-03	4.086802186825561067e-02	2.378166027891447445e-02
nan	3.526000000000000000e+03	3.525999999999999801e+00	nan	1.204017343268048990e-02	4.107809055178625324e-02	2.331829599578719159e-02
nan	4.172750000000000000e+03	4.172750000000000625e+00	nan	1.882055555354611442e-02	4.187241038900316875e-02	2.390776806115892800e-02
nan	4.837750000000000000e+03	4.837749999999999773e+00	nan	2.575129317100532944e-02	4.168495494317102368e-02	2.390250088213364404e-02
nan	5.336250000000000000e+03	5.336249999999999716e+00	nan	3.527566609670884645e-02	4.128704219828813193e-02	2.366442060900660060e-02
nan	5.808750000000000000e+03	5.808749999999999858e+00	nan	4.341075969547603108e-02	4.235239101312865406e-02	2.350051979883151579e-02
nan	6.210750000000000000e+03	6.210749999999999993e+00	nan	5.508169380341598753e-02	4.147625760248653537e-02	2.360478949927568432e-02
nan	6.562500000000000000e+03	6.562500000000000000e+00	nan	6.466433842435037604e-02	4.322796047262199293e-02	2.391511391566456327e-02
nan	7.010250000000000000e+03	7.010250000000000092e+00	nan	7.482477923507246942e-02	4.207758346053851184e-02	2.429537771241970304e-02
nan	7.419000000000000000e+03	7.419000000000000483e+00	nan	8.752732141681462963e-02	4.122348959243950922e-02	2.380407767919837797e-02
nan	7.736250000000000000e+03	7.736250000000000071e+00	nan	9.842894890198294888e-02	4.263084025174418423e-02	2.446828828836984659e-02
nan	8.091500000000000000e+03	8.091500000000001691e+00	nan	1.150217965613364868e-01	4.206875108225460735e-02	2.395508108977487810e-02
nan	8.398250000000000000e+03	8.398249999999999105e+00	nan	1.285718677536067389e-01	4.245277925722538287e-02	2.408719946140574358e-02
nan	8.683500000000000000e+03	8.683499999999998664e+00	nan	1.402013512162625375e-01	4.275455917347516233e-02	2.383022384347014549e-02
nan	9.000750000000000000e+03	9.000750000000000028e+00	nan	1.537989202015239698e-01	4.244457653334446356e-02	2.369157649592902939e-02
nan	9.321250000000000000e+03	9.321249999999999147e+00	nan	1.691148585124722104e-01	4.319645172947578909e-02	2.447748047763121521e-02
nan	9.604250000000000000e+03	9.604250000000000398e+00	nan	1.847627350784648570e-01	4.224051167471702672e-02	2.428602105871716793e-02
nan	9.883250000000000000e+03	9.883250000000000313e+00	nan	1.986017268600903662e-01	4.238569135538933219e-02	2.410203207454812355e-02
nan	1.015175000000000000e+04	1.015174999999999983e+01	nan	2.170295208044024093e-01	4.243005553049034040e-02	2.390228517955867923e-02
nan	1.043475000000000000e+04	1.043475000000000108e+01	nan	2.348324258304614887e-01	4.256235082818990434e-02	2.431168801748189584e-02
nan	1.073450000000000000e+04	1.073450000000000060e+01	nan	2.499781217978807035e-01	4.202824199943838018e-02	2.470121730830724532e-02
