# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.350000000000000000e+01	2.349999999999999867e-01	nan	2.089738680184857061e-03	5.054642226351579309e-02	3.622584966375824722e-03
nan	2.500000000000000000e+01	2.500000000000000000e-01	nan	2.824189776284351423e-03	4.368952328352956882e-02	3.283127960393678046e-03
nan	1.000000000000000000e+01	1.000000000000000056e-01	nan	4.640857151536611352e-03	3.988665063076419354e-02	3.121532612997618590e-03
nan	1.750000000000000000e+01	1.749999999999999889e-01	nan	5.279714833232290912e-03	3.296169342784287248e-02	3.309939934660966268e-03
nan	1.500000000000000000e+01	1.499999999999999944e-01	nan	5.804244682323248319e-03	2.846684144541215128e-02	2.641444483959287312e-03
nan	1.250000000000000000e+01	1.250000000000000000e-01	nan	8.569156637357659353e-03	2.072759431806620381e-02	3.651752893397094447e-03
nan	2.300000000000000000e+01	2.299999999999999822e-01	nan	8.238598704956771532e-03	2.892842674388439519e-02	3.272195657338156441e-03
nan	2.750000000000000000e+01	2.750000000000000222e-01	nan	1.024611496034855650e-02	2.404049971091605509e-02	3.363497883534281342e-03
nan	2.800000000000000000e+01	2.800000000000000266e-01	nan	1.114995513594193612e-02	2.191005916141678181e-02	3.173878513776824672e-03
nan	2.900000000000000000e+01	2.900000000000000355e-01	nan	1.199988720443098331e-02	2.348131197187640004e-02	3.330203424960120374e-03
nan	3.800000000000000000e+01	3.800000000000000044e-01	nan	1.382773920129600279e-02	2.239492881816908948e-02	3.315276778552378630e-03
nan	4.950000000000000000e+01	4.949999999999999956e-01	nan	1.509199755295951087e-02	2.698590218067239976e-02	3.331706748821405741e-03
nan	4.750000000000000000e+01	4.749999999999999778e-01	nan	1.717012962661067232e-02	2.273299745787899645e-02	3.356273182036121315e-03
nan	4.350000000000000000e+01	4.349999999999999423e-01	nan	1.719259728567995582e-02	2.632445372651737864e-02	3.586702208713816401e-03
nan	4.600000000000000000e+01	4.599999999999999645e-01	nan	1.972844343090237457e-02	2.310543566040578617e-02	3.142057000879128550e-03
nan	4.550000000000000000e+01	4.550000000000000155e-01	nan	2.119597846904996280e-02	2.212272266251031488e-02	3.357520940453165986e-03
nan	5.900000000000000000e+01	5.899999999999999689e-01	nan	2.276553679820998016e-02	2.267654303640233987e-02	3.496862346307563676e-03
nan	6.000000000000000000e+01	6.000000000000000888e-01	nan	2.500859582690900806e-02	2.220931781142601938e-02	3.086575060031983113e-03
nan	5.400000000000000000e+01	5.400000000000000355e-01	nan	2.373952483633760824e-02	2.179665792135274116e-02	3.641523336248598218e-03
nan	4.800000000000000000e+01	4.799999999999999822e-01	nan	2.725793589529749636e-02	1.968734521608858645e-02	3.559551868940378193e-03
nan	5.750000000000000000e+01	5.749999999999999556e-01	nan	3.145047508819484583e-02	2.208747067911635137e-02	3.612438692942899609e-03
nan	5.150000000000000000e+01	5.150000000000000133e-01	nan	2.713194551663893062e-02	2.067593593473093447e-02	3.286018031993165854e-03
nan	4.250000000000000000e+01	4.249999999999999889e-01	nan	3.537372175849010092e-02	1.893759821915359104e-02	3.041992420430431228e-03
nan	5.000000000000000000e+01	5.000000000000000000e-01	nan	3.551699974745602811e-02	1.956951593454520771e-02	3.649294066979294916e-03
nan	4.850000000000000000e+01	4.849999999999999867e-01	nan	3.242114668750213646e-02	1.963530083680700006e-02	3.360772606994722432e-03
nan	4.300000000000000000e+01	4.299999999999999933e-01	nan	3.596481167628719222e-02	1.853298232057692951e-02	3.246647617729675212e-03
nan	3.900000000000000000e+01	3.900000000000000133e-01	nan	3.633044319744186540e-02	2.229326777168364956e-02	3.128977002436440606e-03
nan	4.050000000000000000e+01	4.050000000000000266e-01	nan	3.835678544228304093e-02	1.830668643168698040e-02	3.569960020570089529e-03
nan	3.300000000000000000e+01	3.299999999999999600e-01	nan	3.529743973872350588e-02	1.850460650437671731e-02	3.227427148463309081e-03
nan	2.650000000000000000e+01	2.650000000000000133e-01	nan	4.140742026125353303e-02	2.094104994710119932e-02	3.177915266064776888e-03
nan	2.450000000000000000e+01	2.449999999999999956e-01	nan	4.006303319150869569e-02	1.910219053556255070e-02	3.295245147548796563e-03
nan	2.200000000000000000e+01	2.200000000000000011e-01	nan	5.337455014859936869e-02	1.752414868941388690e-02	3.551460550272873481e-03
nan	2.400000000000000000e+01	2.399999999999999911e-01	nan	5.201226535343098090e-02	1.616327680741251605e-02	3.762963382599213841e-03
nan	1.950000000000000000e+01	1.950000000000000067e-01	nan	5.052180539869242926e-02	2.040289938001228764e-02	3.072495602838804657e-03
nan	1.550000000000000000e+01	1.549999999999999989e-01	nan	5.051220718284089861e-02	2.002228881805323546e-02	3.484966472423117051e-03
nan	1.100000000000000000e+01	1.100000000000000006e-01	nan	4.256361258074999043e-02	1.709779119963484445e-02	2.669648333007606025e-03
nan	8.500000000000000000e+00	8.499999999999999223e-02	nan	6.378126828769870027e-02	1.641012594872782310e-02	3.242758074518458343e-03
nan	9.000000000000000000e+00	8.999999999999999667e-02	nan	3.861143828932896149e-02	1.527350963377933565e-02	2.907930535730652959e-03
nan	6.000000000000000000e+00	5.999999999999999778e-02	nan	4.570589395674277966e-02	2.412783008630720039e-02	3.041101390740093106e-03
nan	3.150000000000000000e+01	3.149999999999999467e-01	nan	1.852170518034371030e-03	5.178021772000225564e-02	3.476213037047514928e-03
nan	2.700000000000000000e+01	2.700000000000000178e-01	nan	2.806242786544013972e-03	4.467537935271664873e-02	3.389014913590325008e-03
nan	5.500000000000000000e+00	5.500000000000000028e-02	nan	2.767566156758678904e-03	1.927259643228371871e-02	3.139554610850978436e-03
nan	1.100000000000000000e+01	1.100000000000000006e-01	nan	5.157384779451689924e-03	2.980304977351163481e-02	3.044448643973287402e-03
