# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.850000000000000000e+01	2.850000000000000311e-01	nan	1.732864950861395022e-03	4.391013774999148744e-02	1.663790186556167710e-03
nan	2.300000000000000000e+01	2.299999999999999822e-01	nan	2.787713781936155405e-03	2.856028564598993985e-02	1.714457982176076541e-03
nan	7.750000000000000000e+00	7.749999999999998557e-02	nan	4.021412687326101666e-03	2.445992552765719266e-02	1.827853853997961050e-03
nan	1.125000000000000000e+01	1.125000000000000028e-01	nan	4.816236366644371762e-03	1.664200181465061087e-02	1.618644917813986950e-03
nan	1.175000000000000000e+01	1.174999999999999933e-01	nan	6.760539817723496860e-03	1.618093172418373291e-02	1.770141517802782021e-03
nan	1.975000000000000000e+01	1.975000000000000089e-01	nan	7.086263186026526412e-03	1.870994726899979574e-02	1.466719700666887800e-03
nan	2.075000000000000000e+01	2.074999999999999900e-01	nan	7.508889935934195091e-03	1.641388637912659723e-02	1.680645585559685951e-03
nan	2.425000000000000000e+01	2.424999999999999933e-01	nan	9.973906851387014105e-03	1.423096274279885172e-02	1.646821465758523898e-03
nan	2.975000000000000000e+01	2.974999999999999867e-01	nan	1.068814162612374483e-02	1.527894446240021797e-02	1.712198859096963986e-03
nan	2.525000000000000000e+01	2.525000000000000022e-01	nan	1.150385244670098887e-02	1.374976686803779796e-02	1.644991876865454540e-03
nan	2.675000000000000000e+01	2.675000000000000155e-01	nan	1.439479768517902894e-02	1.344925504436476731e-02	1.810613895049813325e-03
nan	3.400000000000000000e+01	3.400000000000000244e-01	nan	1.526486849685293988e-02	1.389124313796180447e-02	1.762278871087191029e-03
nan	3.750000000000000000e+01	3.750000000000000000e-01	nan	1.579256223808722312e-02	1.405701923255871233e-02	1.613970795538987278e-03
nan	4.125000000000000000e+01	4.124999999999999778e-01	nan	1.731563929794804890e-02	1.301366957138135050e-02	1.690790479432485857e-03
nan	3.550000000000000000e+01	3.549999999999999822e-01	nan	2.050301132757820222e-02	1.248413188625299361e-02	1.702206187643090247e-03
nan	4.800000000000000000e+01	4.799999999999999822e-01	nan	1.654816947707335451e-02	1.183785621261498715e-02	1.962295915996865783e-03
nan	4.150000000000000000e+01	4.150000000000000355e-01	nan	2.252441876239171317e-02	1.187418592052347233e-02	1.682034524842055019e-03
nan	4.450000000000000000e+01	4.449999999999999512e-01	nan	2.286278366261228559e-02	1.268486657029426271e-02	1.772506019853201413e-03
nan	4.275000000000000000e+01	4.274999999999999911e-01	nan	2.435571618818807571e-02	1.236796396114406109e-02	1.758219938129124832e-03
nan	4.700000000000000000e+01	4.699999999999999734e-01	nan	2.648691860407752924e-02	1.157399502295691079e-02	1.708125755813822344e-03
nan	4.725000000000000000e+01	4.725000000000000311e-01	nan	2.378857061271659468e-02	6.898884644323755901e-03	1.235198608847069834e-03
nan	4.700000000000000000e+01	4.699999999999999734e-01	nan	2.802061654047770939e-02	7.892032228672289651e-03	1.759941859520865615e-03
nan	4.200000000000000000e+01	4.200000000000000400e-01	nan	3.332136154327051958e-02	1.120534243540908387e-02	1.717135521682485897e-03
nan	4.725000000000000000e+01	4.725000000000000311e-01	nan	3.336934495322151084e-02	1.206496221525613435e-02	1.950549318607294183e-03
nan	3.750000000000000000e+01	3.750000000000000000e-01	nan	3.255279219468582008e-02	1.198977647996021974e-02	1.679130376557396408e-03
nan	3.725000000000000000e+01	3.725000000000000533e-01	nan	3.543285915810212572e-02	1.037787060161561581e-02	1.677400411530853130e-03
nan	3.550000000000000000e+01	3.549999999999999822e-01	nan	3.304557974165735212e-02	9.676820255079598976e-03	1.705504658354477319e-03
nan	3.125000000000000000e+01	3.125000000000000000e-01	nan	3.631614691903232300e-02	1.073200530352640819e-02	1.668242098191403261e-03
nan	3.000000000000000000e+01	2.999999999999999889e-01	nan	3.917000491309741150e-02	9.922857611031222352e-03	1.719059015945000306e-03
nan	2.500000000000000000e+01	2.500000000000000000e-01	nan	4.182382147641430792e-02	1.174297612591635245e-02	1.776277338314660292e-03
nan	1.900000000000000000e+01	1.900000000000000022e-01	nan	4.260844942716360273e-02	9.924598178153179462e-03	1.722334982571026773e-03
nan	2.050000000000000000e+01	2.050000000000000155e-01	nan	3.786088563023253667e-02	1.002135876630167940e-02	1.596165499078221976e-03
nan	1.600000000000000000e+01	1.600000000000000033e-01	nan	4.427760449640322227e-02	1.039097223488897812e-02	1.680401790354484753e-03
nan	1.600000000000000000e+01	1.599999999999999756e-01	nan	5.412093934449366955e-02	9.142519530076087184e-03	1.719067651821830356e-03
nan	1.650000000000000000e+01	1.649999999999999800e-01	nan	5.021799232130028101e-02	1.013023536269185010e-02	1.565158080145927742e-03
nan	1.275000000000000000e+01	1.275000000000000022e-01	nan	5.417913519284893453e-02	1.005443157285477659e-02	1.792090269109382870e-03
nan	1.000000000000000000e+01	1.000000000000000056e-01	nan	5.764568802801535441e-02	9.320979399785846858e-03	1.847798572179261108e-03
nan	9.500000000000000000e+00	9.500000000000000111e-02	nan	5.355563509569770397e-02	1.094476907801155731e-02	1.547403208524014175e-03
nan	6.750000000000000000e+00	6.750000000000000444e-02	nan	5.644088718177620034e-02	1.049671187905543493e-02	1.464682335691973487e-03
nan	2.050000000000000000e+01	2.049999999999999878e-01	nan	2.127281734314350175e-03	3.883908735855304967e-02	1.779753040225083918e-03
nan	2.300000000000000000e+01	2.299999999999999822e-01	nan	2.577306494589965032e-03	3.295031658167307809e-02	1.772193474055556127e-03
nan	1.000000000000000000e+01	1.000000000000000056e-01	nan	4.277911008942389057e-03	2.259288901391984239e-02	1.798875288755025659e-03
nan	1.200000000000000000e+01	1.199999999999999956e-01	nan	4.196204591186664112e-03	1.713758265406156722e-02	1.645113555539837787e-03
nan	1.450000000000000000e+01	1.450000000000000178e-01	nan	5.820218738996470187e-03	2.073772010131313959e-02	1.631382197494497550e-03
nan	1.675000000000000000e+01	1.674999999999999822e-01	nan	8.460579295786342657e-03	2.511857567869061475e-02	1.686792308015876152e-03
nan	1.700000000000000000e+01	1.699999999999999845e-01	nan	7.454384515262061847e-03	1.488423962540729936e-02	1.849422099384080915e-03
nan	2.225000000000000000e+01	2.224999999999999756e-01	nan	9.911760335938987060e-03	1.578897838441375295e-02	1.613326537183448978e-03
nan	3.250000000000000000e+01	3.250000000000000111e-01	nan	1.109035680506294599e-02	1.478268481678201782e-02	1.634394356381011024e-03
nan	3.175000000000000000e+01	3.175000000000000044e-01	nan	1.355229985418560795e-02	1.423648808750844694e-02	1.723609512166480312e-03
nan	2.800000000000000000e+01	2.800000000000000266e-01	nan	1.268579921370584056e-02	1.454540007226090212e-02	1.812844596273288211e-03
nan	3.750000000000000000e+01	3.750000000000000000e-01	nan	1.435424684763035585e-02	1.336417592483652231e-02	1.727931117048481409e-03
nan	3.500000000000000000e+01	3.499999999999999778e-01	nan	1.609490177851002207e-02	1.428580600178265894e-02	1.738563226056671039e-03
nan	4.075000000000000000e+01	4.074999999999999734e-01	nan	1.840165408559348015e-02	1.310184921885559212e-02	1.681933107998589711e-03
