# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.963189563919172542e-02	1.106627855255890719e-01	1.076486883864993943e-01
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.495796375434679248e-01	9.345765510873239867e-02	7.992241507750812157e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.988551192150680436e-01	8.696166860573478763e-02	7.112681061712719521e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	2.484981805445869441e-01	7.385079644292093237e-02	6.779956254451352526e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	2.937305821608617862e-01	6.658812637406522073e-02	5.848265894552054367e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	3.467869140752384283e-01	6.364816309719853460e-02	5.654072974701747356e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	3.978664354026761885e-01	6.431409372378026068e-02	4.862817678886277584e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	4.476206654942984642e-01	6.786532725080819672e-02	4.735464827373437463e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	4.890172902804010846e-01	6.261944833758793794e-02	4.790408552807495779e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	5.436159026542100037e-01	5.555752059107239849e-02	4.558620401951721940e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	5.907870959991896598e-01	6.107150028869420821e-02	4.161071183887019020e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	6.444384176072617265e-01	5.628534290730304035e-02	4.324890380475718277e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	6.920752452921306030e-01	5.580175074679465108e-02	4.208650545169633633e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	7.398689971134331245e-01	5.145702022242203133e-02	4.175642976255254657e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	7.955086853579018680e-01	4.975156105410581675e-02	3.971401698549424653e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	8.479212168720664522e-01	5.146091324445804110e-02	3.323557312139752834e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	8.875057614073966761e-01	5.111949658774951610e-02	3.407531175545917834e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.387612576733204151e-01	5.030153842453842505e-02	3.574906042517734389e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.918608455104163113e-01	5.017801286255670068e-02	3.553309541981395508e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.026981783859696407e+00	4.805628979850215532e-02	3.086568856051642717e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.094429810180713503e+00	4.692865481017344242e-02	3.072412336600996094e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.145943168319377037e+00	4.897537493923551088e-02	3.294058492066059135e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.135396792790970721e+00	4.629622685458993636e-02	3.188670088180159401e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.245182047736989261e+00	4.762253456697223414e-02	2.898274134111534367e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.291375768572038396e+00	4.691101948180793207e-02	2.773864535633432937e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.335548830756920324e+00	4.790532072436892719e-02	2.838130228577023101e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.351825822422824785e+00	4.591308320966604184e-02	2.770855378418074846e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.438459229488444180e+00	4.952164780595713633e-02	2.627641838724677215e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.491164900535181914e+00	4.910884332706086375e-02	2.804092380033385706e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.539254986963101146e+00	4.517679779034502324e-02	2.714141257108321215e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.592318965842991929e+00	4.507862044997384965e-02	2.395861085326997375e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.641346918324529724e+00	4.462752415568321113e-02	2.558352567208950490e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.685518613964973156e+00	4.495424294983460523e-02	2.703626589009587231e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.723610113423887924e+00	4.492836793447512606e-02	2.407517085117159839e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.786348180012396369e+00	4.644646261696352973e-02	2.349421852558110368e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.841172408263560101e+00	4.371240017838209924e-02	2.525642619566851807e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.891778330342731351e+00	4.456803492984665049e-02	2.340147778299364600e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.936039276434144085e+00	4.435340942120319374e-02	2.375906982387862576e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.992805071867451261e+00	4.558172195194057363e-02	2.233402606554530170e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.935628571084720306e-02	1.104552445946981043e-01	1.060893028845168312e-01
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.487522367264375589e-01	9.913606702368378543e-02	8.250270038254226002e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.976935611813672722e-01	8.350195047163702644e-02	7.750689528402329720e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	2.456951581541204632e-01	7.603763719975856206e-02	6.533120434774786212e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	2.981232721844548905e-01	7.172854882730077264e-02	5.919843835244642527e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	3.439356168101994626e-01	6.677867564330414174e-02	5.412469454877134878e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	3.985372813044421036e-01	6.592203210709435268e-02	5.242477996014528047e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	4.418432534301075520e-01	6.263923833876453018e-02	5.203868812133423394e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	4.872107310192177465e-01	5.937380891727360444e-02	4.426154700664398922e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	5.479171253930417151e-01	5.799906284201359480e-02	4.792670208688042804e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	5.963063737636957740e-01	5.524554235391855583e-02	4.269410459597466900e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	6.449951301574401441e-01	5.530423115129706746e-02	4.333307309883482894e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	6.933723464017020888e-01	5.442912792258574467e-02	3.802469595739557673e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	7.457695720999026889e-01	5.171312832208437016e-02	3.833896869404265773e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	7.967164831322861573e-01	5.271560174112105424e-02	3.563399444826420570e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	8.454664406843335200e-01	5.259881940777827447e-02	3.586900696480933848e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	8.929742565992455638e-01	4.808800405779588977e-02	3.527457902831559328e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.408507671775510062e-01	5.170762993890189174e-02	3.511777347774621555e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.872148652421515180e-01	5.126675207955310593e-02	3.396811755591974680e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.047646563267107922e+00	4.993790328736946726e-02	3.098981892655740256e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.093680452636704103e+00	4.743318400018144143e-02	3.112100327362818386e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.140566307918902567e+00	5.081858027767153368e-02	2.800494564028179617e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.189861340627885511e+00	5.086130033505992243e-02	2.963869751550900211e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.245057235651643168e+00	4.775834308274354290e-02	3.091522117197346639e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.083585442312131386e+00	4.831321992908324536e-02	2.897220485585963456e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.330067740042522928e+00	4.790842107511118081e-02	2.964496089908089105e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.386670034497797133e+00	4.921376549386248522e-02	2.876135994562648013e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.420815362724397346e+00	5.061188313498181379e-02	2.914162171150368186e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.483315926268232943e+00	4.496414489537761683e-02	2.707350783538656908e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.522127560905687460e+00	4.743599372984336204e-02	2.574134541325644177e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.590664255645378944e+00	4.827790176730487048e-02	2.789056353342368039e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.636072966043684573e+00	4.330349385639942206e-02	2.662298029424750925e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.689955032490047415e+00	4.184728640626586560e-02	2.424095790092429051e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.737875407085084589e+00	4.406290406170920021e-02	2.385646615207267021e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.792527139766093569e+00	4.537064653635861089e-02	2.495165515956150604e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.843152729711960092e+00	4.576976373558765132e-02	2.413197006023266866e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.885089538474176152e+00	3.981659183423408299e-02	2.294341428656262311e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.940855740698225418e+00	4.447131957602693669e-02	2.319658861452758569e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.958303357602972028e+00	4.553035939007121780e-02	2.315511838042390649e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.868610811136591110e-02	1.159933887202403147e-01	1.036073399610211998e-01
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.482385377594823694e-01	9.591630065749064127e-02	7.953403195830716088e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.956100314929472006e-01	8.161936418337301102e-02	7.708442458782786832e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	2.477163396721948629e-01	7.868291592180690075e-02	6.395052123965440372e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	2.990108849699311122e-01	7.184234502488151541e-02	6.498403334688809818e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	3.467177961838388001e-01	6.677105719433484854e-02	6.049731948539181781e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	3.983632537073447111e-01	6.404386007560333716e-02	5.280051632766737113e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	4.482329705808751896e-01	6.134793650181107061e-02	5.393632650779073973e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	4.977438418109727536e-01	6.210709493560595540e-02	4.440668485879138705e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	5.475719291524683285e-01	5.783577262060562996e-02	4.481624038325571907e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	5.985888154767735614e-01	5.857458405719312422e-02	4.318386314948684246e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	6.477128813985473244e-01	5.912683031850829440e-02	4.067182688862495954e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	6.956886649792863864e-01	5.613037815599297709e-02	3.990922848814804080e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	7.473639385365800081e-01	5.210185639521630607e-02	3.501875526110038994e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	7.953944168140196780e-01	5.236199388050226389e-02	3.629625659750691097e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	8.480798357058461079e-01	5.031085473187786594e-02	3.761910241633725782e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	8.927298077083491989e-01	4.851336462753304268e-02	3.498137580891540199e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.319078147963182346e-01	5.518850074236308911e-02	3.257967058106519403e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	9.144590809981991697e-01	4.801024876125106755e-02	3.260769928123324890e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.035797814874172218e+00	5.076113623016981213e-02	3.344656508817409057e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.095498448752550757e+00	5.226285495616274368e-02	3.033338165496273289e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.141723988218814156e+00	4.525692325202250454e-02	3.150898252633576452e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.181583450881134922e+00	4.945051418065996712e-02	3.054580739381030502e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.244451035332076572e+00	4.665624558289881152e-02	3.073918818651930410e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.294542574896809128e+00	4.862555810865981654e-02	2.992332915949671990e-02
nan	1.000000000000000000e+04	1.000000000000000000e+02	nan	1.332697880655700828e+00	4.989733080767089907e-02	2.752469344417102920e-02
