# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.969707281684492273e-02	1.210311265221019478e-01	1.141746075941743876e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497783469089171149e-01	1.043785714726189473e-01	9.776284832467696528e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.995721780010910607e-01	8.990090892706306680e-02	8.102148231450292948e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.496076619955829301e-01	7.711677621241946889e-02	7.664387589941334955e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.995130222134889664e-01	6.900625542112866218e-02	6.472550378798362647e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.938425496760720956e-01	6.197749545794975501e-02	6.199616455918259550e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.997164156998849194e-01	6.025251175298367012e-02	5.700084336342865765e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.492612198258427725e-01	6.011658151551799167e-02	5.748665305793296959e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.991557441420866326e-01	5.526603301718380212e-02	5.435086526108431904e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.494577076139535166e-01	5.111172677766062655e-02	5.122109499567996382e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.994520641958729357e-01	5.224366227086356396e-02	5.043637567200497107e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.482897578360962143e-01	5.008812513886103795e-02	4.509730607447984263e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.972699817339957917e-01	4.822593885449139722e-02	4.496557654996041070e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.481187300987812705e-01	4.553197793559972395e-02	4.517783408876805545e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.991032229696770628e-01	4.677241312509476667e-02	4.330594437182704037e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.474605374327666141e-01	4.880712921960661532e-02	4.293741728339670743e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.975224287922287658e-01	4.380723984949420891e-02	3.766251391689311168e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.490315175471550901e-01	4.424777738962511198e-02	3.781701499169302927e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.988577543722385599e-01	4.268567991997199162e-02	3.874799924388987876e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048005825456016282e+00	4.027201684668388348e-02	3.667804617784897747e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.099177277676062658e+00	3.833063956864689314e-02	3.472806765235868232e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148743954878341356e+00	3.826014781729882019e-02	3.483720102005169461e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.197834272853128823e+00	3.921445062317984592e-02	3.625867211966028736e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.248590093294069447e+00	3.740726422477948926e-02	3.211537559102144168e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.298669772762536923e+00	3.642810909087527277e-02	3.495953419159153475e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.348922928956085343e+00	3.764040455687420877e-02	3.442086029891065768e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.398818564300768230e+00	3.634839330009014685e-02	3.117270637462732710e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.447224545596441203e+00	3.678436641075655267e-02	3.539901675671590364e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.496482670583418439e+00	3.856875058637612708e-02	3.069365831022130564e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.547042112148687920e+00	3.609684366221700691e-02	2.968903227962664884e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.599330856781534749e+00	3.403267777597285271e-02	3.133796933873295165e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.644596810037796786e+00	3.469363785993698213e-02	3.059742768256532713e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.696306738028056316e+00	3.339378935511268243e-02	2.987190211275913762e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.746684381617114923e+00	3.220648160216074696e-02	3.015669598733462103e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.798023448429717064e+00	3.495259324960739433e-02	2.825328897904735848e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.847284884911800873e+00	3.356103904941622196e-02	2.874193895679683433e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.898354304509098256e+00	3.344651431493808613e-02	2.834272146601565096e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.939309325238355086e+00	3.463220475747810084e-02	2.855385043418924573e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.998892585734211025e+00	3.294222975689626437e-02	2.642377610436925581e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.995606969148695953e-02	1.133937337421465352e-01	1.106686486086535803e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.498897373632530616e-01	8.940251711889948827e-02	9.691520622431452903e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997480069279191639e-01	7.862765345676184237e-02	8.353684552083256998e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.496429948693190681e-01	7.479215834117779182e-02	7.709489560628016158e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.994097286533587976e-01	7.307859791205117972e-02	6.614339391541700086e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.493189786424863996e-01	6.231520650132726241e-02	6.473287855284823311e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.980864125679772769e-01	5.959760634977077226e-02	5.536936717732688501e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.488207871301881369e-01	6.194596232562000343e-02	6.069506850031733403e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.991772909468750186e-01	5.508241758622463291e-02	5.152368166270546862e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.497115028356915900e-01	5.098087273752351101e-02	5.157177108671921750e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.993591800315698492e-01	5.004211519370571626e-02	4.517399814047473594e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.492955809732166017e-01	5.073327174607097229e-02	4.603908483054004741e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.991265753638913338e-01	5.315741071418811359e-02	4.594922768872851393e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.486908595922159293e-01	4.768286820340604526e-02	4.439132808707740158e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.984632319273714529e-01	4.320887935064253449e-02	4.110572781623945959e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.475581660781585924e-01	4.514760446206041167e-02	4.046351781743469378e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.989017882261123304e-01	4.191134128933902275e-02	3.857572314699765637e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.492346726939331347e-01	4.219890211195158336e-02	3.832660126411475965e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.988304717415985579e-01	4.328865860598545001e-02	3.775586131426436620e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.049010463886247635e+00	4.482181798594776778e-02	3.697948072668159891e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.096178713989615972e+00	4.108344210516641504e-02	3.542107867062802701e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148032222180518147e+00	4.097331971850814991e-02	3.653870925810404069e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.194603347731344911e+00	3.903513156920310201e-02	3.583268160646407852e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.248901470848068129e+00	3.909445496865911196e-02	3.469734423094373438e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.298987760609179531e+00	3.624786091628368068e-02	3.403498873568776284e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.348753319742172607e+00	3.513265211028616941e-02	3.347748661023849243e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.399069242890618625e+00	3.796040362561758919e-02	3.294507708456637096e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.446937794167524771e+00	3.460053262826887077e-02	3.285626257616852675e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497258464816809465e+00	3.414395477396600653e-02	3.008931429948197983e-02
