# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	6.478999999999999204e+01	6.478999999999998649e-02	nan	4.529192766507606003e-04	6.315062412954881854e-03	2.156144984163527178e-04
nan	1.017500000000000000e+02	1.017500000000000071e-01	nan	7.136314597150317197e-04	5.397689064417084299e-03	2.251451477262782046e-04
nan	1.271099999999999852e+02	1.271100000000000008e-01	nan	1.001503521555946376e-03	4.609184690063540708e-03	2.269961335062913152e-04
nan	1.455500000000000114e+02	1.455500000000000127e-01	nan	1.213089026795159935e-03	4.188633235482608005e-03	2.296864646784474093e-04
nan	1.605000000000000000e+02	1.605000000000000038e-01	nan	1.539202261267860142e-03	3.523273213575916878e-03	2.321365682594755280e-04
nan	1.765900000000000034e+02	1.765899999999999692e-01	nan	1.828879481169565181e-03	3.544968307472350002e-03	2.387943107607480987e-04
nan	1.910099999999999909e+02	1.910100000000000409e-01	nan	1.955756424263768115e-03	3.425136344045413752e-03	2.368156623124118118e-04
nan	2.087199999999999704e+02	2.087200000000000166e-01	nan	2.225008167382611785e-03	3.007187311322757212e-03	2.394675417217695368e-04
nan	2.184300000000000068e+02	2.184300000000000408e-01	nan	2.465889915356456186e-03	3.010727685521564796e-03	2.359829569884157091e-04
nan	2.288800000000000239e+02	2.288799999999999724e-01	nan	2.867843514484320726e-03	2.896461828259784023e-03	2.373371691652240731e-04
nan	2.411400000000000148e+02	2.411399999999999932e-01	nan	3.160809746267432500e-03	2.723438681987593469e-03	2.380950963577482403e-04
nan	2.521099999999999852e+02	2.521100000000000008e-01	nan	3.428020564508642461e-03	2.565325193555847809e-03	2.377630805017216559e-04
nan	2.580900000000000318e+02	2.580900000000000416e-01	nan	3.801137603535380098e-03	2.556136560884508628e-03	2.394601489857734399e-04
nan	2.720300000000000296e+02	2.720299999999999940e-01	nan	4.025935113379545786e-03	2.528995304028618715e-03	2.388898266848748478e-04
nan	2.824699999999999704e+02	2.824699999999999989e-01	nan	4.149087908521096116e-03	2.530964389567170753e-03	2.364646803654072197e-04
nan	2.920600000000000023e+02	2.920599999999999863e-01	nan	4.514481645613841777e-03	2.402880891359687916e-03	2.385034769600425232e-04
nan	2.970600000000000023e+02	2.970599999999999907e-01	nan	4.848152871907132101e-03	2.352258367849079188e-03	2.391511267491996245e-04
nan	3.083999999999999773e+02	3.084000000000000075e-01	nan	5.129564949839959809e-03	2.399646845754785721e-03	2.380737354421318315e-04
nan	3.211499999999999773e+02	3.211499999999999910e-01	nan	5.502289958767505110e-03	2.265344551551370413e-03	2.395102015977388439e-04
nan	3.234900000000000091e+02	3.234900000000000553e-01	nan	5.627334588841677136e-03	2.192633908370337104e-03	2.381480107807662917e-04
nan	3.328700000000000045e+02	3.328699999999998882e-01	nan	5.931805362608883955e-03	2.242482215229155314e-03	2.384760762042176306e-04
nan	3.433300000000000409e+02	3.433300000000000241e-01	nan	6.297828317335643980e-03	2.198928789291112670e-03	2.402355773800189513e-04
nan	3.485800000000000409e+02	3.485800000000000010e-01	nan	6.500247623482664598e-03	2.209074872860840137e-03	2.391651397077696633e-04
nan	3.070099999999999909e+02	3.070100000000000051e-01	nan	6.506275283475133724e-03	2.052150064138344356e-03	2.372040663976318056e-04
nan	8.903000000000000114e+01	8.903000000000001191e-02	nan	6.593416159330445052e-03	1.979586672112960098e-03	2.372386166980457059e-04
nan	3.020000000000000018e+00	3.020000000000000549e-03	nan	7.907739852344993631e-03	2.207250765030950492e-03	1.770699987148043465e-04
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
