# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	3.089999999999999858e+01	3.090000000000000038e-02	nan	1.948248539875408023e-04	3.922162379071575215e-03	2.102962213242904992e-04
nan	3.773000000000000398e+01	3.772999999999999965e-02	nan	3.494778126480468927e-04	3.682781432350693863e-03	2.221776080306104228e-04
nan	1.494000000000000128e+01	1.493999999999999842e-02	nan	3.508140831146988993e-04	3.065466187901042146e-03	1.939170101133137173e-04
nan	2.200999999999999801e+01	2.201000000000000179e-02	nan	5.198486281199165941e-04	2.863459691973691077e-03	2.241825627660812563e-04
nan	2.325000000000000000e+01	2.324999999999999983e-02	nan	5.171976722164117139e-04	2.898597547546305324e-03	2.222294166172201905e-04
nan	2.808000000000000185e+01	2.808000000000000426e-02	nan	7.684819150978228252e-04	2.636874187791959055e-03	2.263550120200968018e-04
nan	3.320000000000000284e+01	3.319999999999999341e-02	nan	8.869558134563249041e-04	2.567716838666991158e-03	2.207397864636021574e-04
nan	3.781000000000000227e+01	3.780999999999999639e-02	nan	9.126782192271319909e-04	2.346247047664322665e-03	2.217816239926011029e-04
nan	4.142999999999999972e+01	4.143000000000000155e-02	nan	1.061185682030441101e-03	2.331955442248768128e-03	2.247255907835409038e-04
nan	4.629999999999999716e+01	4.629999999999999394e-02	nan	1.186224075847803778e-03	2.287918072728588673e-03	2.266742683276241226e-04
nan	4.946000000000000085e+01	4.946000000000000396e-02	nan	1.339399320420397912e-03	2.365576251319228326e-03	2.288964011547804536e-04
nan	5.489999999999999858e+01	5.490000000000000435e-02	nan	1.641346347724947918e-03	2.123474768266511367e-03	2.309360692638996824e-04
nan	5.860000000000000142e+01	5.859999999999999931e-02	nan	1.681727452327095532e-03	1.884032773375689989e-03	2.291182832595090263e-04
nan	6.178999999999999915e+01	6.178999999999999770e-02	nan	1.644753249569248397e-03	1.945342424430622236e-03	2.325463367643006152e-04
nan	6.556000000000000227e+01	6.555999999999999328e-02	nan	2.071854576678333702e-03	1.868850846353100476e-03	2.326666704865206045e-04
nan	7.162999999999999545e+01	7.163000000000001311e-02	nan	2.067868706985791574e-03	1.960810437466170390e-03	2.321836644943145629e-04
nan	7.515000000000000568e+01	7.514999999999999458e-02	nan	2.203686488176117425e-03	1.903358226579028936e-03	2.307156786614241936e-04
nan	7.684000000000000341e+01	7.684000000000000552e-02	nan	2.305947899188822391e-03	1.797017726336594314e-03	2.340940927444400154e-04
nan	8.198999999999999488e+01	8.198999999999999344e-02	nan	2.258657573718209945e-03	1.779915776661681768e-03	2.379434148290399695e-04
nan	8.742000000000000171e+01	8.742000000000001159e-02	nan	2.771305875432972157e-03	1.832454234792268381e-03	2.344725606791106705e-04
nan	8.621000000000000796e+01	8.621000000000000885e-02	nan	2.634435626812319138e-03	1.817712112712897583e-03	2.349325852725815450e-04
nan	8.978999999999999204e+01	8.979000000000000870e-02	nan	3.125277578158147749e-03	1.793525874850836980e-03	2.338653321753033883e-04
nan	8.909999999999999432e+01	8.909999999999999865e-02	nan	3.037273400577760255e-03	1.697406865788282041e-03	2.326923682237871558e-04
nan	6.946000000000000796e+01	6.945999999999999397e-02	nan	2.918965589158233412e-03	1.718422631721797100e-03	2.340926203769328839e-04
nan	3.610000000000000142e+01	3.609999999999999321e-02	nan	2.996525424414358141e-03	1.752115502826089629e-03	2.391995576729660181e-04
nan	9.970000000000000639e+00	9.969999999999997961e-03	nan	3.729862613685192094e-03	1.667201929289482271e-03	1.812668468840434384e-04
nan	1.330000000000000071e+00	1.330000000000000019e-03	nan	4.218814020639327471e-03	1.851280260151295974e-03	1.727578127503139353e-04
nan	nan	nan	nan	nan	nan	nan
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
