,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.01,1200,1,100000.0,100,,10000.0,10.0,,0.00997131536555912,0.011403360787613228,0.010455582986914205
1,1,0.01,1200,1,100000.0,150,,10000.0,10.0,,0.014975595228144128,0.009264765295233785,0.0083138695238608
2,2,0.01,1200,1,100000.0,200,,10000.0,10.0,,0.01994789333699856,0.008409228113894242,0.007387203492343539
3,3,0.01,1200,1,100000.0,250,,10000.0,10.0,,0.024906008842390866,0.007481885271064829,0.006582010224971043
4,4,0.01,1200,1,100000.0,300,,10000.0,10.0,,0.02993578128785259,0.00724956752161195,0.005858882617544916
5,5,0.01,1200,1,100000.0,350,,10000.0,10.0,,0.033825156087551975,0.006718384659687815,0.005488718128943854
6,6,0.01,1200,1,100000.0,400,,10000.0,10.0,,0.03862499146262576,0.006456114008519196,0.005171059565297057
7,7,0.01,1200,1,100000.0,450,,10000.0,10.0,,0.04491005869685295,0.005995471181732883,0.005062278728424463
8,8,0.01,1200,1,100000.0,500,,10000.0,10.0,,0.04980129339135089,0.0060607746140894135,0.0046248407464656045
9,9,0.01,1200,1,100000.0,550,,10000.0,10.0,,0.054764609088076656,0.005755213725560728,0.004320898834943973
10,10,0.01,1200,1,100000.0,600,,10000.0,10.0,,0.059842403459580286,0.00572562447228706,0.004277654147541507
11,11,0.01,1200,1,100000.0,650,,10000.0,10.0,,0.06279485311280289,0.005400654348729486,0.0041279760505830605
12,12,0.01,1200,1,100000.0,700,,10000.0,10.0,,0.06990439266251088,0.005239362285252098,0.0040135706164842804
13,13,0.01,1200,1,100000.0,750,,10000.0,10.0,,0.07483662706242399,0.005280203302234619,0.003958463251570748
14,14,0.01,1200,1,100000.0,800,,10000.0,10.0,,0.07981113796587011,0.005120617116492071,0.0037981028652119375
15,15,0.01,1200,1,100000.0,850,,10000.0,10.0,,0.08490732797556803,0.005051479595517613,0.003641967846240973
16,16,0.01,1200,1,100000.0,900,,10000.0,10.0,,0.08984597349370686,0.004943948738684407,0.003427235031709659
17,17,0.01,1200,1,100000.0,950,,10000.0,10.0,,0.09482755845760947,0.004883368872750653,0.003343384431287673
18,18,0.01,1200,1,100000.0,1000,,10000.0,10.0,,0.09977758586729578,0.0048226642799415855,0.0034026822802609782
19,19,0.01,1200,1,100000.0,1050,,10000.0,10.0,,0.10480070830293696,0.004818796266342172,0.0032120069684763775
20,20,0.01,1200,1,100000.0,1100,,10000.0,10.0,,0.10987473462586193,0.004701405593475238,0.003174270128078172
21,21,0.01,1200,1,100000.0,1150,,10000.0,10.0,,0.11471870373514548,0.004551477743376036,0.0030084942719415574
22,22,0.01,1200,1,100000.0,1200,,10000.0,10.0,,0.11984113705583468,0.004729282100222669,0.0030411290781398983
23,23,0.01,1200,1,100000.0,1250,,10000.0,10.0,,0.1246999061789961,0.004675834951575625,0.003010561434502238
24,24,0.01,1200,1,100000.0,1300,,10000.0,10.0,,0.12978370209133344,0.00476824030304084,0.002908622603298448
25,25,0.01,1200,1,100000.0,1350,,10000.0,10.0,,0.13466151602117407,0.004447487316404343,0.0028107681091806384
26,26,0.01,1200,1,100000.0,1400,,10000.0,10.0,,0.14034981693346935,0.004507550622706457,0.0027567593417355046
27,27,0.01,1200,1,100000.0,1450,,10000.0,10.0,,0.14481668897145483,0.0044704020175861834,0.0027818909660992054
28,28,0.01,1200,1,100000.0,1500,,10000.0,10.0,,0.15025224597668055,0.0045366838644871855,0.002788209766220872
29,29,0.01,1200,1,100000.0,1550,,10000.0,10.0,,0.15525506840401931,0.004470973368418925,0.0026845508857316685
30,30,0.01,1200,1,100000.0,1600,,10000.0,10.0,,0.16032745741455984,0.004431712056616334,0.0026851787806192015
31,31,0.01,1200,1,100000.0,1650,,10000.0,10.0,,0.15997414596113926,0.004541842149151321,0.0026187780749422867
32,32,0.01,1200,1,100000.0,1700,,10000.0,10.0,,0.1699392764071058,0.0043499955384789955,0.0025886743343395257
33,33,0.01,1200,1,100000.0,1750,,10000.0,10.0,,0.17500718216653924,0.004370409797263389,0.0024558994233394266
34,34,0.01,1200,1,100000.0,1800,,10000.0,10.0,,0.1798271782964457,0.00426964946129048,0.0025158735341614656
35,35,0.01,1200,1,100000.0,1850,,10000.0,10.0,,0.18525694752696156,0.004307304265335605,0.0024490960994548007
36,36,0.01,1200,1,100000.0,1900,,10000.0,10.0,,0.1901832482431064,0.004207799920175869,0.002475514682314322
37,37,0.01,1200,1,100000.0,1950,,10000.0,10.0,,0.19506653995131276,0.004232296733215328,0.0023388185319470566
38,38,0.01,1200,1,100000.0,2000,,10000.0,10.0,,0.20016104445650856,0.004275814744343929,0.0023447849495051407
39,39,0.01,1200,1,100000.0,2050,,10000.0,10.0,,0.20466646331070928,0.004177133103257256,0.002412953373981612
40,40,0.01,1200,1,100000.0,2100,,9000.0,9.0,,0.1886266340251996,0.003732564478377996,0.002087948912686428
