# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.971315365559121902e-02	1.140336078761322869e-01	1.045558298691420529e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497559522814412847e-01	9.264765295233787223e-02	8.313869523860800692e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.994789333699856226e-01	8.409228113894244572e-02	7.387203492343540068e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.490600884239086155e-01	7.481885271064829535e-02	6.582010224971042434e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.993578128785259196e-01	7.249567521611952059e-02	5.858882617544915877e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.382515608755197190e-01	6.718384659687814953e-02	5.488718128943853580e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.862499146262575733e-01	6.456114008519195369e-02	5.171059565297057153e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.491005869685295582e-01	5.995471181732883043e-02	5.062278728424463026e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.980129339135089817e-01	6.060774614089413370e-02	4.624840746465604113e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.476460908807666561e-01	5.755213725560728161e-02	4.320898834943973782e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.984240345958028451e-01	5.725624472287059452e-02	4.277654147541506968e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.279485311280288418e-01	5.400654348729485438e-02	4.127976050583061218e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.990439266251087247e-01	5.239362285252099211e-02	4.013570616484281317e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.483662706242398821e-01	5.280203302234619256e-02	3.958463251570748520e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.981113796587010478e-01	5.120617116492071075e-02	3.798102865211937934e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.490732797556802547e-01	5.051479595517612692e-02	3.641967846240972556e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.984597349370687658e-01	4.943948738684406791e-02	3.427235031709659208e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.482755845760948432e-01	4.883368872750652734e-02	3.343384431287673569e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.977758586729578161e-01	4.822664279941586696e-02	3.402682280260978243e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048007083029369735e+00	4.818796266342171425e-02	3.212006968476378149e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.098747346258619473e+00	4.701405593475238565e-02	3.174270128078171549e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.147187037351454775e+00	4.551477743376036028e-02	3.008494271941557566e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198411370558346789e+00	4.729282100222668983e-02	3.041129078139898079e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.246999061789961116e+00	4.675834951575624787e-02	3.010561434502238148e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.297837020913334527e+00	4.768240303040839623e-02	2.908622603298447948e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.346615160211740658e+00	4.447487316404342972e-02	2.810768109180638435e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.403498169334693513e+00	4.507550622706456983e-02	2.756759341735504770e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.448166889714548322e+00	4.470402017586182219e-02	2.781890966099205206e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.502522459766805651e+00	4.536683864487186385e-02	2.788209766220871647e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.552550684040193030e+00	4.470973368418924843e-02	2.684550885731668696e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.603274574145598264e+00	4.431712056616333995e-02	2.685178780619201788e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.599741459611392580e+00	4.541842149151321950e-02	2.618778074942286829e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.699392764071057993e+00	4.349995538478995671e-02	2.588674334339525693e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.750071821665392324e+00	4.370409797263388740e-02	2.455899423339426638e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.798271782964457000e+00	4.269649461290480480e-02	2.515873534161465822e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.852569475269615351e+00	4.307304265335604870e-02	2.449096099454800904e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.901832482431063953e+00	4.207799920175869790e-02	2.475514682314321896e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.950665399513127340e+00	4.232296733215328011e-02	2.338818531947056689e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.001610444565085523e+00	4.275814744343928858e-02	2.344784949505141283e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.046664633107093234e+00	4.177133103257254371e-02	2.412953373981611971e-02
nan	9.000000000000000000e+04	9.000000000000000000e+01	nan	1.886266340251995688e+00	3.732564478377996264e-02	2.087948912686428404e-02
