,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.01,1200,1,100000.0,100,,66.1,0.06609999999999999,,0.0004931784066478428,0.006461140638961889,0.0003236116222862455
1,1,0.01,1200,1,100000.0,150,,102.09,0.10209,,0.0008021280854555357,0.005384692640045827,0.00031392998111135926
2,2,0.01,1200,1,100000.0,200,,126.27,0.12627,,0.0010969865144542725,0.0044507623235265715,0.00031925254859911607
3,3,0.01,1200,1,100000.0,250,,145.65,0.14565,,0.00129788360773631,0.0042057601779191,0.0003030234983173956
4,4,0.01,1200,1,100000.0,300,,161.2,0.1612,,0.001725796715853676,0.003982064070554254,0.0003109651994351259
5,5,0.01,1200,1,100000.0,350,,175.87,0.17587,,0.0018982976362678984,0.0037491905056307065,0.0003211516569023078
6,6,0.01,1200,1,100000.0,400,,191.31,0.19131000000000004,,0.002191628175274332,0.003503431659488541,0.00032895830390045847
7,7,0.01,1200,1,100000.0,450,,206.5,0.20650000000000004,,0.002786034513107438,0.0031985414548412667,0.0003147267198665573
8,8,0.01,1200,1,100000.0,500,,217.51,0.21750999999999995,,0.0029484556496367988,0.0031633726932028547,0.00030958050977616567
9,9,0.01,1200,1,100000.0,550,,230.47,0.23046999999999995,,0.0031128527478915657,0.0030975014553691342,0.00031844225878234614
10,10,0.01,1200,1,100000.0,600,,239.93,0.23993,,0.0037888966387981775,0.002900276574691845,0.000313168070321316
11,11,0.01,1200,1,100000.0,650,,250.06,0.25005999999999995,,0.0039055868861487394,0.0028822954081674556,0.00033597184827910414
12,12,0.01,1200,1,100000.0,700,,264.03,0.26403,,0.004382534828424696,0.0026898328205882567,0.000314968361811075
13,13,0.01,1200,1,100000.0,750,,271.64,0.27164,,0.0050089895009716645,0.002617786397871183,0.0003336522200551812
14,14,0.01,1200,1,100000.0,800,,282.19,0.28219000000000005,,0.004974153571718033,0.002619977291585705,0.0003225226798785786
15,15,0.01,1200,1,100000.0,850,,293.88,0.29388,,0.0055612784390712015,0.002679304591372652,0.000322327245503709
16,16,0.01,1200,1,100000.0,900,,301.96,0.30196,,0.006002826817259574,0.002579606387389675,0.00032422152983572735
17,17,0.01,1200,1,100000.0,950,,309.33000000000004,0.30933,,0.0063125463033304645,0.002507569494678849,0.0003247108723962853
18,18,0.01,1200,1,100000.0,1000,,317.97,0.31797,,0.006948456909702827,0.0024366984524374974,0.0003169027525785234
19,19,0.01,1200,1,100000.0,1050,,325.45,0.3254499999999999,,0.007257132108707082,0.002449996205135165,0.0003249535480689553
20,20,0.01,1200,1,100000.0,1100,,332.94,0.33293999999999996,,0.007632759477344278,0.002272032933113142,0.00031553146170483953
21,21,0.01,1200,1,100000.0,1150,,343.25,0.34324999999999994,,0.00854923987655866,0.002344395596285245,0.0003263778200334397
22,22,0.01,1200,1,100000.0,1200,,348.91,0.34890999999999994,,0.008576789566143361,0.002374233841569242,0.0002966891908199464
23,23,0.01,1200,1,100000.0,1250,,304.95,0.30495,,0.008615017100487421,0.002258744656768904,0.0003252356728765418
24,24,0.01,1200,1,100000.0,1300,,88.29999999999998,0.0883,,0.008474272126300093,0.0019349923124431217,0.00032807081318466183
25,25,0.01,1200,1,100000.0,1350,,2.79,0.00279,,0.010470612738295871,0.0024148277708945045,0.00036769221356063925
26,26,0.01,1200,1,100000.0,1400,,0.0,0.0,0.0,0.0,0.0,0.0
27,27,0.01,1200,1,100000.0,1450,,0.0,0.0,0.0,0.0,0.0,0.0
28,28,0.01,1200,1,100000.0,1500,,0.0,0.0,0.0,0.0,0.0,0.0
29,29,0.01,1200,1,100000.0,1550,,0.0,0.0,0.0,0.0,0.0,0.0
30,30,0.01,1200,1,100000.0,1600,,0.0,0.0,0.0,0.0,0.0,0.0
31,31,0.01,1200,1,100000.0,1650,,0.0,0.0,0.0,0.0,0.0,0.0
32,32,0.01,1200,1,100000.0,1700,,0.0,0.0,0.0,0.0,0.0,0.0
33,33,0.01,1200,1,100000.0,1750,,0.0,0.0,0.0,0.0,0.0,0.0
34,34,0.01,1200,1,100000.0,1800,,0.0,0.0,0.0,0.0,0.0,0.0
35,35,0.01,1200,1,100000.0,1850,,0.0,0.0,0.0,0.0,0.0,0.0
36,36,0.01,1200,1,100000.0,1900,,0.0,0.0,0.0,0.0,0.0,0.0
37,37,0.01,1200,1,100000.0,1950,,0.0,0.0,0.0,0.0,0.0,0.0
38,38,0.01,1200,1,100000.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0
39,39,0.01,1200,1,100000.0,2050,,0.0,0.0,0.0,0.0,0.0,0.0
40,40,0.01,1200,1,100000.0,2100,,0.0,0.0,0.0,0.0,0.0,0.0
